TID,JP
TID_TEAM_LEAVE,退出
TID_TEAM_JOIN,チームに参加
TID_TEAM_READY_BUTTON_LABEL,準備完了
TID_TEAM_CANCEL_READY,キャンセル
TID_TEAM_QUIT,終了
TID_TEAM_TEAMCODE,チームコード
TID_TEAM_TEAMCODE_DESC,フレンドはこのコードでチームにアクセスできます
TID_TEAM_WAITING_FOR_PLAYER,チームコードで招待
TID_TEAM_NO_MEMBER,ボット
TID_TEAM_NO_MEMBER_INVITE,招待
TID_TEAMCREATE_EVENT,マップ
TID_TEAM_KICK,追放
TID_TEAM_PROFILE,プロフィール
TID_TEAM_SWAP,チームを入れ替える
TID_TEAM_SWAP_HERE,ここで入れ替える
TID_TEAM_CREATOR_ONLY_FEATURE,チーム作成者にしか利用できません
TID_TEAM_CREATOR_ONLY_FEATURE_MODES,イベントを変更できるのは\nチーム作成者のみです
TID_TEAM_PROFILE_BLOCKED,準備完了を選ぶと見られません
TID_TEAM_FEATURE_BLOCKED_WHILE_READY,準備完了を選ぶと\n利用できません
TID_TEAM_PRACTISE_BUTTON_LABEL,練習
TID_TEAM_PRACTISE_BUTTON_SUBLABEL,ボットと
TID_TEAM_LOOT_UNLOCKS,報酬
TID_BONUS_REWARD,3勝ボーナス：
TID_BONUS_REWARD_COLLECTED,ボーナスを受け取りました
TID_INFO_SERVER_ERROR_TITLE,サーバーエラー
TID_INFO_SERVER_ERROR_BUTTON,ゲームを再起動
TID_RARITY_NAME_0,トロフィー目標報酬
TID_RARITY_NAME_1,レア
TID_RARITY_NAME_2,スーパーレア
TID_RARITY_NAME_3,ハイパーレア
TID_RARITY_NAME_4,ウルトラレア
TID_RARITY_NAME_5,レジェンドレア
TID_RARITY_COLOR_0,B9EAFF
TID_RARITY_COLOR_1,68FD58
TID_RARITY_COLOR_2,5AB3FF
TID_RARITY_COLOR_3,D850FF
TID_RARITY_COLOR_4,FE5E72
TID_RARITY_COLOR_5,FFF11E
TID_HERO_SCREEN_DIM_COLOR,164382
TID_RANK_UP_POPUP_TITLE,ランクアップ！
TID_RANK_UP_POPUP_REWARD_BONUS,ランクアップボーナス
TID_RANK_UP_POPUP_RANK,ランク<RANK>
TID_NAME_FAILED_TOO_SHORT,名前が短すぎます
TID_NAME_FAILED_PROFANITIES,無効な名前です
TID_NAME_FAILED,無効な名前です
TID_EVENT_STARTED,<GAMEMODE>のマップが登場！新たに報酬を獲得できます！
TID_SELECT_HERO_INFO_1,<cFF8000>PvP</c>
TID_SELECT_HERO_INFO_2,<c2288ff>ボット戦</c>
TID_SELECT_HERO_INFO_3,<c40E0D0>ソロ + ボット</c>
TID_SELECT_HERO_INFO_1_6,<cFF8000>PvP</c>
TID_SELECT_HERO_INFO_3_6,<c40E0D0>ソロ + ボット</c>
TID_SELECT_HERO_INFO_FRIENDLY,<c40E0D0>フレンドバトルでは全キャラクターが完全にアップグレードされます</c>
TID_SELECT_HERO_INFO_RANK_REWARD,パワーポイントを受け取るには
TID_SELECT_HERO_POW_INFO_TITLE,パワーポイント報酬
TID_SELECT_HERO_POW_INFO_PURCHASE_TITLE,パワーポイントを購入
TID_SELECT_HERO_POW_INFO_BODY,パワーポイントを受け取る\nキャラクターを選ぼう
TID_SELECT_HERO_WILD_CARD_POWER_NOT_ASSIGNABLE,このキャラクターはすでにパワーポイントが最大です
TID_WILDCARD_POWER_PURCHASE_CONFIRM_TITLE,購入を確定
TID_WILDCARD_POWER_PURCHASE_CONFIRM_INFO,パワーポイントは<HERO>に追加されます
TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_TITLE,報酬を確定
TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_INFO,パワーポイントは<HERO>に追加されます
TID_NAVI_1,ショップ
TID_NAVI_2,新着
TID_NAVI_3,バトル
TID_NAVI_4,キャラクター
TID_NAVI_5,クラブ
TID_NAVI_6,プロフィール
TID_NAVI_7,フレンド
TID_LEADERBOARD_TITLE,ランキング
TID_LEADERBOARD_TAB_TOTAL,合計\nトロフィー
TID_LEADERBOARD_TAB_HEROES,キャラクター
TID_LEADERBOARD_TAB_CLANS,クラブ
TID_LEADERBOARD_TAB_FRIENDS,フレンド
TID_LEADERBOARD_SUBTITLE_1,ベストプレイヤー
TID_LEADERBOARD_SUBTITLE_2,ベストクラブ
TID_LEADERBOARD_SUBTITLE_0,ベスト<HERO>プレイヤー
TID_BATTLE_MAIN_NEXT_REWARD,次の報酬：<VALUE>/<MAX>
TID_BATTLE_MAIN_NEXT_PLANET,次のマップまで：<TIME>
TID_BATTLE_MAIN_COLLECTED_COINS,<VALUE>枚回収済み
TID_GATCHA_ERROR_NOT_ENOUGH_GOLD,トークンを100個集めてブロスタボックスをアンロック！
TID_GATCHA_INFO,<c0000ff>ブロスタボックス</c>\n\nキャラやパワーポイント、コイン、ダブルトークンを入手できます。
TID_HERO_INFO_ABILITY_COLOR_1,12b400
TID_HERO_INFO_ABILITY_COLOR_2,df1800
TID_HERO_INFO_ABILITY_COLOR_3,005bd6
TID_HERO_INFO_ARMOR,HP
TID_HERO_INFO_ABILITY,通常攻撃：<NAME>
TID_HERO_INFO_ULTI,必殺技：<NAME>
TID_HERO_INFO_BACK,戻る
TID_HERO_INFO_UPGRADE,アップグレード
TID_HERO_INFO_ABILITY_LEVEL,レベル：<LEVEL>/<MAXLEVEL>
TID_HERO_INFO_CRAFT_HERO,キャラを購入
TID_HERO_INFO_RARITY,<c<COLOR>><NAME></c>
TID_HERO_INFO_ITEM_RARITY,<c<COLOR>><NAME></c>
TID_HERO_INFO_POWER_BAR_TOOL_TIP,ブロスタボックスやショップのセール品からパワーポイントを集めて、キャラをアップグレードをしましょう
TID_HERO_INFO_STAR_POWER_CAN_DROP,スターパワーがブロスタボックスから\n入手可能になりました
TID_HERO_INFO_STAR_POWER_BLOCKED,<HERONAME>がパワーレベル<LEVEL>に到達すると、ブロスタボックスから入手可能
TID_HERO_INFO_STAR_POWER_LABEL,スターパワー：<NAME>
TID_HERO_INFO_ABILITY_DESC,<c<COLOR>><CAPTION></c>\n<BODY>
TID_MATCHMAKE_FAILED_5,マッチ不成立: イベントは終了しました
TID_MATCHMAKE_FAILED_7,マッチ不成立：チームメンバーがサーバーから切断されました
TID_MATCHMAKE_FAILED_9,マッチメイキング失敗：メンテナンスが始まります
TID_MATCHMAKE_FAILED_11,マッチメイキング失敗：チームメンバーが退出しました
TID_MATCHMAKE_FAILED_12,マッチメイキング失敗：すでに最後のボスを倒しています
TID_SUDDEN_DEATH_TIMER,<n1>
TID_OWN_TEAM_WINNING,ブルーチーム勝利まで：
TID_ENEMY_TEAM_WINNING,レッドチーム勝利まで：
TID_OWN_TEAM,ブルーチーム
TID_ENEMY_TEAM,レッドチーム
TID_COUNTDOWN,カウントダウン
TID_HERO_LIST_UNLOCKED,<COUNT>/<TOTAL>
TID_HERO_LIST_LABEL,キャラクター
TID_HERO_LIST_DO_GATCHA,ブロスタボックスを開ける
TID_HERO_TIME_UNTIL_RELEASE,公開まで：<TIME>
TID_HERO_LIST_COMING_UP,キャラクターがリリースされたら詳細を確認しましょう
TID_SKIN_INFO_TIME_UNTIL_RELEASE,公開まで：<TIME>
TID_SKIN_INFO_,Supercell ID 報酬スキン
TID_SKIN_INFO_1,ブロスタのパイオニアスキン！\n\n2018年以前に作られたアカウント限定
TID_SKIN_INFO_2,設定からSupercell IDに接続して、このスキンをもらいましょう！
TID_SKIN_INFO_3_TEASER,近日公開...
TID_SKIN_INFO_3_AVAILABLE,\nご購入は期間限定です
TID_SKIN_INFO_3_NOT_AVAILABLE,\n現在購入できません
TID_SKIN_INFO_3_HERO_NEEDED,\nこのスキンを購入するにはキャラクターをアンロックしてください
TID_SKIN_INFO_CAMPAIGN_1_AVAILABLE,華やかなスキンでクリスマスをお祝いしましょう！
TID_SKIN_INFO_CAMPAIGN_1_NOT_AVAILABLE,2018年 クリスマススキン
TID_SKIN_REWARD_TITLE_1,スキン報酬
TID_SKIN_REWARD_INFO_1,新しいスキンをアンロックしました！2018年はブロスタをお楽しみいただきありがとうございます！
TID_SKIN_REWARD_TITLE_2,スキン報酬
TID_SKIN_REWARD_INFO_2,アカウントをSupercell IDに接続した報酬として、新スキンをアンロックしました
TID_SKIN_REWARD_OK,回収
TID_HERO_REWARD_TITLE_1,サポートからのメッセージ
TID_HERO_REWARD_INFO_1,ブロスタのサポートチームから新たなキャラクターが届きました。
TID_SKIN_REWARD_TITLE_0,サポートからのメッセージ
TID_SKIN_REWARD_INFO_0,ブロスタのサポートチームから新たなスキンが届きました。
TID_SKIN_REWARD_TITLE_3,サポートからのメッセージ
TID_SKIN_REWARD_INFO_3,ブロスタのサポートチームから新たなスキンが届きました。
TID_REWARD_TITLE,サポートからのメッセージ
TID_REWARD_INFO,ブロスタのサポートチームからお届け物があります。
TID_REWARD_INFO_RESOURCE_FIRSTWINS,<AMOUNT>スタートークンを回収しました
TID_REWARD_INFO_RESOURCE_GOLD,<AMOUNT>トークンを回収しました
TID_REWARD_OK,回収
TID_HERO_REWARD_OK,回収
TID_RANK_POPUP_TITLE,トロフィー目標
TID_RANK_POPUP_NEXT_GOAL,次の目標
TID_RANK_POPUP_COLLECT,回収
TID_RANK_POPUP_SEASON_END_REWARD,シーズン報酬
TID_RANK_POPUP_SEASON_END_REWARD_OWN,<cffff00>シーズン報酬</c>
TID_RANK_POPUP_TOTAL_INFO,トロフィー数を伸ばして、報酬をアンロックしながら上位リーグを目指しましょう！\n合計トロフィー数は、全キャラクターのトロフィーの合算です。
TID_RANK_POPUP_SEASON_END_TITLE,シーズン終了まで
TID_RANK_POPUP_SEASON_END_INFO,シーズンが終了すると、<DECAYSTART>トロフィー以上所有するキャラクターは、<DECAYSTART>を超えたトロフィーの<DECAYPERCENTAGE>%を失います。
TID_RANK_POPUP_HILITE_CAPTION_3,アンロック：<HERO>
TID_RANK_POPUP_HILITE_CAPTION_13,新イベント：<NAME>
TID_RANK_POPUP_HILITE_CAPTION_10,メガボックス
TID_RANK_POPUP_HILITE_CAPTION_SLOT_4,特別イベント
TID_RANK_POPUP_HILITE_CAPTION_SLOT_3,日替わりイベント
TID_RANK_POPUP_HILITE_CAPTION_SLOT_7,チケットイベント
TID_DAILY_COINS_COLLECTED,回収済み
TID_TEAM_BATTLE,作成
TID_TEAM_UNREADY,準備中
TID_TEAM_WAITING_WHILE_READY,準備完了！\n他のメンバーを待っています
TID_GATCHA_SCREEN_NEW_HERO,<c<COLOR>><OWNEDCOUNT>/<SETSIZE> <NAME>キャラクター</c>
TID_GATCHA_SCREEN_NEW_ITEM,<c<COLOR>><OWNEDCOUNT>/<SETSIZE> <NAME></c>
TID_GATCHA_SCREEN_BOXES_REMAINING,<AMOUNT>
TID_GATCHA_SCREEN_OK,OK!
TID_GATCHA_SCREEN_TAP,タップしてください！
TID_GATCHA_SCREEN_TICKET_DROP_HEADER,イベントチケット
TID_GATCHA_SCREEN_TICKET_DROP_BONUS,ボーナス！
TID_GATCHA_SCREEN_TICKET_DROP_DESC_ONGOING,有効時間：<TIME>
TID_GATCHA_SCREEN_TICKET_DROP_DESC_FUTURE,開始まで <TIME>
TID_GATCHA_SCREEN_COIN_DOUBLER_HEADER,ダブルトークン
TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE,+ <AMOUNT>
TID_GATCHA_SCREEN_COIN_DOUBLER_DESC,バトルで獲得したトークンが2倍になります！
TID_GATCHA_SCREEN_GOLD_DROP_TITLE,コイン
TID_GATCHA_SCREEN_GOLD_DROP_DESC,コインを使うとキャラをアップグレードできる
TID_GATCHA_SCREEN_GEM_DROP_TITLE,エメラルド
TID_GATCHA_SCREEN_GEM_DROP_DESC,エメラルドを使うとボックスやスキンなどを購入できる
TID_GATCHA_SCREEN_HERO_POWER_TITLE,パワーポイント
TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_UNLOCKED,アップグレード解放！
TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_AVAILABLE,アップグレード可能！
TID_GATCHA_SCREEN_BOX_COUNTER_BONUS,ボーナス
TID_NAVI_BLOCKED_1,準備完了を選ぶとページを変更できません！
TID_TEAM_MEMBER_INFO_READY,<NAME>が他のメンバーを待っています
TID_TEAM_MEMBER_INFO_NOT_READY,<NAME>はまだバトルの準備ができていません
TID_TEAM_MEMBER_INFO_SELF_READY,準備完了を選ぶとキャラクターを変更できません！
TID_TEAM_CHANGE_EVENT_BLOCKED,準備完了を選ぶとイベントを変更できません！
TID_TEAM_TOGGLE_PRACTISE_BLOCKED,準備完了を選ぶと変更できません！
TID_TEAM_GATCHA_BLOCKED,準備完了を選ぶとボックスを開けられません！
TID_TEAM_NO_MEMBER_INFO,チームへ招待できるのは作成者のみです
TID_TEAM_INFO_TEAM_CODE,このコードをフレンドにシェアして、あなたのチームへ招待しましょう！\n\nもう一度タップするとコピーできます。
TID_FREEZER,フリーザー
TID_GAME_OVER,バトル終了
TID_LEVEL,レベル<LVL>
TID_PLAYERS_IN_MM,マッチメイキング中のプレイヤーがいます！
TID_ONLINE_INFO,オンラインのプレイヤー：<ONLINE>マッチメイキング中：<MATCHMAKE>バトル中：<BATTLES>
TID_INPUT_NAME,自分の名前を入力
TID_LEADERBOARD_YOUR_SCORE,自分のスコア
TID_LEADERBOARD_YOUR_RANK,自分のランク
TID_LEADERBOARD_HIGHEST_SCORE,自己ベストスコア
TID_LEADERBOARD_LOCAL,ローカル (<COUNTRY>)
TID_REGION_0,グローバル
TID_REGION_1,アジア
TID_SET_REGION_RESULT_0,地域が<REGION>に変更されました
TID_SET_REGION_RESULT_1,地域変更不可：クラブに所属中は地域を変更できません
TID_SET_REGION_RESULT_2,地域変更不可：チームに入っている間は地域を変更できません
TID_VICTORY_CONDITION_COINRUSH_TITLE,クリスタルハント
TID_VICTORY_CONDITION_COINRUSH_TEXT,エメラルドを10個拾って守り抜け！
TID_BATTLE_END_MY_TEAM,味方チーム
TID_BATTLE_END_ENEMY_TEAM,敵チーム
TID_BACK,戻る
TID_NOT_ENOUGH_GOLD,コインが足りません... ブロスタボックスを開けてコインを集めましょう
TID_UNLOCK_SKIN_ERROR_1,エメラルドが足りません
TID_EXPERIENCE_LEVEL,XPレベル
TID_BOT_1,ボット1
TID_BOT_2,ボット2
TID_BOT_3,ボット3
TID_BOT_4,ボット4
TID_BOT_5,ボット5
TID_BOT_6,ボット6
TID_BOT_7,ボット7
TID_BOT_8,ボット8
TID_BOT_9,ボット9
TID_CRAFT_HERO_TITLE,キャラを購入
TID_CRAFT_HERO_BUTTON_LABEL,購入
TID_UNLOCK_SKIN_TITLE,スキンを購入
TID_SKIN_COMING_SOON,スキンはまだ利用できません
TID_UNLOCK_SKIN_BUTTON_LABEL,購入
TID_HERO_LIST_TOTAL_TROPHIES,合計トロフィー数
TID_TOP_TOOL_TIP_1,<c00ccff>トークン</c>はブロスタボックスを開けるために使います。\n\n新たなイベントやバトルから入手しましょう。
TID_TOP_TOOL_TIP_3,<c0ed12d>エメラルド</c>は、ボックスやスキン等、ショップの商品を購入する際に使います。\n\nブロスタボックスから入手、またはショップで購入できます。
TID_TOP_TOOL_TIP_2,<cff8E1b>コイン</c>は、キャラクターのアップグレードに使用されます。\n\nブロスタボックスから入手できます。
TID_TOP_TOOL_TIP_4,<cff0000>イベントチケット</c>はチケットイベントに参加するために必要です。\n\nブロスタボックスから入手できます。
TID_GAME_MODE_0,エメラルドハント
TID_GAME_MODE_0_DESC,マップの中央にあるエメラルド鉱山から出現するエメラルドを集めよう。倒した敵から奪うことも可能。カウントダウンが終わるまで、集めたエメラルド10個を守り抜ければ勝利！
TID_GAME_MODE_2,強奪
TID_GAME_MODE_2_DESC,チームの大切な金庫を守りながら、敵チームの金庫の破壊を目指そう！相手の金庫を先に開けたチームが勝利。\n\n金庫が壊れる前に時間切れになった場合は、敵チームの金庫により多くダメージを与えたチームの勝利となる。
TID_GAME_MODE_3,賞金稼ぎ
TID_GAME_MODE_3_OG_DESC,敵チームのプレイヤーを倒してチームの星を集めよう。いずれかのチームが星を6つ獲得した時点でバトル終了！マップ中央にも1つ落ちているので、忘れず回収しよう。
TID_GAME_MODE_6,ソロ バトルロイヤル
TID_GAME_MODE_6_COMBINED,バトルロイヤル
TID_GAME_MODE_6_DESC,他の9人を倒して最後の生存者になろう！生き延びるために必要なら、どんな強硬手段もアリ！
TID_GAME_MODE_6_DESC_COMBINED,他のプレイヤーをすべて倒して最後の生存者になろう。ソロまたは2人組でプレイ可能。
TID_GAME_MODE_5,ブロストライカー
TID_GAME_MODE_5_DESC,敵チームのゴールまでボールを運べばポイントゲット！時間切れでバトルを終えるか、2点先制で勝負あり！
TID_GAME_MODE_3_OG,殲滅
TID_GAME_MODE_3_DESC,敵チームのプレイヤーを倒して星を集めよう。敵を倒すたびに、プレイヤーの頭上に表示される賞金の星が1つずつ、最大7つまで増える。敵チームにあなたの星を奪われないよう、全力で生き延びよう！\n\n終了時に相手よりも多く星を持っているチームが勝利！
TID_GAME_MODE_11,制圧
TID_GAME_MODE_11_DESC,敵のIKEタレットを攻撃して破壊しよう！どちらの陣地にも存在するこのタレットは、集めたボルトから強大な制圧ロボットを組み立てる。ボルトは工場の地面にランダムに出現し、回収して数秒間キープすれば味方のIKEに供給できる。なお、IKEには強力な防衛システムが備わっているので、攻撃する時は注意すること！敵の陣地に近付く時は、制圧ロボットを味方に連れて行こう！
TID_BATTLE_END_GAIN_LABEL_FIRST_WIN,スタートークン
TID_BATTLE_END_GAIN_LABEL_RANK_UP,ランクアップ
TID_BATTLE_END_GAIN_LABEL_LEVEL_UP,レベルアップ
TID_BATTLE_END_GAIN_LABEL_VICTORY,勝利
TID_BATTLE_END_GAIN_LABEL_DEFEAT,敗北
TID_BATTLE_END_GAIN_LABEL_DRAW,引き分け
TID_BATTLE_END_GAIN_LABEL_MVP,MVP
TID_BATTLE_END_GAIN_LABEL_SURVIVAL,ランクスコア
TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL,タイム報酬
TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER,残りのトークン：
TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS,タイム報酬
TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM,タイム報酬
TID_BATTLE_END_COIN_REWARDS,トークン報酬
TID_BATTLE_END_MVP,MVP
TID_BATTLE_END_DEFEAT_INFO,次は頑張りましょう！
TID_TUTORIAL_1,こんにちは、私はシェリー！\n<ce662f9>エメラルド</c>をすべて集めましょう！\n左手の親指で<c0066ff>青いコントローラー</c>を\n<c0066ff>ドラッグ</c>して、私を動かしてね。
TID_TUTORIAL_2,ぜーんぶ集めなきゃ！この\n<ce662f9>エメラルド</c>は私のなんだから！
TID_TUTORIAL_3,ロボットのターゲットよ！右手の親指で<ccc0033>赤いコントローラー</c>を<ccc0033>ドラッグ</c>して狙いを定めたら、指を離して撃つの。ロボットを破壊しましょう！
TID_TUTORIAL_GOOD_JOB_1,なかなかやるじゃない！
TID_TUTORIAL_5,次のターゲットよ！<ccc0033>赤い\nコントローラー</c>を<ccc0033>タップ</c>すると\n一番近くの敵を撃てるわ。\nロボットを破壊しましょう！
TID_TUTORIAL_6,壁の後ろにいるボスを必殺技で倒すわよ！<cff9900>黄色いコントローラー</c>を<cff9900>ドラッグ</c>して狙いを定めたら、指を離して必殺技をお見舞いしましょう！
TID_TUTORIAL_555,いいわ、その調子！
TID_TUTORIAL_7,すごいわ！<ce662f9>エメラルド</c>も手に入れたし、出口へ向かいましょう！
TID_TUTORIAL_8,敵に攻撃を当てると、必殺技のゲージがたまるわ。<cff9900>黄色いコントローラー</c>で敵に必殺技をお見舞いしましょう！
TID_TUTORIAL_9,あなた、素質があるわ！\n\n私と一緒に戦いましょう！
TID_TUTORIAL_10,ターゲットを攻撃すると、必殺技のゲージがたまるわ。もう準備OKね！\n黄色いボタンをタップして！
TID_TUTORIAL_11,<cff6633>オレンジのバー</c>は残り弾数を示しているの。空になったら急いでリロードするわね！
TID_FIGHT_TUTORIAL,プレイ
TID_HERO_SCORE_INFO,他のプレイヤーを倒して、このキャラクターのトロフィーを集めましょう。\n\n<PROGRESS>トロフィーに到達すると次のランクへ昇格し、<COINS>トークンを獲得します。
TID_HERO_SCORE_INFO_MAXED,最高ランク達成
TID_XP_INFO_ME,あなたのXPレベルです。\n\nXPはバトルから獲得できます。<REMPROGRESS>XPを集めてレベル<LEVEL>に到達すると、<COINS>トークンを獲得します。
TID_XP_INFO_OTHER,このプレイヤーのXP
TID_TUTORIAL_WIN_ONE_GAME_PROMPT,練習を1回プレイすると、ゲーム本編が解放されます。
TID_SOCIAL_TAB_CLANS,クラブ
TID_SOCIAL_TAB_FRIENDS,フレンド
TID_FRIEND_STATUS_BATTLE,<TIME>間<cffffff>バトル中</c>
TID_FRIEND_STATUS_BATTLE_END_SCREEN,<cffffff>バトル終了画面</c>
TID_FRIEND_STATUS_SPECTATING,<cffffff>観戦中</c>
TID_FRIEND_STATUS_PRACTICING,<cffffff>練習中</c>
TID_FRIEND_STATUS_MATCHMAKE,<cffffff>マッチメイキング中</c>
TID_FRIEND_STATUS_HOME_AD_FULL,<cffffff>チーム内</c>
TID_FRIEND_STATUS_HOME_WITH_AD,<cffffff>チーム内</c>
TID_FRIEND_STATUS_HOME_IN_GAMEROOM,<cffffff>チーム内</c>
TID_FRIEND_STATUS_BATTLE_NO_TIME,<cffffff>バトル中</c>
TID_FRIEND_STATUS_MENUS,メニュー画面
TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE,チームアップ！
TID_ONLINE_FRIENDS_POPUP_TITLE,オンラインのプレイヤー
TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS,オンライン中のフレンドやクラブメンバーがいません
TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS,招待できるフレンドやクラブメンバーがいません。一緒に楽しくプレイできた仲間がいたら、フレンドに追加しましょう！
TID_CLAN_CREATE_BUTTON,作成
TID_CLAN_SAVE_BUTTON,保存
TID_CLAN_CREATE_TITLE,新しいクラブを作成
TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR,最後のログイン：<cf7f7f7>1時間前</c>
TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS,最後のログイン：<cf7f7f7><HOURS>時間前</c>
TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS,最後のログイン：<cf7f7f7><DAYS>日前</c>
TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG,最後のログイン：<cf7f7f7>1ヶ月以上前</c>
TID_CLAN_MEMBER_ONLINE_STATUS_1,<cff1e00>バトル中</c>
TID_CLAN_MEMBER_ONLINE_STATUS_2,<cffffff>メニュー画面</c>
TID_CLAN_MEMBER_ONLINE_STATUS_3,<cffffff>メニュー画面</c>
TID_CLAN_MEMBER_ONLINE_STATUS_4,<cff1e00>マッチメイキング中</c>
TID_CLAN_MEMBER_ONLINE_STATUS_5,<cffffff>メニュー画面</c>
TID_CLAN_MEMBER_ONLINE_STATUS_7,<cff1e00>観戦中</c>
TID_CLAN_MEMBER_ONLINE_STATUS_8,<cff1e00>練習中</c>
TID_CLAN_MEMBER_ONLINE_STATUS_9,<cffffff>メニュー画面</c>
TID_CLAN_MEMBER_ONLINE_STATUS_10,<cffffff>メニュー画面</c>
TID_CLAN_MEMBER_ONLINE_STATUS_11,<cffffff>メニュー画面</c>
TID_CLAN_ENTRY_ONLINE_MEMBERS,オンライン：<COUNT>人
TID_CLAN_ENTRY_ONLINE_MEMBER,オンライン：<COUNT>人
TID_ALLIANCE_TYPE_OPEN,参加自由
TID_ALLIANCE_TYPE_INVITE_ONLY,承認制
TID_ALLIANCE_TYPE_CLOSED,非公開
TID_CLAN_SEARCH_TITLE,クラブを検索
TID_CLAN_INTRO_AD_TITLE,クラブをお探しですか？
TID_CLAN_INTRO_AD_DESC,クラブで他のプレイヤーと交流しましょう！
TID_CLAN_INTRO_CREATE_GO,クラブを作成
TID_CLAN_INTRO_SEARCH_GO,クラブを検索
TID_CLAN_INTRO_REFRESH,更新
TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN,このクラブに参加するには<REQ>トロフィー必要です。あなたの所有は<SCORE>トロフィーです。
TID_CLAN_CANNOT_JOIN_CLOSED_CLAN,このクラブには参加できません
TID_STREAM_ENTRY_AGE,<time>前
TID_ALLIANCE_ROLE_LEADER,リーダー
TID_ALLIANCE_ROLE_CO_LEADER,サブリーダー
TID_ALLIANCE_ROLE_MEMBER,メンバー
TID_ALLIANCE_ROLE_ELDER,シニア
TID_STREAM_SENDER_YOU,自分
TID_GOLDRUSH_1,ごつごつ坑道
TID_BANKHEIST_1,盗賊のアジト
TID_WANTED_1,寺院跡
TID_BATTLE_ROYALE_1,ガイコツ川
TID_GOLDRUSH_2,クリスタル洞窟
TID_BANKHEIST_2,どんぱち谷
TID_WANTED_2,ならず者の基地
TID_BATTLE_ROYALE_2,焼け野原
TID_GOLDRUSH_3,毒キノコ洞窟
TID_BANKHEIST_3,安全地帯
TID_WANTED_3,岩の要塞
TID_BATTLE_ROYALE_3,岩壁の決戦
TID_WANTED_4,サボテンの罠
TID_GOLDRUSH_4,岩の要塞
TID_WANTED_5,シンメトリー
TID_GOLDRUSH_5,アンダーマイン
TID_WANTED_6,ジグザグ草原
TID_WANTED_7,流れ星
TID_GOLDRUSH_6,底なし沼
TID_GOLDRUSH_7,冷たい洞穴
TID_BATTLE_ROYALE_4,天国と地獄
TID_WANTED_8,隠れ家
TID_BANKHEIST_4,鉄壁の砦
TID_CLAN_MEMBERS_ONLINE,オンライン：<COUNT>/<TOTAL>
TID_CLAN_TOTAL_TROPHIES,クラブトロフィー
TID_CLAN_SEARCH_OK,検索
TID_CLAN_INFO_NAME,クラブ名
TID_CLAN_INFO_BADGE,紋章
TID_CLAN_INFO_DESC,紹介文
TID_CLAN_INFO_TOTAL_TROPHIES,クラブトロフィー
TID_CLAN_INFO_TYPE,タイプ
TID_CLAN_INFO_TAG,クラブタグ
TID_CLAN_INFO_MIN_TROPHIES,必要トロフィー数
TID_CLAN_INFO_LEAVE,脱退
TID_CLAN_INFO_SETTINGS,設定
TID_CLAN_INFO_JOIN,参加
TID_CLAN_INFO_MESSAGE,メッセージ
TID_CLAN_INFO_REQUEST_JOIN,参加リクエスト
TID_CLAN_SEARCH_NO_RESULTS,クラブが見つかりません
TID_CLAN_SEARCH_INITIAL,検索ワードが未入力です
TID_CLAN_INFO_MEMBERS,メンバー
TID_CLAN_INFO_SELECT_BADGE,他も見る
TID_SELECT_BADGE,紋章を選択
TID_ALLIANCE_CREATE_OK,クラブが作成できました
TID_CLAN_CHANGE_SETTINGS_TITLE,クラブ設定
TID_TITLE_ALLIANCE,クラブ情報
TID_ALLIANCE_LEFT,クラブを脱退しました
TID_CLAN_MEMBER_DEMOTE,降格
TID_CLAN_MEMBER_PROMOTE,昇格
TID_CLAN_MEMBER_KICK,追放
TID_CLAN_MEMBER_VIEW_ALLIANCE,クラブを見る
TID_BUTTON_INVITE,招待
TID_PLAYER_INFO_GOTO_CLAN,クラブを見る
TID_PLAYER_INFO_HEROES,キャラクター（<FOUND>/<TOTAL>）
TID_SELECT_PLAYER_THUMBNAIL,アイコンを選択
TID_SELECT_PLAYER_THUMBNAIL_FAIL_2,XPレベル<LEVEL>でアンロック
TID_SELECT_PLAYER_THUMBNAIL_FAIL_3,合計トロフィー<TROPHIES>個で\nアンロック
TID_PLAYER_INFO_WINS_AMOUNT,<AMOUNT>勝
TID_PLAYER_INFO_STATS_HEADER,戦績
TID_PLAYER_STAT_1,3対3 勝利数
TID_PLAYER_STAT_4,最多トロフィー数
TID_PLAYER_STAT_8,ソロ勝利数
TID_PLAYER_STAT_10,巨大キャラ側のベスト
