TID,KR
TID_FIREWORKS_ULTI,로켓 레인
TID_FIREWORKS_ULTI_DESC,적과 지형물을 제거하는 로켓을 퍼부어 집중포화에 허우적대는 상대의 모습을 보며 뿌듯해 합니다.
TID_TNT_DUDE,다이너마이크
TID_TNT_DUDE_DESC,다이너마이트 두 개를 던집니다. 특수 공격으로 다이너마이트가 가득 찬 배럴을 던져 지형물까지 파괴합니다!
TID_MORTAR,다이너마이트 투척
TID_MORTAR_DESC,경로상의 모든 지형물을 무시하며 날아가는 다이너마이트 두 개를 투척합니다. 참을성 없는 다이너마이크는 도화선도 짧게 잘라놨습니다!
TID_MORTAR_ULTI,빅 배럴 붐
TID_MORTAR_ULTI_DESC,다이너마이트로 가득 찬 배럴을 던져 폭발시킵니다. 폭발의 영향에 살아남은 적은 뒤로 밀려납니다!
TID_LUCHADOR,엘 프리모
TID_LUCHADOR_DESC,적에게 분노의 주먹을 날립니다. 특수 공격으로 높이 점프한 뒤 팔꿈치로 범위 안에 있는 적에게 피해를 줍니다!
TID_LUCHADOR_WEAPON,분노의 주먹
TID_LUCHADOR_WEAPON_DESC,분노로 불타오르는 주먹을 4번 연속 날립니다. 매운 주먹맛 좀 보실래요?
TID_LUCHADOR_ULTI,플라잉 엘보 드롭
TID_LUCHADOR_ULTI_DESC,높이 점프한 뒤 팔꿈치로 적을 때려눕히고 지형물을 파괴합니다!
TID_TRICKSHOT_DUDE_OLD,리코셰
TID_TRICKSHOT_DUDE_DESC,벽에 튕겨 나오는 탄환을 연발합니다. 특수 공격으로 적을 관통하고 사거리가 긴 탄환을 발사합니다!
TID_TRICKSHOT_DUDE_WEAPON,통통탄
TID_TRICKSHOT_DUDE_WEAPON_DESC,벽에 맞고 튕겨 나온 탄환이 더 먼 거리까지 공격합니다. 지형물 뒤도 안전하진 않습니다!
TID_TRICKSHOT_DUDE_ULTI,트릭샷
TID_TRICKSHOT_DUDE_ULTI_DESC,적을 관통하는 사거리가 긴 탄환을 연발합니다. 벽에 튕겨 나온 탄환은 더 먼 거리까지 공격합니다.
TID_CACTUS,스파이크
TID_CACTUS_DESC,"가시를 사방으로 날리는 가시 수류탄을 투척하고, 특수 공격으로 선인장 가시밭을 만들어 적을 느리게 만들고 피해를 줍니다!"
TID_CACTUS_WEAPON,가시 수류탄
TID_CACTUS_WEAPON_DESC,폭발할 때 사방으로 가시가 튀어나오는 작은 선인장을 투척합니다.
TID_CACTUS_ULTI,선인장 파티
TID_CACTUS_ULTI_DESC,스파이크가 던진 가시 수류탄이 터지면서 폭발 범위 안의 적에게 피해를 주고 느리게 만듭니다.
TID_BARKEEP,발리
TID_BARKEEP_DESC,적에게 병을 투척해 광역 피해를 줍니다. 특수 공격으로 병을 던져 불바다를 만듭니다!
TID_BARKEEP_WEAPON,병 투척
TID_BARKEEP_WEAPON_DESC,"발리가 던진 병이 깨지면서 적에게 피해를 주고, 쏟아져 나온 내용물 위에 서 있는 적에게 지속 피해를 줍니다."
TID_BARKEEP_ULTI,라스트 콜
TID_BARKEEP_ULTI_DESC,병을 던져 넓은 지역을 불바다로 만듭니다. 발리의 특별 서비스입니다!
TID_MECHANIC,제시
TID_MECHANIC_DESC,적에게 에너지 볼을 발사합니다. 특수 공격으로 귀엽지만 치명적인 터렛을 설치합니다!
TID_MECHANIC_WEAPON,쇼크 라이플
TID_MECHANIC_WEAPON_DESC,"에너지 볼을 발사합니다. 에너지 볼이 적에게 맞으면, 범위 안에 있는 다른 적에게 튕겨 나가 최대 3명에게 피해를 줍니다."
TID_MECHANIC_ULTI,터렛 설치
TID_MECHANIC_ULTI_DESC,자동으로 적을 공격하는 터렛을 설치합니다. 100% 재활용 고철로 만들어졌습니다!
TID_SHAMAN,니타
TID_SHAMAN_DESC,충격파를 쏴서 적에게 피해를 줍니다. 특수 공격으로 거대한 곰을 소환해 함께 싸웁니다!
TID_SHAMAN_WEAPON,포효
TID_SHAMAN_WEAPON_DESC,전방으로 충격파를 쏴 범위 안에 있는 적에게 피해를 줍니다.
TID_SHAMAN_ULTI,곰 소환
TID_SHAMAN_ULTI_DESC,커다란 아기 곰을 소환해 적을 사냥합니다.
TID_UNDERTAKER,모티스
TID_UNDERTAKER_DESC,"전방으로 돌진하며 삽을 휘두릅니다. 특수 공격으로 박쥐 떼를 불러내 적에게 피해를 주고, 자기 자신의 HP를 회복합니다!"
TID_UNDERTAKER_WEAPON,삽 스윙
TID_UNDERTAKER_WEAPON_DESC,전방으로 돌진하며 삽을 휘두릅니다. 잘못 맞으면 모티스가 처리해 줄 거예요.
TID_UNDERTAKER_ULTI,피의 축제
TID_UNDERTAKER_ULTI_DESC,흡혈박쥐 떼를 불러내서 적의 HP를 흡수해 자신의 HP를 회복합니다. 으스스하네요!
TID_CROW,크로우
TID_CROW_DESC,독이 묻은 단검 세 개를 던집니다. 특수 공격으로 점프하고 착지할 때 여러 개의 단검을 던집니다!
TID_CROW_WEAPON,독 단검
TID_CROW_WEAPON_DESC,치명적인 단검 세 개를 던집니다. 독이 묻은 칼날에 베인 적은 일정 시간 동안 지속 피해를 받습니다.
TID_CROW_ULTI,공중 단검 투척
TID_CROW_ULTI_DESC,하늘로 날아올라 착지 시 독이 묻은 여러 개의 단검을 주위에 흩뿌립니다.
TID_DEAD_MARIACHI,포코
TID_DEAD_MARIACHI_DESC,적에게 음파를 쏴서 피해를 줍니다. 특수 공격으로 자기 자신과 팀원의 HP를 회복합니다!
TID_DEAD_MARIACHI_WEAPON,파워 코드
TID_DEAD_MARIACHI_WEAPON_DESC,"기타를 연주해 영혼을 울리는 음파를 정면으로 내보내고, 음파에 맞은 적에게 피해를 줍니다."
TID_DEAD_MARIACHI_ULTI,앙코르
TID_DEAD_MARIACHI_ULTI_DESC,경쾌한 멜로디를 연주하여 범위 안의 아군과 자신의 HP를 회복합니다. 적에게는 영향을 주지 않습니다.
TID_BOW_DUDE,보
TID_BOW_DUDE_DESC,폭발 화살 세 발을 쏩니다. 특수 공격으로 지면에 폭발 지뢰를 숨겨 설치합니다!
TID_BOW_DUDE_WEAPON,독수리 화살
TID_BOW_DUDE_WEAPON_DESC,폭발하는 화살 세 발을 쏴 독수리의 발톱처럼 적들을 갈기갈기 찢습니다.
TID_BOW_DUDE_ULTI,여우 사냥
TID_BOW_DUDE_ULTI_DESC,지면에 폭발 지뢰를 설치합니다. 적이 밟으면 잠시 후 지뢰가 폭발해 적을 뒤로 밀쳐내며 피해를 줍니다.
TID_SNIPER,파이퍼
TID_SNIPER_DESC,우산으로 위장한 저격용 총으로 멀리 있는 적에게 더 큰 피해를 줍니다. 특수 공격으로 공중으로 점프하며 수류탄 세 개를 떨어뜨립니다!
TID_SNIPER_WEAPON,건브렐라
TID_SNIPER_WEAPON_DESC,우산으로 위장한 총으로 저격합니다. 적이 멀리 있을수록 더 큰 피해를 줍니다.
TID_SNIPER_ULTI,팡팡팡
TID_SNIPER_ULTI_DESC,끈질기게 쫓아다니는 이들을 피해 수류탄 3개를 남기고 공중으로 우아하게 점프해 떠납니다.
TID_MINIGUN_DUDE,팸
TID_MINIGUN_DUDE_DESC,고철 파편으로 적에게 피해를 줍니다. 특수 공격으로 힐링 터렛을 설치해 자신과 팀원의 HP를 회복합니다!
TID_MINIGUN_DUDE_WEAPON,메탈스톰
TID_MINIGUN_DUDE_WEAPON_DESC,넓은 범위에 대량의 고철 파편을 발사합니다. 위험하니 안전 고글은 필수입니다!
TID_MINIGUN_DUDE_ULTI,엄마의 뽀뽀
TID_MINIGUN_DUDE_ULTI_DESC,힐링 터렛으로 자기 자신과 범위 내 팀원의 HP를 회복합니다.
TID_BONE_THROWER,미니거너
TID_BONE_THROWER_DESC,거대한 기관총을 자유자재로 다룹니다. 거의 모든 나쁜 녀석들을 무찌릅니다. 이동 속도는 느리지만 뒤로 밀려나지 않습니다.
TID_BONE_THROWER_WEAPON,미니건
TID_BONE_THROWER_WEAPON_DESC,미니거너는 기관총을 자유자재로 다룹니다. 심지어 자동 사격을 하며 이동할 수도 있습니다!
TID_BONE_THROWER_ULTI,밴드 디스펜서
TID_BONE_THROWER_ULTI_DESC,치열한 총격전에서 부상을 입을 수 있습니다. 밴드 디스펜서로 전체 팀의 전투 상태를 최상으로 유지하세요!
TID_BLACK_HOLE,타라
TID_BLACK_HOLE_DESC,적을 관통하는 타로 카드 3장을 날립니다. 특수 공격으로 중력장을 생성해 가까이 있는 적을 끌어들여 피해를 줍니다!
TID_BLACK_HOLE_WEAPON,트리플 타로
TID_BLACK_HOLE_WEAPON_DESC,타라가 손목을 한번 까딱해 적을 관통하는 타로 카드 3장을 날립니다! 엄청난 기술이죠!
TID_BLACK_HOLE_ULTI,중력장
TID_BLACK_HOLE_ULTI_DESC,상상을 초월하는 중력장을 만들어 냅니다! 중력장 안으로 빨려 들어간 적들은 서로 부딪히며 피해를 받습니다.
TID_TURRET_DAMAGE,터렛 피해량
TID_TURRET_HEALTH,터렛 HP
TID_STAT_DAMAGE_PER_SECOND,초당 피해량
TID_STAT_DAMAGE_PER_SECOND_EACH,초당 피해량
TID_STAT_DAMAGE_PER_STRIKE,펀치당 피해량
TID_ROBOT,강철 보안관
TID_ROBOT_DESC,파괴 임무를 명 받았습니다!
TID_ROBOT_WEAPON,로켓 저격
TID_ROBOT_WEAPON_DESC,강철 보안관은 엄청난 거리에서 기계 같은 정확성으로 폭발성 로켓을 발사합니다.
TID_ROBOT_ULTI,군중 제어
TID_ROBOT_ULTI_DESC,강철 보안관이 특단의 조치로 야단법석 제멋대로 행동하는 군중에게 대량의 로켓을 퍼붓습니다.
TID_ARMOR_STAT,HP
TID_HEALTH,HP
TID_STAT_GRENADE_DAMAGE,수류탄당 피해량
TID_STAT_MISSILE_DAMAGE,로켓당 피해량
TID_STAT_HEALTH,HP
TID_STAT_SPEED,속도
TID_STAT_DAMAGE,피해량
TID_STAT_DAMAGE_PER_SHOT,탄당 피해량
TID_STAT_DAMAGE_PER_SHELL,탄당 피해량
TID_STAT_HAMMER_DAMAGE,0.2초마다 피해
TID_BATTLE,플레이
TID_QUIT,나가기
TID_MATCHMAKING_QUIT,종료
TID_MATCHMAKING_HEADING,플레이어 찾는 중
TID_MATCHMAKING_TIME_LABEL,게임 시작까지:
TID_MATCHMAKING_PLAYERS,찾은 플레이어: <x>/<y>
TID_BUTTON_CANCEL,취소
TID_BUTTON_OK,확인
TID_ENTER_NAME_TITLE,브롤스타즈에 오신 걸 환영합니다!
TID_ENTER_NAME_BODY,이름이 무엇인가요?
TID_TIME_DAYS,일
TID_TIME_HOURS,시간
TID_TIME_MINS,분
TID_TIME_SECS,초
TID_MATCHMAKING_TIME,시작 시간: <TIME>
TID_SUPERCELL_ID_TITLE,Supercell ID
TID_SUPERCELL_ID_BUTTON_CONNECTED,연동됨
TID_SUPERCELL_ID_BUTTON_DISCONNECTED,연동하기
TID_SUPERCELL_ID_LOGIN_BUTTON,로그인
TID_SUPERCELL_ID_NEW_GAME_BUTTON,없이 플레이
TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID,XP 레벨이 <number>인 다른 게임 진행 상황을 불러올까요? Supercell ID로 로그인해서 불러오세요!
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,오류!
TID_ERROR_POP_UP_OUT_OF_SYNC,클라이언트와 서버가 동기화되지 않았습니다!
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,다시 불러오기
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,연결 오류
TID_ERROR_POP_UP_CONNECTION_FAILED,서버에 연결할 수 없습니다. 인터넷 연결을 확인하고 다시 시도해 주세요.
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,다시 시도
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,로그인 실패
TID_ERROR_POP_UP_LOGIN_FAILED,나중에 다시 시도해 주세요.
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,다시 시도
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,연결 해제
TID_ERROR_POP_UP_AUTO_DISCONNECTED,아래 버튼을 누르면 게임을 다시 불러옵니다.
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,다시 불러오기
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,업데이트가 있습니다!
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,새로운 버전이 출시되었습니다. 게임을 업데이트하세요!
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,업데이트
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,서버 점검
TID_ERROR_POP_UP_SERVER_MAINTENANCE,죄송합니다. 현재 서버 점검 중입니다. 잠시 후 다시 시도해 주세요.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,다시 시도
TID_ERROR_POP_UP_BANNED_TITLE,계정이 차단되었습니다!
TID_ERROR_POP_UP_BANNED,계정이 일시적으로 차단되었습니다!
TID_ERROR_POP_UP_BANNED_BUTTON,확인
TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS,고객 지원 문의
TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON,추가 정보
TID_INFO_POP_UP_IAP_NOTE_TITLE,중요 공지
TID_INFO_POP_UP_IAP_NOTE,브롤스타즈는 무료 게임이지만 인앱 구매를 통해 게임을 더 빠르게 진행할 수 있습니다. 인앱 구매는 기기 설정에서 차단할 수 있습니다. 확인을 누르면 이용 약관과 개인정보 보호정책에 동의하게 됩니다.
TID_INFO_POP_UP_IAP_NOTE_BUTTON,확인
TID_SERVER_ERROR_TITLE,서버 오류 <number>
TID_SERVER_ERROR,전투 중 연결이 끊어졌습니다.
TID_SERVER_ERROR_BUTTON,확인
TID_COME_BACK_NOTIFICATION_SMALL,전투 한판 어때요?
TID_COME_BACK_NOTIFICATION_MEDIUM,전투 한판 어때요?
TID_COME_BACK_NOTIFICATION_LARGE,전투 한판 어때요?
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,연결 실패
TID_ERROR_POP_UP_CONNECTION_LOST,다시 로그인해주세요!
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,로그인 재시도
TID_TROPHIES,트로피
TID_PRACTICE,연습
TID_READY,준비
TID_BATTLE_END_TITLE_VICTORY,승리
TID_BATTLE_END_TITLE_DEFEAT,패배
TID_BATTLE_END_TITLE_DRAW,무승부
TID_BATTLE_END_TITLE_COOP_SURVIVAL,생존 시간: <TIME>
TID_BATTLE_END_DEATHMATCH_VICTORY,1위 달성!
TID_BATTLE_END_DEATHMATCH_DEFEAT,<RANK>위
TID_BATTLE_END_TVST_DRAW_DESC,"양쪽 팀이 모은 보석 수가 같아, 게임이 무승부로 종료되었습니다!"
TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM,빅 브롤러 처치 시간: <TIME>
TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS,생존 시간: <TIME>
TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY,도전: <LEVEL> 완료!
TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT,패배
TID_BATTLE_END_RETURN_HOME,나가기
TID_BATTLE_END_NEXT,다음
TID_BATTLE_END_TAP,탭해서 계속 진행
TID_BATTLE_END_NO_PRACTISE_TROPHIES,연습 모드에서는 트로피를 획득하지 않습니다!
TID_BATTLE_END_XP_CAPPED,오늘 모을 수 있는 XP를 모두 획득했습니다!
TID_BATTLE_END_PLAY_AGAIN,다시 플레이
TID_BATTLE_END_PLAY_AGAIN_CANCEL,취소
TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS,<WAITING>/<TOTAL>
TID_BATTLE_END_PLAY_AGAIN_PLAYERS,<caaaaaa><TOTAL></c>
TID_BATTLE_END_PLAY_AGAIN_TIMER,<TIME>
TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM,<NAME> 님이 팀에 참가했습니다.
TID_RESPAWNING,부활:\n<n1>
TID_TEAMS_POPUP_TITLE,팀
TID_TEAMS_POPUP_SUBTITLE_IN_CLAN,클럽 및 친구 팀
TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN,클럽에 가입해 진행 중인 게임을 확인하세요!
TID_TEAMS_POPUP_SEARCH,코드로 참가
TID_TEAMS_POPUP_CREATE,팀 생성
TID_TEAM_SEARCH_POPUP_TITLE,코드로 팀 참가
TID_TEAM_SEARCH_POPUP_SEARCH,참가
TID_TEAM_JOIN_ROOM_CODE,팀 코드를 이곳에 입력하세요.
TID_TEAM_CHANGE_MAP,변경
TID_TEAM_TYPE_INFO_0,경쟁전
TID_TEAM_TYPE_INFO_1,친선전
TID_TEAM_TYPE_INFO_2,티켓 이벤트
TID_TEAM_MEMBER_LEFT_0,팀을 나갔습니다.
TID_TEAM_MEMBER_LEFT_1,팀에서 추방되었습니다.
TID_TEAM_MEMBER_LEFT_2,이벤트가 만료되어 팀이 해체되었습니다.
TID_TEAM_MEMBER_LEFT_3,팀 생성자가 팀을 나가서 팀이 해체되었습니다.
TID_TEAM_GAME_STARTING,게임 시작
TID_TEAM_CODE_COPIED,코드가 클립보드에 복사되었습니다!
TID_TEAM_MEMBER_INVITE_STATUS_1,<c00ff00>초대 보류</c>
TID_TEAM_MEMBER_INVITE_STATUS_2,<ccc0000>거절</c>
TID_TEAM_MEMBER_INVITE_STATUS_3,<c0000cc>대상 오프라인</c>
TID_TEAM_MEMBER_CANCEL_INVITE_INFO,탭해서 취소
TID_TEAM_ERROR_1,팀 서버 오류
TID_TEAM_ERROR_2,팀 참가 실패: 팀이 가득 찼습니다.
TID_TEAM_ERROR_3,팀 참가 실패: 팀이 이미 해체되었습니다.
TID_TEAM_ERROR_5,잘못된 팀 코드입니다.\n올바른 코드인지 확인해 주세요.
TID_TEAM_ERROR_6,해당 코드의 팀을 찾을 수 없습니다.
TID_TEAM_ERROR_7,팀 참가 실패: 추방되었던 팀에는 참가할 수 없습니다.
TID_TEAM_ERROR_8,팀 설정을 확인해주세요. 한 팀에는 3인 이상 참가할 수 없습니다.
TID_TEAM_ERROR_10,팀 생성 실패: 이미 다른 팀에 있습니다.
TID_TEAM_ERROR_11,팀 생성 실패: 이벤트가 만료되었습니다.
TID_TEAM_ERROR_12,팀 참가 실패: 해당 팀은 만료되었습니다.
TID_TEAM_ERROR_14,팀 생성 실패: 해당 이벤트는 팀으로 플레이할 수 없습니다.
TID_TEAM_ERROR_15,팀 참가 실패: 같은 지역에 있는 팀이 아닙니다.
TID_TEAM_ERROR_17,게임 시작 실패: 브롤러를 중복으로 사용할 수 없습니다.
TID_TEAM_ERROR_18,게임 시작 실패: 게임이 곧 점검에 들어갑니다.
TID_TEAM_ERROR_19,팀 생성자가 온라인일 때는 추방할 수 없습니다.
TID_TEAM_ERROR_20,맵 변경 실패: 플레이어가 너무 많습니다.
TID_TEAM_ERROR_21,게임 시작 실패: 티켓이 부족합니다.
TID_TEAM_ERROR_22,맵 변경 불가: 플레이어가 너무 많습니다.
TID_TEAM_ERROR_24,초대 실패: 친구를 찾을 수 없습니다.
TID_TEAM_ERROR_25,초대 실패: 팀이 가득 찼습니다.
TID_TEAM_ERROR_26,초대가 거절되었습니다.
TID_TEAM_ERROR_27,초대 실패: 해당 플레이어는 팀 초대를 받고 있지 않습니다.
TID_TEAM_ERROR_28,초대 실패: 플레이어가 오프라인 상태입니다.
TID_TEAM_ERROR_29,초대 실패: 다른 팀에 참가한 플레이어입니다.
TID_TEAM_ERROR_30,게임 시작 실패: 보류 중인 게임 초대가 있습니다.
TID_TEAM_ERROR_31,이벤트 변경 실패: 보류 중인 초대가 있습니다.
TID_TEAM_ERROR_32,게임 시작 실패: 참가 인원이 너무 많습니다.
TID_TEAM_ERROR_33,팀플레이를 지원하지 않는 모드입니다.
TID_TEAM_ERROR_34,마지막 보스를 이미 처치했습니다.
TID_TEAM_ERROR_40,이미 팀 참가 요청이 보류 중입니다.
TID_TEAM_ERROR_41,팀 참가 요청이 거절되었습니다.
TID_TEAM_ERROR_42,팀 참가 요청 실패: 해당 팀을 찾을 수 없습니다.
TID_TEAM_ERROR_43,팀 참가 요청 실패: 플레이어가 해당 팀에 속해있지 않습니다.
TID_TEAM_ERROR_44,팀 참가 요청 실패: 플레이어가 오프라인 상태입니다.
TID_TEAM_ERROR_45,팀 참가 요청 실패: 팀이 가득 찼습니다.
TID_TEAM_ERROR_46,팀 참가 요청 실패: 플레이어로부터 차단되었습니다.
TID_TEAM_ERROR_47,팀 참가 요청 실패: 친선 게임 생성자만 가입 요청을 수락할 수 있습니다.
TID_TEAM_ERROR_48,팀 참가 요청 실패: 해당 플레이어는 모든 초대를 차단했습니다.
TID_SELECT_LOCATION_TITLE,맵 선택
TID_SELECT_LOCATION_LOCATIONS,친선전
TID_SELECT_LOCATION_EVENTS,경쟁전
TID_TEAM_SEARCH_INVALID_CODE,잘못된 팀 코드입니다.\n올바른 코드인지 확인해 주세요.
TID_TEAM_LEAVE,나가기
TID_TEAM_JOIN,팀 참가
TID_TEAM_READY_BUTTON_LABEL,준비 완료
TID_TEAM_CANCEL_READY,취소
TID_TEAM_QUIT,나가기
TID_TEAM_TEAMCODE,팀 코드
TID_TEAM_TEAMCODE_DESC,해당 코드를 사용해 친구들이 팀에 참가할 수 있습니다.
TID_TEAM_WAITING_FOR_PLAYER,팀 코드로 초대
TID_TEAM_NO_MEMBER,AI
TID_TEAM_NO_MEMBER_INVITE,초대
TID_TEAMCREATE_EVENT,맵
TID_TEAM_KICK,추방
TID_TEAM_PROFILE,프로필
TID_TEAM_SWAP,팀 변경
TID_TEAM_SWAP_HERE,여기서 변경
TID_TEAM_CREATOR_ONLY_FEATURE,팀 생성자만 이용 가능
TID_TEAM_CREATOR_ONLY_FEATURE_MODES,팀 생성자만 이벤트를 변경할 수 있습니다!
TID_TEAM_PROFILE_BLOCKED,준비 완료 상태에서는 볼 수 없습니다.
TID_TEAM_FEATURE_BLOCKED_WHILE_READY,준비 완료 상태에서는 이용할 수 없습니다.
TID_TEAM_PRACTISE_BUTTON_LABEL,연습
TID_TEAM_PRACTISE_BUTTON_SUBLABEL,+ AI
TID_TEAM_LOOT_UNLOCKS,보상
TID_BONUS_REWARD,3승 보너스 보상:
TID_BONUS_REWARD_COLLECTED,보너스 보상을 받았습니다.
TID_INFO_SERVER_ERROR_TITLE,서버 오류
TID_INFO_SERVER_ERROR_BUTTON,다시 불러오기
TID_RARITY_NAME_0,트로피 진척도 보상
TID_RARITY_NAME_1,희귀
TID_RARITY_NAME_2,초희귀
TID_RARITY_NAME_3,영웅
TID_RARITY_NAME_4,신화
TID_RARITY_NAME_5,전설
TID_RARITY_COLOR_0,B9EAFF
TID_RARITY_COLOR_1,68FD58
TID_RARITY_COLOR_2,5AB3FF
TID_RARITY_COLOR_3,D850FF
TID_RARITY_COLOR_4,FE5E72
TID_RARITY_COLOR_5,FFF11E
TID_HERO_SCREEN_DIM_COLOR,164382
TID_RANK_UP_POPUP_TITLE,랭크 업!
TID_RANK_UP_POPUP_REWARD_BONUS,랭크 업 보너스
TID_RANK_UP_POPUP_RANK,RANK <RANK>
TID_NAME_FAILED_TOO_SHORT,이름이 너무 짧습니다!
TID_NAME_FAILED_PROFANITIES,허용되지 않는 이름입니다!
TID_NAME_FAILED,허용되지 않는 이름입니다!
TID_EVENT_STARTED,<GAMEMODE> 신규 맵 잠금 해제! 보상을 확인하세요!
TID_SELECT_HERO_INFO_1,<cFF8000>플레이어 vs 플레이어</c>
TID_SELECT_HERO_INFO_2,<c2288ff>플레이어 vs AI</c>
TID_SELECT_HERO_INFO_3,<c40E0D0>플레이어+AI vs AI</c>
TID_SELECT_HERO_INFO_1_6,<cFF8000>플레이어 vs 플레이어</c>
TID_SELECT_HERO_INFO_3_6,<c40E0D0>플레이어+AI vs AI</c>
TID_SELECT_HERO_INFO_FRIENDLY,<c40E0D0>친선 게임에서는 모든 브롤러가 최대 레벨로 업그레이드됩니다!</c>
TID_SELECT_HERO_INFO_RANK_REWARD,PP 받기
TID_SELECT_HERO_POW_INFO_TITLE,PP 보상
TID_SELECT_HERO_POW_INFO_PURCHASE_TITLE,PP 구매
TID_SELECT_HERO_POW_INFO_BODY,브롤러를 선택해서\nPP를 받으세요!
TID_SELECT_HERO_WILD_CARD_POWER_NOT_ASSIGNABLE,해당 브롤러의 PP는 이미 최대치입니다!
TID_WILDCARD_POWER_PURCHASE_CONFIRM_TITLE,구매 확인
TID_WILDCARD_POWER_PURCHASE_CONFIRM_INFO,PP를 받을 브롤러: <HERO>
TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_TITLE,보상 확인
TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_INFO,PP를 받을 브롤러: <HERO>
TID_NAVI_1,상점
TID_NAVI_2,뉴스
TID_NAVI_3,전투
TID_NAVI_4,브롤러
TID_NAVI_5,클럽
TID_NAVI_6,프로필
TID_NAVI_7,친구
TID_LEADERBOARD_TITLE,순위표
TID_LEADERBOARD_TAB_TOTAL,총 트로피
TID_LEADERBOARD_TAB_HEROES,브롤러
TID_LEADERBOARD_TAB_CLANS,클럽
TID_LEADERBOARD_TAB_FRIENDS,친구
TID_LEADERBOARD_SUBTITLE_1,베스트 플레이어
TID_LEADERBOARD_SUBTITLE_2,베스트 클럽
TID_LEADERBOARD_SUBTITLE_0,베스트 <HERO> 플레이어
TID_BATTLE_MAIN_NEXT_REWARD,다음 보상: <VALUE>/<MAX>
TID_BATTLE_MAIN_NEXT_PLANET,신규 맵: <TIME>
TID_BATTLE_MAIN_COLLECTED_COINS,<VALUE> 획득
TID_GATCHA_ERROR_NOT_ENOUGH_GOLD,토큰 100개를 모아\n브롤 상자를 획득하세요!
TID_GATCHA_INFO,"<c0000ff>브롤 상자</c>\n\n브롤 상자에서 브롤러, PP, 코인 또는 토큰 더블러를 획득하세요!"
TID_HERO_INFO_ABILITY_COLOR_1,12b400
TID_HERO_INFO_ABILITY_COLOR_2,df1800
TID_HERO_INFO_ABILITY_COLOR_3,005bd6
TID_HERO_INFO_ARMOR,HP
TID_HERO_INFO_ABILITY,일반 공격: <NAME>
TID_HERO_INFO_ULTI,특수 공격: <NAME>
TID_HERO_INFO_BACK,뒤로
TID_HERO_INFO_UPGRADE,업그레이드
TID_HERO_INFO_ABILITY_LEVEL,Lv <LEVEL>/<MAXLEVEL>
TID_HERO_INFO_CRAFT_HERO,브롤러 구매
TID_HERO_INFO_RARITY,<c<COLOR>><NAME></c>
TID_HERO_INFO_ITEM_RARITY,<c<COLOR>><NAME></c>
TID_HERO_INFO_POWER_BAR_TOOL_TIP,브롤 상자와 특가 상품에서 PP를 모아 다음 업그레이드를 잠금 해제하세요!
TID_HERO_INFO_STAR_POWER_CAN_DROP,이제 브롤 상자에서\n스타 파워를 획득할 수 있습니다!
TID_HERO_INFO_STAR_POWER_BLOCKED,<HERONAME> 파워 레벨 <LEVEL> 달성 후 브롤 상자에서 획득 가능
TID_HERO_INFO_STAR_POWER_LABEL,스타 파워: <NAME>
TID_HERO_INFO_ABILITY_DESC,<c<COLOR>><CAPTION></c>\n<BODY>
TID_MATCHMAKE_FAILED_5,매치메이킹 실패: 이벤트가 만료되었습니다.
TID_MATCHMAKE_FAILED_7,매치메이킹 실패: 팀 멤버의 연결이 끊어졌습니다.
TID_MATCHMAKE_FAILED_9,매치메이킹 실패: 곧 점검이 시작됩니다.
TID_MATCHMAKE_FAILED_11,매치메이킹 실패: 팀원이 매치메이킹을 떠났습니다.
TID_MATCHMAKE_FAILED_12,매치메이킹 실패: 마지막 보스를 이미 처치했습니다.
TID_SUDDEN_DEATH_TIMER,<n1>
TID_OWN_TEAM_WINNING,블루 팀 승리까지:
TID_ENEMY_TEAM_WINNING,레드 팀 승리까지:
TID_OWN_TEAM,블루 팀
