TID,FR
TID_INFO_POP_UP_IAP_NOTE_BUTTON,O.K.
TID_SERVER_ERROR_TITLE,Erreur de serveur <number>
TID_SERVER_ERROR,Votre connexion a été interrompue pendant le combat.
TID_SERVER_ERROR_BUTTON,O.K.
TID_COME_BACK_NOTIFICATION_SMALL,Encore un combat ?
TID_COME_BACK_NOTIFICATION_MEDIUM,Encore un combat ?
TID_COME_BACK_NOTIFICATION_LARGE,Encore un combat ?
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,Connexion perdue
TID_ERROR_POP_UP_CONNECTION_LOST,Veuillez tenter de vous reconnecter.
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,Relancer la connexion
TID_TROPHIES,Trophées
TID_PRACTICE,ENTRAÎNEMENT
TID_READY,Prêt
TID_BATTLE_END_TITLE_VICTORY,VICTOIRE
TID_BATTLE_END_TITLE_DEFEAT,DÉFAITE
TID_BATTLE_END_TITLE_DRAW,Égalité
TID_BATTLE_END_TITLE_COOP_SURVIVAL,A survécu pendant <TIME>
TID_BATTLE_END_DEATHMATCH_VICTORY,Vous êtes #1 !
TID_BATTLE_END_DEATHMATCH_DEFEAT,Rang : <RANK>
TID_BATTLE_END_TVST_DRAW_DESC,Égalité : les deux équipes ont récupéré le même nombre de gemmes.
TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM,Brawler géant vaincu en <TIME>
TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS,Vous avez survécu <TIME>
TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY,NIVEAU DE DIFFICULTÉ <LEVEL> RÉUSSI !
TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT,DÉFAITE
TID_BATTLE_END_RETURN_HOME,QUITTER
TID_BATTLE_END_NEXT,Suivant
TID_BATTLE_END_TAP,toucher pour continuer
TID_BATTLE_END_NO_PRACTISE_TROPHIES,AUCUN TROPHÉE EN ENTRAÎNEMENT
TID_BATTLE_END_XP_CAPPED,Vous avez récupéré toute l'expérience pour aujourd'hui.
TID_BATTLE_END_PLAY_AGAIN,REJOUER
TID_BATTLE_END_PLAY_AGAIN_CANCEL,ANNULER
TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS,<WAITING>/<TOTAL>
TID_BATTLE_END_PLAY_AGAIN_PLAYERS,<caaaaaa><TOTAL></c>
TID_BATTLE_END_PLAY_AGAIN_TIMER,<TIME>
TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM,<NAME> a rejoint l'équipe
TID_RESPAWNING,Retour :\n<n1>
TID_TEAMS_POPUP_TITLE,ÉQUIPES
TID_TEAMS_POPUP_SUBTITLE_IN_CLAN,Équipes club et amis
TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN,REJOIGNEZ UN CLUB POUR VOIR LES PARTIES EN COURS
TID_TEAMS_POPUP_SEARCH,REJOINDRE AVEC CODE
TID_TEAMS_POPUP_CREATE,CRÉER ÉQUIPE
TID_TEAM_SEARCH_POPUP_TITLE,REJOINDRE AVEC CODE
TID_TEAM_SEARCH_POPUP_SEARCH,REJOINDRE
TID_TEAM_JOIN_ROOM_CODE,Saisir code de l'équipe...
TID_TEAM_CHANGE_MAP,MODIFIER
TID_TEAM_TYPE_INFO_0,Classé
TID_TEAM_TYPE_INFO_1,Amical
TID_TEAM_TYPE_INFO_2,Tickets
TID_TEAM_MEMBER_LEFT_0,Vous avez quitté l'équipe.
TID_TEAM_MEMBER_LEFT_1,Vous avez été exclu(e) de l'équipe.
TID_TEAM_MEMBER_LEFT_2,L'équipe n'existe plus : l'événement est terminé.
TID_TEAM_MEMBER_LEFT_3,L'équipe n'existe plus : son créateur est parti.
TID_TEAM_GAME_STARTING,Démarrage de la partie
TID_TEAM_CODE_COPIED,Code copié dans le presse-papiers
TID_TEAM_MEMBER_INVITE_STATUS_1,<c00ff00>EN ATTENTE</c>
TID_TEAM_MEMBER_INVITE_STATUS_2,<ccc0000>REFUSÉE</c>
TID_TEAM_MEMBER_INVITE_STATUS_3,<c0000cc>HORS-LIGNE</c>
TID_TEAM_MEMBER_CANCEL_INVITE_INFO,toucher pour annuler
TID_TEAM_ERROR_1,Erreur du serveur d'équipe
TID_TEAM_ERROR_2,Impossible de rejoindre l'équipe : elle est au complet.
TID_TEAM_ERROR_3,Impossible de rejoindre l'équipe : elle n'existe plus.
TID_TEAM_ERROR_5,Code d'équipe erroné. Veuillez vérifier le code.
TID_TEAM_ERROR_6,Aucune équipe correspondant à ce code.
TID_TEAM_ERROR_7,Impossible de rejoindre une équipe dont vous avez été exclu(e).
TID_TEAM_ERROR_8,Veuillez vérifier les paramètres d'équipe. Il ne peut pas y avoir plus de 3 joueurs par équipe.
TID_TEAM_ERROR_10,Échec de la création d'équipe : vous êtes déjà dans une équipe.
TID_TEAM_ERROR_11,Échec de la création d'équipe : l'événement est terminé.
TID_TEAM_ERROR_12,Impossible de rejoindre une équipe qui n'existe plus.
TID_TEAM_ERROR_14,Échec de la création d'équipe : événement incompatible avec le jeu en équipe.
TID_TEAM_ERROR_15,Impossible de rejoindre cette équipe : elle n'est pas accessible depuis votre région.
TID_TEAM_ERROR_17,La partie ne peut pas démarrer. Les doublons de brawlers ne sont pas autorisés.
TID_TEAM_ERROR_18,Impossible de démarrer la partie. Une maintenance du jeu va commencer.
TID_TEAM_ERROR_19,Vous ne pouvez pas exclure le créateur de l'équipe tant qu'il est en ligne.
TID_TEAM_ERROR_20,Impossible de changer de carte. Il y a trop de joueurs pour cette carte.
TID_TEAM_ERROR_21,Impossible de démarrer la partie. Vous n'avez pas assez de tickets.
TID_TEAM_ERROR_22,Impossible de changer de carte. Il y a trop de joueurs.
TID_TEAM_ERROR_24,Échec de l'invitation. Aucun ami trouvé.
TID_TEAM_ERROR_25,Échec de l'invitation. L'équipe est au complet.
TID_TEAM_ERROR_26,Invitation refusée
TID_TEAM_ERROR_27,Échec de l'invitation. Ce joueur n'accepte pas les invitations d'équipe.
TID_TEAM_ERROR_28,Échec de l'invitation. Ce joueur n'est pas connecté.
TID_TEAM_ERROR_29,Échec de l'invitation. Ce joueur est déjà dans une équipe.
TID_TEAM_ERROR_30,Impossible de démarrer la partie : une invitation est en cours.
TID_TEAM_ERROR_31,Impossible de changer l'événement tant qu'une invitation est en cours.
TID_TEAM_ERROR_32,L'équipe a trop de membres pour ce mode de jeu.
TID_TEAM_ERROR_33,Les équipes ne sont pas disponibles pour ce mode de jeu.
TID_TEAM_ERROR_34,Vous avez déjà vaincu le dernier boss.
TID_TEAM_ERROR_40,La demande pour rejoindre l'équipe est en attente.
TID_TEAM_ERROR_41,Votre demande a été rejetée.
TID_TEAM_ERROR_42,Échec de la demande : impossible de trouver l'équipe.
TID_TEAM_ERROR_43,Échec de la demande : le destinataire n'est plus dans une équipe.
TID_TEAM_ERROR_44,Échec de la demande : le destinataire est hors ligne.
TID_TEAM_ERROR_45,Échec de la demande : l'équipe est au complet.
TID_TEAM_ERROR_46,Échec de la demande : le destinataire vous a masqué.
TID_TEAM_ERROR_47,Échec de la demande : seul le créateur d'un combat amical peut accepter des demandes.
TID_TEAM_ERROR_48,Échec de la demande : le destinataire a masqué toutes les invitations.
TID_SELECT_LOCATION_TITLE,CHOIX DE LA CARTE
TID_SELECT_LOCATION_LOCATIONS,AMICAL
TID_SELECT_LOCATION_EVENTS,CLASSÉ
TID_TEAM_SEARCH_INVALID_CODE,Code d'équipe erroné. Veuillez vérifier le code.
TID_TEAM_LEAVE,QUITTER
TID_TEAM_JOIN,REJOINDRE L'ÉQUIPE
TID_TEAM_READY_BUTTON_LABEL,PRÊT
TID_TEAM_CANCEL_READY,Annuler
TID_TEAM_QUIT,QUITTER
TID_TEAM_TEAMCODE,Code d'équipe
TID_TEAM_TEAMCODE_DESC,Vos amis peuvent trouver l'équipe grâce à ce code.
TID_TEAM_WAITING_FOR_PLAYER,Inviter avec un code d'équipe
TID_TEAM_NO_MEMBER,BOT
TID_TEAM_NO_MEMBER_INVITE,INVITER
TID_TEAMCREATE_EVENT,Carte
TID_TEAM_KICK,Exclure
TID_TEAM_PROFILE,Profil
TID_TEAM_SWAP,Changer d'équipe
TID_TEAM_SWAP_HERE,Changer ici
TID_TEAM_CREATOR_ONLY_FEATURE,Disponible uniquement pour le créateur de l'équipe
TID_TEAM_CREATOR_ONLY_FEATURE_MODES,Seul le créateur de l'équipe peut modifier l'événement.
TID_TEAM_PROFILE_BLOCKED,Ne peut pas être vu une fois prêt.
TID_TEAM_FEATURE_BLOCKED_WHILE_READY,Pas disponible une fois prêt
TID_TEAM_PRACTISE_BUTTON_LABEL,ENTRAÎNEMENT
TID_TEAM_PRACTISE_BUTTON_SUBLABEL,avec bots
TID_TEAM_LOOT_UNLOCKS,RÉCOMPENSES
TID_BONUS_REWARD,Récompense bonus pour 3 victoires :
TID_BONUS_REWARD_COLLECTED,Récompense bonus récupérée
TID_INFO_SERVER_ERROR_TITLE,Erreur du serveur
TID_INFO_SERVER_ERROR_BUTTON,Recharger le jeu
TID_RARITY_NAME_0,Récompense de trophées
TID_RARITY_NAME_1,Rare
TID_RARITY_NAME_2,Super rare
TID_RARITY_NAME_3,Épique
TID_RARITY_NAME_4,Mythique
TID_RARITY_NAME_5,Légendaire
TID_RARITY_COLOR_0,B9EAFF
TID_RARITY_COLOR_1,68FD58
TID_RARITY_COLOR_2,5AB3FF
TID_RARITY_COLOR_3,D850FF
TID_RARITY_COLOR_4,FE5E72
TID_RARITY_COLOR_5,FFF11E
TID_HERO_SCREEN_DIM_COLOR,164382
TID_RANK_UP_POPUP_TITLE,RANG SUPÉRIEUR
TID_RANK_UP_POPUP_REWARD_BONUS,BONUS DE RANG SUPÉRIEUR
TID_RANK_UP_POPUP_RANK,RANG <RANK>
TID_NAME_FAILED_TOO_SHORT,Ce nom est trop court.
TID_NAME_FAILED_PROFANITIES,Ce nom ne peut pas être accepté.
TID_NAME_FAILED,Ce nom ne peut pas être accepté.
TID_EVENT_STARTED,Nouvelle carte pour le mode : <GAMEMODE>. Nouvelles récompenses disponibles !
TID_SELECT_HERO_INFO_1,<cFF8000>Joueurs contre joueurs</c>
TID_SELECT_HERO_INFO_2,<c2288ff>Joueurs contre bots</c>
TID_SELECT_HERO_INFO_3,<c40E0D0>Jouer seul avec des bots</c>
TID_SELECT_HERO_INFO_1_6,<cFF8000>Joueurs contre joueurs</c>
TID_SELECT_HERO_INFO_3_6,<c40E0D0>Jouer seul avec des bots</c>
TID_SELECT_HERO_INFO_FRIENDLY,"<c40E0D0>Dans les combats amicaux, tous les brawlers sont améliorés au niveau maximum.</c>"
TID_SELECT_HERO_INFO_RANK_REWARD,Pour recevoir les points de pouvoir
TID_SELECT_HERO_POW_INFO_TITLE,RÉCOMPENSE POINTS DE POUVOIR
TID_SELECT_HERO_POW_INFO_PURCHASE_TITLE,ACHAT DE POINTS DE POUVOIR
TID_SELECT_HERO_POW_INFO_BODY,CHOISIR LE BRAWLER\nQUI RECEVRA LES POINTS DE POUVOIR
TID_SELECT_HERO_WILD_CARD_POWER_NOT_ASSIGNABLE,Ce brawler est au maximum de ses points de pouvoir.
TID_WILDCARD_POWER_PURCHASE_CONFIRM_TITLE,CONFIRMER L'ACHAT
TID_WILDCARD_POWER_PURCHASE_CONFIRM_INFO,Les points de pouvoir seront donnés à <HERO>.
TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_TITLE,CONFIRMER LA RÉCOMPENSE
TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_INFO,Les points de pouvoir seront donnés à <HERO>.
TID_NAVI_1,Magasin
TID_NAVI_2,Nouveautés
TID_NAVI_3,Combat
TID_NAVI_4,Brawlers
TID_NAVI_5,Club
TID_NAVI_6,Profil
TID_NAVI_7,Amis
TID_LEADERBOARD_TITLE,CLASSEMENT GÉNÉRAL
TID_LEADERBOARD_TAB_TOTAL,TOTAL\nTROPHÉES
TID_LEADERBOARD_TAB_HEROES,BRAWLERS
TID_LEADERBOARD_TAB_CLANS,CLUBS
TID_LEADERBOARD_TAB_FRIENDS,AMIS
TID_LEADERBOARD_SUBTITLE_1,MEILLEURS JOUEURS
TID_LEADERBOARD_SUBTITLE_2,MEILLEURS CLUBS
TID_LEADERBOARD_SUBTITLE_0,MEILLEURS JOUEURS : <HERO>
TID_BATTLE_MAIN_NEXT_REWARD,Prochaine récompense : <VALUE>/<MAX>
TID_BATTLE_MAIN_NEXT_PLANET,Nouvelle carte dans : <TIME>
TID_BATTLE_MAIN_COLLECTED_COINS,<VALUE> récupérées
TID_GATCHA_ERROR_NOT_ENOUGH_GOLD,Récupérez 100 jetons pour gagner une boîte Brawl !
TID_GATCHA_INFO,"<c0000ff>Boîtes Brawl</c>\n\nOuvrez des boîtes Brawl pour trouver des brawlers, des points de pouvoir, des pièces ou des doubleurs de jetons."
TID_HERO_INFO_ABILITY_COLOR_1,12b400
TID_HERO_INFO_ABILITY_COLOR_2,df1800
TID_HERO_INFO_ABILITY_COLOR_3,005bd6
TID_HERO_INFO_ARMOR,SANTÉ
TID_HERO_INFO_ABILITY,ATTAQUE : <NAME>
TID_HERO_INFO_ULTI,SUPER : <NAME>
TID_HERO_INFO_BACK,RETOUR
TID_HERO_INFO_UPGRADE,AMÉLIORER
TID_HERO_INFO_ABILITY_LEVEL,NIV. <LEVEL>/<MAXLEVEL>
TID_HERO_INFO_CRAFT_HERO,Acheter brawler
TID_HERO_INFO_RARITY,<c<COLOR>><NAME></c>
TID_HERO_INFO_ITEM_RARITY,<c<COLOR>><NAME></c>
TID_HERO_INFO_POWER_BAR_TOOL_TIP,Récupérez des points de pouvoir dans les boîtes Brawl et les offres en magasin pour débloquer la prochaine amélioration.
TID_HERO_INFO_STAR_POWER_CAN_DROP,Le pouvoir star peut être débloqué grâce aux boîtes Brawl.
TID_HERO_INFO_STAR_POWER_BLOCKED,Disponible dans les boîtes Brawl dès que <HERONAME> atteint le niveau de pouvoir <LEVEL>.
TID_HERO_INFO_STAR_POWER_LABEL,POUVOIR STAR : <NAME>
TID_HERO_INFO_ABILITY_DESC,<c<COLOR>><CAPTION></c>\n<BODY>
TID_MATCHMAKE_FAILED_5,Échec de la recherche : l'événement est terminé.
TID_MATCHMAKE_FAILED_7,Échec de la recherche : un membre de l'équipe s'est déconnecté.
TID_MATCHMAKE_FAILED_9,Échec de la recherche : la maintenance va commencer.
TID_MATCHMAKE_FAILED_11,Échec de la recherche : un membre de l'équipe a quitté la recherche d'adversaire.
TID_MATCHMAKE_FAILED_12,Échec de la recherche : vous avez déjà vaincu le dernier boss.
TID_SUDDEN_DEATH_TIMER,<n1>
TID_OWN_TEAM_WINNING,L'équipe bleue gagnera dans :
TID_ENEMY_TEAM_WINNING,L'équipe rouge gagnera dans :
TID_OWN_TEAM,Équipe bleue
TID_ENEMY_TEAM,Équipe rouge
TID_COUNTDOWN,COMPTE À REBOURS
TID_HERO_LIST_UNLOCKED,<COUNT>/<TOTAL>
TID_HERO_LIST_LABEL,BRAWLERS
TID_HERO_LIST_DO_GATCHA,Ouvrir boîte Brawl
TID_HERO_TIME_UNTIL_RELEASE,Arrive dans <TIME>
TID_HERO_LIST_COMING_UP,Consultez les informations une fois ce brawler débloqué.
TID_SKIN_INFO_TIME_UNTIL_RELEASE,Arrive dans <TIME>
TID_SKIN_INFO_,Skin de récompense Supercell ID
TID_SKIN_INFO_1,Skin Avant-garde de Brawl Stars !\n\nPour tous les comptes créés avant 2019.
TID_SKIN_INFO_2,Obtenez ce skin en vous connectant à Supercell ID dans les paramètres !
TID_SKIN_INFO_3_TEASER,Bientôt...
TID_SKIN_INFO_3_AVAILABLE,\nDisponible à l'achat pour une durée limitée.
TID_SKIN_INFO_3_NOT_AVAILABLE,\nPas encore disponible à l'achat.
TID_SKIN_INFO_3_HERO_NEEDED,\nCe brawler doit d'abord être débloqué pour acheter le skin.
TID_SKIN_INFO_CAMPAIGN_1_AVAILABLE,Un skin de saison pour les fêtes Brawl !
TID_SKIN_INFO_CAMPAIGN_1_NOT_AVAILABLE,Skin des fêtes Brawl 2018
TID_SKIN_REWARD_TITLE_1,RÉCOMPENSE : SKIN
TID_SKIN_REWARD_INFO_1,Vous avez débloqué un nouveau skin. Merci d'avoir joué à Brawl Stars en 2018 !
TID_SKIN_REWARD_TITLE_2,RÉCOMPENSE : SKIN
TID_SKIN_REWARD_INFO_2,Vous avez débloqué un nouveau skin comme récompense pour vous être connecté à Supercell ID.
TID_SKIN_REWARD_OK,RÉCUPÉRER
TID_HERO_REWARD_TITLE_1,MESSAGE DE L'ASSISTANCE
TID_HERO_REWARD_INFO_1,L'assistance de Brawl Stars vous a donné un nouveau brawler.
TID_SKIN_REWARD_TITLE_0,MESSAGE DE L'ASSISTANCE
TID_SKIN_REWARD_INFO_0,L'assistance de Brawl Stars vous a donné un nouveau skin.
TID_SKIN_REWARD_TITLE_3,MESSAGE DE L'ASSISTANCE
TID_SKIN_REWARD_INFO_3,L'assistance de Brawl Stars vous a donné un nouveau skin.
TID_REWARD_TITLE,MESSAGE DE L'ASSISTANCE
TID_REWARD_INFO,Un cadeau de l'assistance Brawl Stars vous attend.
TID_REWARD_INFO_RESOURCE_FIRSTWINS,<AMOUNT> jetons star récupérés
TID_REWARD_INFO_RESOURCE_GOLD,<AMOUNT> jetons récupérés
TID_REWARD_OK,RÉCUPÉRER
TID_HERO_REWARD_OK,RÉCUPÉRER
TID_RANK_POPUP_TITLE,PROGRESSION DES TROPHÉES
TID_RANK_POPUP_NEXT_GOAL,OBJECTIF SUIV.
TID_RANK_POPUP_COLLECT,RÉCUPÉRER
TID_RANK_POPUP_SEASON_END_REWARD,Récompense de saison
TID_RANK_POPUP_SEASON_END_REWARD_OWN,<cffff00>RÉCOMPENSE DE SAISON</c>
TID_RANK_POPUP_TOTAL_INFO,Augmentez votre total de trophées pour débloquer des récompenses et atteindre de nouvelles ligues.\nLes trophées de tous vos brawlers sont additionnés pour donner votre total de trophées.
TID_RANK_POPUP_SEASON_END_TITLE,FIN DE LA SAISON
TID_RANK_POPUP_SEASON_END_INFO,"À la fin de la saison, vos brawlers ayant plus de <DECAYSTART> trophées perdront <DECAYPERCENTAGE> % de leurs trophées supérieurs à <DECAYSTART>."
TID_RANK_POPUP_HILITE_CAPTION_3,DÉBLOQUER : <HERO>
TID_RANK_POPUP_HILITE_CAPTION_13,Nouvel événement : <NAME>
TID_RANK_POPUP_HILITE_CAPTION_10,MÉGABOÎTE
TID_RANK_POPUP_HILITE_CAPTION_SLOT_4,ÉVÉNEMENTS SPÉCIAUX
TID_RANK_POPUP_HILITE_CAPTION_SLOT_3,ÉVÉNEMENTS QUOTIDIENS
TID_RANK_POPUP_HILITE_CAPTION_SLOT_7,TICKET D'ÉVÉNEMENTS
TID_DAILY_COINS_COLLECTED,Récupérées
TID_TEAM_BATTLE,CRÉER
TID_TEAM_UNREADY,pas prêt
TID_TEAM_WAITING_WHILE_READY,Vous êtes prêt !\nEn attente d'autres joueurs.
TID_GATCHA_SCREEN_NEW_HERO,<c<COLOR>><NAME> <OWNEDCOUNT>/<SETSIZE> brawler(s)</c>
TID_GATCHA_SCREEN_NEW_ITEM,<c<COLOR>><NAME> <OWNEDCOUNT>/<SETSIZE></c>
TID_GATCHA_SCREEN_BOXES_REMAINING,<AMOUNT>
TID_GATCHA_SCREEN_OK,Cool !
TID_GATCHA_SCREEN_TAP,Touchez pour ouvrir !
TID_GATCHA_SCREEN_TICKET_DROP_HEADER,TICKETS D'ÉVÉNEMENT
TID_GATCHA_SCREEN_TICKET_DROP_BONUS,BONUS
TID_GATCHA_SCREEN_TICKET_DROP_DESC_ONGOING,Actif pendant <TIME>
TID_GATCHA_SCREEN_TICKET_DROP_DESC_FUTURE,Début dans <TIME>
TID_GATCHA_SCREEN_COIN_DOUBLER_HEADER,DOUBLEUR DE JETONS
TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE,+ <AMOUNT>
TID_GATCHA_SCREEN_COIN_DOUBLER_DESC,Doublez les jetons que vous gagnez dans les combats.
TID_GATCHA_SCREEN_GOLD_DROP_TITLE,PIÈCES
TID_GATCHA_SCREEN_GOLD_DROP_DESC,Utilisez les pièces pour améliorer vos brawlers.
TID_GATCHA_SCREEN_GEM_DROP_TITLE,GEMMES
TID_GATCHA_SCREEN_GEM_DROP_DESC,"Utilisez les gemmes pour acheter des boîtes, des skins et autres dans le magasin."
TID_GATCHA_SCREEN_HERO_POWER_TITLE,POINTS DE POUVOIR
TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_UNLOCKED,Amélioration débloquée !
TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_AVAILABLE,Amélioration disponible !
TID_GATCHA_SCREEN_BOX_COUNTER_BONUS,BONUS
TID_NAVI_BLOCKED_1,Vous ne pouvez plus changer de page une fois prêt !
TID_TEAM_MEMBER_INFO_READY,<NAME> attend que les autres soient prêts.
TID_TEAM_MEMBER_INFO_NOT_READY,<NAME> n'est pas encore prêt à jouer.
TID_TEAM_MEMBER_INFO_SELF_READY,Vous ne pouvez plus changer de brawler une fois prêt !
TID_TEAM_CHANGE_EVENT_BLOCKED,Vous ne pouvez plus changer d'événement une fois prêt !
TID_TEAM_TOGGLE_PRACTISE_BLOCKED,Vous ne pouvez plus changer ceci une fois prêt !
TID_TEAM_GATCHA_BLOCKED,Vous ne pouvez pas ouvrir une boîte une fois prêt !
TID_TEAM_NO_MEMBER_INFO,Invitation d'équipe disponible uniquement pour le créateur
TID_TEAM_INFO_TEAM_CODE,Partagez le code avec vos amis pour les inviter à rejoindre votre équipe !\n\nTouchez encore une fois pour copier dans le presse-papiers.
TID_FREEZER,Congélateur
TID_GAME_OVER,Match terminé
TID_LEVEL,niv. <LVL>
TID_PLAYERS_IN_MM,Des joueurs recherchent des adversaires !
TID_ONLINE_INFO,Joueurs en ligne : <ONLINE> recherchant des adversaires : <MATCHMAKE> dans un combat : <BATTLES>
TID_INPUT_NAME,Tapez votre nom ici.
TID_LEADERBOARD_YOUR_SCORE,Votre score
TID_LEADERBOARD_YOUR_RANK,Votre rang
TID_LEADERBOARD_HIGHEST_SCORE,Votre meilleur score
TID_LEADERBOARD_LOCAL,RÉGION (<COUNTRY>)
TID_REGION_0,MONDIAL
TID_REGION_1,ASIE
TID_SET_REGION_RESULT_0,Votre nouvelle région : <REGION>
TID_SET_REGION_RESULT_1,Changement de région impossible tant que vous êtes dans un club.
TID_SET_REGION_RESULT_2,Changement de région impossible tant que vous êtes dans une équipe.
TID_VICTORY_CONDITION_COINRUSH_TITLE,Attrape-cristal
TID_VICTORY_CONDITION_COINRUSH_TEXT,Récupérez et gardez 10 gemmes.
TID_BATTLE_END_MY_TEAM,Votre équipe
TID_BATTLE_END_ENEMY_TEAM,Équipe adverse
TID_BACK,RETOUR
TID_NOT_ENOUGH_GOLD,"Pas assez de pièces, ouvrez des boîtes Brawl pour en obtenir."
TID_UNLOCK_SKIN_ERROR_1,Pas assez de gemmes
TID_EXPERIENCE_LEVEL,Niveau d'expérience
TID_BOT_1,Bot 1
TID_BOT_2,Bot 2
TID_BOT_3,Bot 3
TID_BOT_4,Bot 4
TID_BOT_5,Bot 5
TID_BOT_6,Bot 6
TID_BOT_7,Bot 7
TID_BOT_8,Bot 8
TID_BOT_9,Bot 9
TID_CRAFT_HERO_TITLE,Acheter brawler
TID_CRAFT_HERO_BUTTON_LABEL,Acheter
TID_UNLOCK_SKIN_TITLE,Acheter skin
TID_SKIN_COMING_SOON,Skin pas encore disponible
TID_UNLOCK_SKIN_BUTTON_LABEL,Acheter
TID_HERO_LIST_TOTAL_TROPHIES,Total de trophées
TID_TOP_TOOL_TIP_1,Les <c00ccff>jetons</c> servent à ouvrir les boîtes Brawl.\n\nGagnez des jetons grâce aux nouveaux événements et aux combats.
TID_TOP_TOOL_TIP_3,"Les <c0ed12d>gemmes</c> servent à acheter des boîtes, des skins et autres dans le magasin.\n\nGagnez des gemmes dans les boîtes Brawl ou achetez-les avec de l'argent réel."
TID_TOP_TOOL_TIP_2,Les <cff8E1b>pièces</c> servent à améliorer vos brawlers.\n\nVous trouverez des pièces dans les boîtes Brawl.
TID_TOP_TOOL_TIP_4,Les <cff0000>tickets d'événement</c> vous permettent d'accéder aux événements à ticket.\n\nVous trouverez des tickets d'événement dans les boîtes Brawl.
TID_GAME_MODE_0,RAZZIA DE GEMMES
TID_GAME_MODE_0_DESC,"Récupérez les gemmes jaillissant de la mine au milieu de la carte, ou celles perdues par les ennemis tombés au combat ! Protégez dix gemmes jusqu'à la fin du compte à rebours pour gagner."
TID_GAME_MODE_2,BRAQUAGE
TID_GAME_MODE_2_DESC,"Protégez votre coffre-fort tout en essayant de forcer celui de vos adversaires. La première équipe à forcer le coffre de l'autre l'emporte !\n\nSi le temps est écoulé sans qu'une équipe n'ait pris le dessus, celle ayant infligé le plus de dégâts au coffre ennemi gagne."
TID_GAME_MODE_3,PRIME
TID_GAME_MODE_3_OG_DESC,Récupérez des étoiles pour votre équipe en éliminant les joueurs de l'équipe adverse. La première équipe qui a six étoiles gagne. Il y a aussi une étoile au centre de la carte à récupérer.
TID_GAME_MODE_6,SURVIVANT SOLO
TID_GAME_MODE_6_COMBINED,SURVIVANT
TID_GAME_MODE_6_DESC,Éliminez les neuf autres joueurs et soyez le seul survivant. Tous est permis : vous n'avez qu'une vie...
TID_GAME_MODE_6_DESC_COMBINED,Éliminez tout le monde et soyez le seul survivant. Jouez seul ou en équipe de deux.
TID_GAME_MODE_5,BRAWLBALL
TID_GAME_MODE_5_DESC,"Utilisez le ballon pour marquer un but contre l'équipe adverse. Le match se termine dès qu'une équipe a marqué deux buts, ou une fois le temps écoulé."
TID_GAME_MODE_3_OG,CHASSE OUVERTE
TID_GAME_MODE_3_DESC,"Récupérez des étoiles en éliminant vos adversaires. À chaque ennemi vaincu, la prime sur votre tête monte d'une étoile et ce, jusqu'à sept. Ne les donnez pas à l'ennemi !\n\nL'équipe ayant gagné le plus d'étoiles à la fin du temps imparti remporte la victoire."
TID_GAME_MODE_11,SIÈGE
TID_GAME_MODE_11_DESC,"Assiégez et détruisez l'assembleur mécanique adverse. Donnez des boulons à votre propre assembleur pour qu'il construise un robot de siège. Les boulons apparaissent à travers l'usine. Récupérez-en un et protégez-le jusqu'à ce que votre assembleur le prenne. Attention, les assembleurs ont des défenses puissantes et il vous faudra l'aide d'un robot de siège pour pouvoir vous approcher."
TID_BATTLE_END_GAIN_LABEL_FIRST_WIN,Jeton star
TID_BATTLE_END_GAIN_LABEL_RANK_UP,Rang supérieur
TID_BATTLE_END_GAIN_LABEL_LEVEL_UP,Niv. sup.
TID_BATTLE_END_GAIN_LABEL_VICTORY,Victoire
TID_BATTLE_END_GAIN_LABEL_DEFEAT,Défaite
TID_BATTLE_END_GAIN_LABEL_DRAW,Égalité
TID_BATTLE_END_GAIN_LABEL_MVP,Joueur star
TID_BATTLE_END_GAIN_LABEL_SURVIVAL,Score de rang
TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL,Récompense de temps
TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER,Jetons restants :
TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS,Récompense de temps
TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM,Récompense de temps
TID_BATTLE_END_COIN_REWARDS,RÉCOMPENSE : JETONS
TID_BATTLE_END_MVP,JOUEUR STAR
TID_BATTLE_END_DEFEAT_INFO,Vous gagnerez une prochaine fois !
TID_TUTORIAL_1,"Salut, moi, c'est Shelly ! On va récupérer ces <ce662f9>gemmes</c> ! <c0066ff>Faites bouger</c> le <c0066ff>joystick bleu</c> avec votre pouce gauche pour me déplacer."
