TID,CN
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED,<c99dd3333>Enemy team</c> assembled a Level <num> Siege Robot!
TID_HERO_DISABLED_CURRENTLY_START_GAME,This Brawler is temporarily not available. Try another Brawler!
TID_HERO_COMING_SOON,Brawler arriving soon!
TID_NO_ROBOS_SPAWNED,Tie! No Siege Robots spawned!
TID_LAST_ROBO_IN,Last Siege in:
TID_ROBO_LEVEL,Siege Robot LVL: <num>
TID_BATTLE_ROYALE_19,Erratic Blocks
TID_BATTLE_ROYALE_20,Fallen Star
TID_BATTLE_ROYALE_21,Eye of the Storm
TID_BATTLE_ROYALE_22,Flood Plains
TID_BATTLE_ROYALE_23,River Rush
TID_BATTLE_ROYALE_24,Double Cross
TID_BATTLE_ROYALE_25,Walled Garden
TID_BATTLE_ROYALE_26,Old Bailey
TID_BATTLE_ROYALE_27,Sooty Snow
TID_BALL_12,Happy Feet
TID_BALL_13,Square Off
TID_BALL_14,Slot Machine
TID_BALL_15,Pinball Dreams
TID_BALL_16,Barrel Vault
TID_GOLDRUSH_19,Spring Trap
TID_GOLDRUSH_20,Bishop to King 4
TID_GOLDRUSH_21,Cross Cut
TID_GOLDRUSH_22,Acute Angle
TID_GOLDRUSH_23,Bouncing Echo
TID_GOLDRUSH_24,Cell Division
TID_GOLDRUSH_25,Double Swoosh
TID_GOLDRUSH_26,Yin Yang
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,无法发送组队请求，您发出的组队邀请仍在等待处理。
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,无法发送组队请求，您之前的组队请求正在等待处理。
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,组队请求已取消
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,我想加入你的小队
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>胜利</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>战败</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>平局</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>第<RANK>名</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>第<RANK>名</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>第<RANK>名</c>
TID_BATTLE_LOG_AGE,<TIME>前
TID_BATTLE_LOG_HERO_LEVEL_LABEL,等级
TID_BATTLE_LOG_TVST_VERSUS,VS
TID_BATTLE_LOG_TITLE,对战日志
TID_BATTLE_LOG_REPLAY,回放
TID_BATTLE_LOG_SURVIVED_FOR,存活时间：<TIME>
TID_BATTLE_LOG_VICTORY_IN,击败天选英雄耗时<TIME>
TID_BATTLE_LOG_MVP,乱斗明星
TID_BATTLE_LOG_FRIENDLY,友谊赛
TID_BATTLE_LOG_PVP,排位赛
TID_BATTLE_LOG_NO_ENTRIES,无记录
TID_BATTLE_LOG_THIS_IS_A_BOT,这是机器人
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,回放暂不可用
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,尚无可观看的回放
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,无法回放：英雄奖杯数不足
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,英雄奖杯数达到<NUM>即可解锁回放功能
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,无法回放：录制失败
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,抱歉，已无法回放
TID_PLAYER_XP_LEVEL,等级
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,添加好友失败
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,好友链接已失效！
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,无法添加好友，对方好友列表已满！
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,无法添加好友，您的好友列表已满！
TID_ADD_FRIEND_FAILED_BANNED,无法添加好友，该玩家已被封禁！
TID_KEYPOOL_KEYS_REMAINING,剩余<VALUE>
TID_KEYPOOL_NEXT_PATCH,<TIME>后+<KEYS>奖章
TID_TOP_HUD_NEXT_REWARD,下一奖励
TID_RANK_UP_REWARD_REPLACED_TITLE,确认领取替代奖励
TID_RANK_UP_REWARD_REPLACED_POWER,没有英雄可接收<AMOUNT>战力能量奖励。\n\n是否领取替代奖励？
TID_RANK_UP_REWARD_REPLACED_HERO,由于您已解锁<NAME>，您将获得替代奖励。
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,发送好友请求
TID_PLAYER_INFO_REMOVE_FRIEND,从好友列表中移除
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,已发送好友请求
TID_PLAYER_INFO_IS_YOUR_FRIEND,游戏内好友
TID_POWER_POINTS,战力能量
TID_HERO_INFO_LEVEL,等级
TID_HERO_INFO_RANK,荣誉
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,将战力等级升至<LVL>级
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,再次点击以确认
TID_HERO_INFO_MAX_LEVEL,等级已满
TID_HERO_INFO_MORE_POWER_NEEDED,收集更多战力能量以升级英雄！
TID_HERO_INFO_LEVEL_UP_ERROR_4,英雄战力能量不足
TID_HERO_INFO_LEVEL_UP_ERROR_3,您的金币不足！
TID_HERO_INFO_LEVEL_UP_ERROR_5,英雄已达到最高战力等级！
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,初始英雄
TID_PLAYER_REPORTED_SUCCESSFULLY,已举报该玩家！
TID_TOO_MANY_REPORTS_SENT,已达每日举报上限！
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,请稍后再进行举报
TID_CHOOSE_CHARACTER,选择英雄
TID_ARMOR,生命值
TID_ARMOR_DESC,表示英雄在被击败前能够承受的伤害。
TID_SHOTGUN_GIRL,雪莉
TID_SHOTGUN_GIRL_DESC,雪莉的霰弹枪可发射大型铅弹重创敌人。她的超级技能可摧毁掩体并击退敌人！
TID_LONG_RANGE_SHOTGUN,大口径霰弹枪
TID_LONG_RANGE_SHOTGUN_DESC,雪莉的霰弹枪可大范围射出多枚射程中等的弹丸，命中敌人的弹丸越多，造成的伤害越高。
TID_MEGA_BLASH_ULTI,超级霰弹
TID_MEGA_BLASH_ULTI_DESC,雪莉的超级霰弹可摧毁掩体直击对手，即使有敌人侥幸生还也会被击退。
TID_GUNSLINGER,柯尔特
TID_GUNSLINGER_DESC,柯尔特双持左轮手枪，每次攻击都能射出大量精准无比的子弹。他的超级技能发射的子弹更多更密、射程更远，还能粉碎掩体！
TID_RAPID_FIRE,左轮手枪
TID_RAPID_FIRE_DESC,柯尔特使用他的左轮手枪向同一方向连开6枪，可攻击到远距离的敌人。
TID_RAPID_FIRE_ULTI,子弹风暴
TID_RAPID_FIRE_ULTI_DESC,柯尔特快速连续射出大量子弹，这些子弹的射程更远且能摧毁掩体。
TID_BULL_DUDE,公牛
TID_BULL_DUDE_DESC,公牛的双管猎枪可以对近距离的敌人造成巨大伤害。开启超级技能后，他可以撞穿障碍、撞飞敌人！
TID_SHOTGUN_BLAST,双管猎枪
TID_SHOTGUN_BLAST_DESC,公牛的双管猎枪伤害相当惊人，但是射程很近，所以公牛喜欢冲到敌人跟前，面对面解决问题。
TID_CHARGE,蛮牛冲撞
TID_CHARGE_DESC,公牛埋头发动冲锋，能够撞飞敌人、撞穿掩体。没错，这位老兄不但脑袋硬得像头牛，脾气也倔得像头牛！
TID_ROCKET_GIRL,布洛克
TID_ROCKET_GIRL_DESC,布洛克可以发射高爆火箭弹打击远处的敌人。他的超级技能发射的火箭弹幕更能重创敌人、摧毁掩体！
TID_FIREWORKS_WEAPON,摇滚火箭炮
TID_FIREWORKS_WEAPON_DESC,布洛克的火箭炮每次能发射一枚射程惊人的火箭弹。
TID_FIREWORKS_ULTI,摇滚轰炸
TID_FIREWORKS_ULTI_DESC,布洛克发射的火箭弹幕可摧毁敌人和掩体。敌人沐浴在火箭雨中的画面，是布洛克眼里最美的风景。
TID_TNT_DUDE,爆破麦克
TID_TNT_DUDE_DESC,爆破麦克每次可以扔出两根雷管炸弹。他的超级技能是扔出一个塞满炸药的大木桶，把敌人和掩体统统炸飞！
TID_MORTAR,雷管炸弹
TID_MORTAR_DESC,麦克投掷出两根可飞越掩体的雷管炸弹。这些雷管炸弹就像麦克的脾气一样易燃易爆炸！
TID_MORTAR_ULTI,爆破全家桶
TID_MORTAR_ULTI_DESC,这个塞满炸药的炸药桶不仅威力巨大，还能摧毁掩体。即使敌人在爆炸中侥幸生还，也还会被强大的冲击波震飞。
TID_LUCHADOR,艾尔·普里莫
TID_LUCHADOR_DESC,艾尔·普里莫会用迅雷不及掩耳的拳法痛击对手。他的超级技能可以让他腾空而起，重创下方的敌人！
TID_LUCHADOR_WEAPON,愤怒铁拳
TID_LUCHADOR_WEAPON_DESC,艾尔·普里莫以迅雷之势连续打出4记愤怒铁拳。这墨西哥劲辣红椒味的拳头可以把对手打得满地找牙！
TID_LUCHADOR_ULTI,飞身肘击
TID_LUCHADOR_ULTI_DESC,艾尔·普里莫高高跃起，落地时施放强力肘击，可击退敌人并摧毁掩体！
TID_TRICKSHOT_DUDE_OLD,瑞科谢
TID_TRICKSHOT_DUDE_DESC,瑞科发射的一连串子弹撞到墙壁后会反弹。他的超级技能发射的子弹更多、飞得更远、弹力更强，还能穿透敌人！
TID_TRICKSHOT_DUDE_WEAPON,弹射子弹
TID_TRICKSHOT_DUDE_WEAPON_DESC,瑞科射出的子弹在击中墙面后会弹射，并会飞得更远，这一特性使他可以攻击到躲在掩体后的敌人。
TID_TRICKSHOT_DUDE_ULTI,特技射击
TID_TRICKSHOT_DUDE_ULTI_DESC,瑞科射出一长串子弹，子弹可以穿透敌人，击中墙面后会弹射并飞得更远。
TID_CACTUS,斯派克
TID_CACTUS_DESC,斯派克扔出的手雷在爆炸后会向四周发射尖刺。他华丽的超级技能会让指定区域内长满尖刺，可减缓敌人的移动速度并对他们造成伤害。
TID_CACTUS_WEAPON,尖刺手雷
TID_CACTUS_WEAPON_DESC,斯派克扔出一个小仙人掌，仙人掌爆炸后会向不同方向发射尖刺。
TID_CACTUS_ULTI,棘刺乐园
TID_CACTUS_ULTI_DESC,斯派克抛出一枚尖刺炸弹，处于技能作用范围内的敌人会受到伤害并降低移动速度。
TID_BARKEEP,巴利
TID_BARKEEP_DESC,巴利会丢出酒瓶攻击敌人并造成溅射伤害。他的超级技能是扔出一连串的燃烧瓶！
TID_BARKEEP_WEAPON,灼热烈酒
TID_BARKEEP_WEAPON_DESC,巴利抛出一个酒瓶，酒瓶落地破碎后会溅射烈酒，对处于溅射区域内的敌人造成伤害。如果敌人持续待在该区域中则会受到更多伤害。
TID_BARKEEP_ULTI,不醉不归
TID_BARKEEP_ULTI_DESC,巴利快速抛出多个燃烧瓶，使一大片区域燃起熊熊烈火。尝尝巴利亲手调制的鸡尾酒吧！
TID_MECHANIC,杰西
TID_MECHANIC_DESC,杰西用脉冲步枪发射的能量球会在多个敌人间弹射。她的超级技能是部署一座威力惊人的可爱炮台！
TID_MECHANIC_WEAPON,脉冲步枪
TID_MECHANIC_WEAPON_DESC,杰西发射一个能量球，能量球在命中目标后会弾向其他敌人，最多可击中3个敌人。
TID_MECHANIC_ULTI,炮台突击
TID_MECHANIC_ULTI_DESC,杰西架设一座可以自动攻击敌人的炮台，这座炮台可是用100%可回收材料制作的！
TID_SHAMAN,妮塔
TID_SHAMAN_DESC,妮塔发射的冲击波可以伤害多名敌人。她的超级技能是召唤一头熊灵与她并肩作战！
TID_SHAMAN_WEAPON,冲击波
TID_SHAMAN_WEAPON_DESC,妮塔向前方发射一道冲击波，对波及的敌人造成伤害。
TID_SHAMAN_ULTI,召唤熊灵
TID_SHAMAN_ULTI_DESC,妮塔召唤出自己的大宝贝熊，它会自动追击附近的敌人。
TID_UNDERTAKER,莫提斯
TID_UNDERTAKER_DESC,莫提斯每次挥铲都会向前突进。他的超级技能是召唤一群蝙蝠伤害敌人并治疗自己！
TID_UNDERTAKER_WEAPON,铁铲突击
TID_UNDERTAKER_WEAPON_DESC,莫提斯喜欢猛地挥舞铁铲向前突袭，为自己的事业创造商机。
TID_UNDERTAKER_ULTI,嗜血蝙蝠
TID_UNDERTAKER_ULTI_DESC,莫提斯召唤出一群蝙蝠，伤害敌人的同时也能为他自己恢复生命值，太恐怖了！
TID_CROW,黑鸦
TID_CROW_DESC,黑鸦每次会扔出3把毒刃。使用超级技能时，黑鸦会凌空飞起，并在腾空和着陆时分别扔出一圈毒刃！
TID_CROW_WEAPON,淬毒飞刃
TID_CROW_WEAPON_DESC,黑鸦扔出3把淬毒飞刃，被飞刃伤到的敌人会受到持续性伤害。
TID_CROW_ULTI,俯冲突袭
TID_CROW_ULTI_DESC,黑鸦飞向空中，在腾空和着陆的瞬间会向周围扔出一圈淬毒飞刃。
TID_DEAD_MARIACHI,波克
TID_DEAD_MARIACHI_DESC,波克的吉他会发出音浪，对敌人造成伤害。他的超级技能可以同时治疗自己和队友！
TID_DEAD_MARIACHI_WEAPON,强袭之音
TID_DEAD_MARIACHI_WEAPON_DESC,波克弹吉他时会发出一波接一波刺耳的琴声，被音浪波及的对手都会受到伤害。
TID_DEAD_MARIACHI_ULTI,活力安可
TID_DEAD_MARIACHI_ULTI_DESC,波克弹奏出一段振奋人心的旋律，为自己和范围内的队友恢复生命值！对敌人无效。
TID_BOW_DUDE,阿渤
TID_BOW_DUDE_DESC,阿渤每次可以朝敌人发射3支爆炸箭。他的超级技能是在地上放置3枚隐形的地雷！
TID_BOW_DUDE_WEAPON,鹰爪箭矢
TID_BOW_DUDE_WEAPON_DESC,阿渤每次能射出3支会爆炸的箭，这些箭矢就像雄鹰的利爪一样精准而致命。
TID_BOW_DUDE_ULTI,狩猎陷阱
TID_BOW_DUDE_ULTI_DESC,阿渤扔出几个隐形的爆炸陷阱，陷阱被触发后会有短暂延迟然后爆炸，对敌人造成伤害并击退敌人。
TID_SNIPER,佩佩
TID_SNIPER_DESC,佩佩可以远距离狙击敌人，她的子弹飞得越远，伤害就越高。她发动超级技能时，会在附近扔下几颗手榴弹，同时自己跳向一旁！
TID_SNIPER_WEAPON,狙击伞枪
TID_SNIPER_WEAPON_DESC,佩佩的特制阳伞从伞顶发射子弹狙击敌人，子弹飞行的距离越远，造成的伤害越高！
TID_SNIPER_ULTI,触不可及
TID_SNIPER_ULTI_DESC,佩佩跳向一旁，以躲避那些企图接近她的\q追求者\q。不过她还是会让他们感受到一点名媛的\q青睐\q：3颗藏在她吊带袜中的手榴弹。
TID_MINIGUN_DUDE,帕姆
TID_MINIGUN_DUDE_DESC,帕姆最爱用腰上的废料喷射器招呼敌人。她的超级技能是安放一座治疗台，为自己和附近的队友恢复生命值！
TID_MINIGUN_DUDE_WEAPON,废料喷射
TID_MINIGUN_DUDE_WEAPON_DESC,帕姆向大范围区域喷射金属废料。请戴好安全护目镜！
TID_MINIGUN_DUDE_ULTI,慈母之吻
TID_MINIGUN_DUDE_ULTI_DESC,帕姆的治疗台能够为她自己和技能作用范围内的队友恢复生命值。
TID_BONE_THROWER,白面枪手
TID_BONE_THROWER_DESC,不要小看这个枪手！他能随手拿起巨型机关枪，轻松扫平无数坏蛋。（移动速度慢，免疫击退）
TID_BONE_THROWER_WEAPON,重型机关枪
TID_BONE_THROWER_WEAPON_DESC,这个大个子能够轻而易举拿起这架巨大的机关枪，甚至能一边开火一边前进！
TID_BONE_THROWER_ULTI,绷带分发器
TID_BONE_THROWER_ULTI_DESC,枪林弹雨中不免会受些皮肉伤，而这台绷带分发器能让您和您的队友都保持奋战的活力。
TID_BLACK_HOLE,塔拉
TID_BLACK_HOLE_DESC,塔拉每次扔出3张塔罗牌，可以穿透敌人并造成伤害。她的超级技能可以把附近的敌人吸到一起并造成伤害！
TID_BLACK_HOLE_WEAPON,三重塔罗
TID_BLACK_HOLE_WEAPON_DESC,塔拉轻抖手腕，以迅雷之势甩出3张塔罗牌射伤对手。这技艺真是出神入化！
TID_BLACK_HOLE_ULTI,命运之轮
TID_BLACK_HOLE_ULTI_DESC,塔拉召唤一个命运之轮，其强大的吸力会让作用范围内的敌人狠狠地撞到一起！
TID_TURRET_DAMAGE,炮台伤害
TID_TURRET_HEALTH,炮台生命值
TID_STAT_DAMAGE_PER_SECOND,每秒伤害
TID_STAT_DAMAGE_PER_SECOND_EACH,每秒伤害
TID_STAT_DAMAGE_PER_STRIKE,每拳伤害
TID_ROBOT,警官艾恩斯
TID_ROBOT_DESC,为服务而生，为破坏代言。
TID_ROBOT_WEAPON,狙击火箭
TID_ROBOT_WEAPON_DESC,警官艾恩斯利用与生俱来的机械精度发射爆炸火箭，可以攻击到超远距离外的敌军。
TID_ROBOT_ULTI,密集打击
TID_ROBOT_ULTI_DESC,如果需要使用非常手段，警官艾恩斯可以发射大量火箭，对密集的敌军造成重大打击。
TID_ARMOR_STAT,生命值
TID_HEALTH,生命值
TID_STAT_GRENADE_DAMAGE,每颗手榴弹伤害
TID_STAT_MISSILE_DAMAGE,每发火箭弹伤害
TID_STAT_HEALTH,生命值
TID_STAT_SPEED,速度
TID_STAT_DAMAGE,伤害
TID_STAT_DAMAGE_PER_SHOT,每发子弹伤害
TID_STAT_DAMAGE_PER_SHELL,每颗弹丸伤害
TID_STAT_HAMMER_DAMAGE,每0.2秒伤害
TID_BATTLE,对战
TID_QUIT,退出
TID_MATCHMAKING_QUIT,退出
TID_MATCHMAKING_HEADING,正在搜索玩家
TID_MATCHMAKING_TIME_LABEL,离对战开始还有：
TID_MATCHMAKING_PLAYERS,已找到玩家 <x>/<y>
TID_BUTTON_CANCEL,取消
TID_BUTTON_OK,确定
TID_ENTER_NAME_TITLE,欢迎来到《荒野乱斗》！
TID_ENTER_NAME_BODY,取个名字吧！
TID_TIME_DAYS,天
TID_TIME_HOURS,小时
TID_TIME_MINS,分
TID_TIME_SECS,秒
TID_MATCHMAKING_TIME,<TIME>后开始
TID_SUPERCELL_ID_TITLE,Supercell ID
TID_SUPERCELL_ID_BUTTON_CONNECTED,已连接
TID_SUPERCELL_ID_BUTTON_DISCONNECTED,连接
TID_SUPERCELL_ID_LOGIN_BUTTON,登录
TID_SUPERCELL_ID_NEW_GAME_BUTTON,不登录
TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID,您想要加载另一个经验等级为<number>级的游戏进程吗？请登录您的Supercell ID加载该进程。
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,错误！
TID_ERROR_POP_UP_OUT_OF_SYNC,客户端与服务器不同步！
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,重新加载
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,连接错误
TID_ERROR_POP_UP_CONNECTION_FAILED,无法连接服务器，请检查您的网络连接后再次尝试。
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,重试
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,登录失败
TID_ERROR_POP_UP_LOGIN_FAILED,请稍后再次尝试。
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,重试
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,还在吗？
TID_ERROR_POP_UP_AUTO_DISCONNECTED,点击下方按钮重新载入游戏。
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,重新载入游戏
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,可以更新啦！
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,好消息！《荒野乱斗》有新版本啦。
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,更新
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,系统维护中
TID_ERROR_POP_UP_SERVER_MAINTENANCE,抱歉，服务器正在维护。请您先休息一会儿，稍后重试。
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,重试
TID_ERROR_POP_UP_BANNED_TITLE,您的账号已被封禁！
TID_ERROR_POP_UP_BANNED,您的账号已被临时封禁
TID_ERROR_POP_UP_BANNED_BUTTON,确定
TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS,联系玩家支持
TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON,查看详情
TID_INFO_POP_UP_IAP_NOTE_TITLE,重要通知
TID_INFO_POP_UP_IAP_NOTE,《荒野乱斗》是一款免费游戏，但您可以使用应用内购买加速游戏进度（您可以在设备的设置中关闭该购买功能）。轻按确定以接受我们的服务条款与隐私保护政策。
TID_INFO_POP_UP_IAP_NOTE_BUTTON,确定
TID_SERVER_ERROR_TITLE,服务器错误<number>
TID_SERVER_ERROR,您在战斗时与服务器断开了连接。
TID_SERVER_ERROR_BUTTON,确定
TID_COME_BACK_NOTIFICATION_SMALL,再来一场对战？
TID_COME_BACK_NOTIFICATION_MEDIUM,再来一场对战？
TID_COME_BACK_NOTIFICATION_LARGE,再来一场对战？
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,连接中断
TID_ERROR_POP_UP_CONNECTION_LOST,请重新登录！
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,重新登录
TID_TROPHIES,奖杯
TID_PRACTICE,练习
TID_READY,准备就绪
TID_BATTLE_END_TITLE_VICTORY,胜利！
TID_BATTLE_END_TITLE_DEFEAT,战败
TID_BATTLE_END_TITLE_DRAW,平局
TID_BATTLE_END_TITLE_COOP_SURVIVAL,存活时间：<TIME>
TID_BATTLE_END_DEATHMATCH_VICTORY,您是第1名！
TID_BATTLE_END_DEATHMATCH_DEFEAT,第<RANK>名
TID_BATTLE_END_TVST_DRAW_DESC,平局——双方收集的宝石数量相同！
TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM,击败天选英雄耗时<TIME>
TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS,存活时间：<TIME>
TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY,<LEVEL>难度已完成！
TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT,战败
TID_BATTLE_END_RETURN_HOME,退出
TID_BATTLE_END_NEXT,下一步
TID_BATTLE_END_TAP,点击以继续
TID_BATTLE_END_NO_PRACTISE_TROPHIES,练习模式不会获得奖杯
TID_BATTLE_END_XP_CAPPED,今天获得的经验值已达上限
TID_BATTLE_END_PLAY_AGAIN,再来一场
TID_BATTLE_END_PLAY_AGAIN_CANCEL,取消
TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS,<WAITING>/<TOTAL>
TID_BATTLE_END_PLAY_AGAIN_PLAYERS,<caaaaaa><TOTAL></c>
TID_BATTLE_END_PLAY_AGAIN_TIMER,<TIME>
TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM,<NAME>加入了您的小队
TID_RESPAWNING,重生倒计时：\n<n1>
TID_TEAMS_POPUP_TITLE,小队
TID_TEAMS_POPUP_SUBTITLE_IN_CLAN,战队和好友小队
TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN,加入战队，即可在这里查看可加入的小队
TID_TEAMS_POPUP_SEARCH,使用代码加入
TID_TEAMS_POPUP_CREATE,创建小队
TID_TEAM_SEARCH_POPUP_TITLE,使用代码加入小队
TID_TEAM_SEARCH_POPUP_SEARCH,加入
TID_TEAM_JOIN_ROOM_CODE,在此输入小队代码
TID_TEAM_CHANGE_MAP,更换
TID_TEAM_TYPE_INFO_0,排位赛
TID_TEAM_TYPE_INFO_1,友谊赛
TID_TEAM_TYPE_INFO_2,凭票参赛
TID_TEAM_MEMBER_LEFT_0,您已离开小队
TID_TEAM_MEMBER_LEFT_1,您已被踢出小队
TID_TEAM_MEMBER_LEFT_2,活动结束，小队已解散。
TID_TEAM_MEMBER_LEFT_3,小队创建者退出，小队已解散。
TID_TEAM_GAME_STARTING,游戏开始
TID_TEAM_CODE_COPIED,代码已复制到剪贴板
TID_TEAM_MEMBER_INVITE_STATUS_1,<c00ff00>等待对方答复</c>
TID_TEAM_MEMBER_INVITE_STATUS_2,<ccc0000>已拒绝</c>
TID_TEAM_MEMBER_INVITE_STATUS_3,<c0000cc>对方已下线</c>
TID_TEAM_MEMBER_CANCEL_INVITE_INFO,点击取消
TID_TEAM_ERROR_1,小队服务器错误
TID_TEAM_ERROR_2,加入失败，小队已满。
TID_TEAM_ERROR_3,加入失败，小队已解散。
TID_TEAM_ERROR_5,小队代码无效，请检查代码是否正确。
TID_TEAM_ERROR_6,无法找到指定的小队。
TID_TEAM_ERROR_7,加入失败，您无法加入踢出过您的小队。
TID_TEAM_ERROR_8,请检查人员分配，每方人数不能超过3人。
TID_TEAM_ERROR_10,创建失败，您已经加入了一个小队。
TID_TEAM_ERROR_11,创建失败，活动已结束。
TID_TEAM_ERROR_12,加入失败，小队已解散。
TID_TEAM_ERROR_14,创建失败，该活动不支持组队游戏。
TID_TEAM_ERROR_15,加入失败，该小队不在您所在的地区。
TID_TEAM_ERROR_17,无法开始游戏，不允许使用相同的英雄。
TID_TEAM_ERROR_18,无法开始游戏，系统即将维护。
TID_TEAM_ERROR_19,小队创建者在线时不能将其踢出。
TID_TEAM_ERROR_20,无法更换地图，该地图玩家数量过多。
TID_TEAM_ERROR_21,无法开始游戏，门票数量不足。
TID_TEAM_ERROR_22,无法更换地图，玩家数量过多。
TID_TEAM_ERROR_24,邀请失败，未找到好友。
TID_TEAM_ERROR_25,邀请失败，小队已满。
TID_TEAM_ERROR_26,邀请被拒绝
TID_TEAM_ERROR_27,邀请失败，该玩家目前不接受组队请求。
TID_TEAM_ERROR_28,邀请失败，玩家已下线。
TID_TEAM_ERROR_29,邀请失败，玩家已加入其他小队
TID_TEAM_ERROR_30,无法开始游戏，还有邀请等待处理。
TID_TEAM_ERROR_31,无法更换活动，还有邀请等待处理。
TID_TEAM_ERROR_32,小队人员太多，无法开始该模式
TID_TEAM_ERROR_33,该模式不支持组队游戏
TID_TEAM_ERROR_34,您已经击败了最后的首领
TID_TEAM_ERROR_40,组队请求正在等待处理
TID_TEAM_ERROR_41,组队请求被拒绝
TID_TEAM_ERROR_42,组队请求发送失败，无法找到目标小队。
TID_TEAM_ERROR_43,组队请求发送失败，对方已离开小队。
TID_TEAM_ERROR_44,组队请求发送失败，对方已下线。
TID_TEAM_ERROR_45,组队请求发送失败，小队已满。
TID_TEAM_ERROR_46,无法发送组队请求，您已被对方屏蔽。
TID_TEAM_ERROR_47,组队请求发送失败，只有友谊赛创建者可接受组队请求。
TID_TEAM_ERROR_48,对方已屏蔽所有组队邀请
TID_SELECT_LOCATION_TITLE,选择地图
TID_SELECT_LOCATION_LOCATIONS,友谊赛
TID_SELECT_LOCATION_EVENTS,排位赛
TID_TEAM_SEARCH_INVALID_CODE,小队代码无效，请检查该代码是否正确。
TID_TEAM_LEAVE,退出
TID_TEAM_JOIN,加入小队
TID_TEAM_READY_BUTTON_LABEL,准备就绪
TID_TEAM_CANCEL_READY,取消
TID_TEAM_QUIT,退出
TID_TEAM_TEAMCODE,小队代码
TID_TEAM_TEAMCODE_DESC,您的好友可使用该代码加入这个小队。
TID_TEAM_WAITING_FOR_PLAYER,使用小队代码邀请
TID_TEAM_NO_MEMBER,机器人
TID_TEAM_NO_MEMBER_INVITE,邀请
TID_TEAMCREATE_EVENT,地图
TID_TEAM_KICK,踢出
TID_TEAM_PROFILE,玩家信息
