TID,RU
TID_CROW_WEAPON,КЛИНКИ
TID_CROW_WEAPON_DESC,"Ворон бросает три кинжала. Враги, задетые отравленными клинками, постепенно теряют здоровье."
TID_CROW_ULTI,НАЛЁТ
TID_CROW_ULTI_DESC,"Взмывая в небо и возвращаясь на землю, Ворон окружает себя кольцом отравленных кинжалов."
TID_DEAD_MARIACHI,ПОКО
TID_DEAD_MARIACHI_DESC,Поко атакует врагов разрушительной звуковой волной. Его Супер исцеляет его самого и его товарищей по команде!
TID_DEAD_MARIACHI_WEAPON,МОЩНЫЙ АККОРД
TID_DEAD_MARIACHI_WEAPON_DESC,"Ударив по струнам, Поко распространяет пронизывающую до костей звуковую волну. Наносит урон всем задетым ею врагам."
TID_DEAD_MARIACHI_ULTI,НА БИС!
TID_DEAD_MARIACHI_ULTI_DESC,"Поко лечит себя и находящихся рядом друзей, исполняя воодушевляющую мелодию. Не оказывает влияния на врагов."
TID_BOW_DUDE,БО
TID_BOW_DUDE_DESC,Бо выпускает три взрывные стрелы. Его Супер —установка трёх секретных взрывных ловушек!
TID_BOW_DUDE_WEAPON,ОРЛИНЫЙ ГЛАЗ
TID_BOW_DUDE_WEAPON_DESC,"Три выпущенные Бо взрывные стрелы рвут врагов на части, как орлиные когти."
TID_BOW_DUDE_ULTI,ОХОТА НА ЛИС
TID_BOW_DUDE_ULTI_DESC,"Ловушки Бо взрываются после активации врагом с небольшой задержкой. Нанеся урон, они отбрасывают противников назад."
TID_SNIPER,ПАЙПЕР
TID_SNIPER_DESC,"Снайперские выстрелы Пайпер наносят больше урона на большей дистанции. Её Супер — три гранаты, бросив которые, она сбегает!"
TID_SNIPER_WEAPON,ЗОНТОВКА
TID_SNIPER_WEAPON_DESC,"Пайпер делает снайперский выстрел из наконечника своего зонта. Чем больше дистанция выстрела, тем он становится мощнее!"
TID_SNIPER_ULTI,ПРОМЕНАД
TID_SNIPER_ULTI_DESC,"Пайпер сбегает от назойливых поклонников, оставляя маленький сувенир на память: три гранаты без чеки!"
TID_MINIGUN_DUDE,ПЭМ
TID_MINIGUN_DUDE_DESC,"Выстрелы Пэм усыпают всё вокруг шрапнелью. Её Супер — лечебная турель, восстанавливающая здоровье ей и товарищам по команде!"
TID_MINIGUN_DUDE_WEAPON,БУРЯ ЛОМА
TID_MINIGUN_DUDE_WEAPON_DESC,"Пэм осыпает округу кусками металлолома. Пожалуйста, наденьте защитные очки!"
TID_MINIGUN_DUDE_ULTI,МАМОЧКИН ПОЦЕЛУЙ
TID_MINIGUN_DUDE_ULTI_DESC,"Лечебная турель Пэм лечит её саму и всех товарищей, находящихся в зоне действия турели."
TID_BONE_THROWER,Метатель костей
TID_BONE_THROWER_DESC,"Ловко управляясь со своим массивным пулеметом, этот боец может уложить почти неограниченное количество врагов (низкая скорость перемещения, устойчивость к отбрасыванию)."
TID_BONE_THROWER_WEAPON,МИНИГАН
TID_BONE_THROWER_WEAPON_DESC,Этот боец просто создан для своего минигана. Он даже может вести огонь на ходу!
TID_BONE_THROWER_ULTI,АВТОПЕРЕВЯЗКА
TID_BONE_THROWER_ULTI_DESC,В ожесточенной перестрелке получить царапину или серьёзную рану проще простого. Автоперевязка поможет всей команде остаться в строю!
TID_BLACK_HOLE,ТАРА
TID_BLACK_HOLE_DESC,"Три карты таро Тары пронзают врагов. Её Супер — чёрная дыра, затягивающая находящихся поблизости врагов и наносящая им урон!"
TID_BLACK_HOLE_WEAPON,ТРИ КАРТЫ ТАРО
TID_BLACK_HOLE_WEAPON_DESC,"Небрежное движение руки, и три карты таро пронзают врагов. Вот это ловкость!"
TID_BLACK_HOLE_ULTI,ПРИТЯЖЕНИЕ
TID_BLACK_HOLE_ULTI_DESC,"Тара колдовством создает гравитационный колодец. Попавшие в зону действия враги сталкиваются друг с другом, испытывая мучительную боль."
TID_TURRET_DAMAGE,Урон турели
TID_TURRET_HEALTH,Здоровье турели
TID_STAT_DAMAGE_PER_SECOND,Урон в секунду
TID_STAT_DAMAGE_PER_SECOND_EACH,Урон в секунду
TID_STAT_DAMAGE_PER_STRIKE,Урон от удара
TID_ROBOT,ПОМОЩНИК ШЕРИФА АЙРОНС
TID_ROBOT_DESC,Создан служить. Призван разрушать.
TID_ROBOT_WEAPON,РАКЕТНЫЙ СНАЙПЕР
TID_ROBOT_WEAPON_DESC,Помощник шерифа Айронс запускает взрывную ракету на невероятно длинную дистанцию с механической точностью.
TID_ROBOT_ULTI,СДЕРЖИВАЕНИЕ ТОЛПЫ
TID_ROBOT_ULTI_DESC,"Когда необходимо прибегнуть к крайним мерам, помощник шерифа Айронс готов обрушить на неуправляемую толпу шквал ракет."
TID_ARMOR_STAT,Здоровье
TID_HEALTH,Здоровье
TID_STAT_GRENADE_DAMAGE,Урон от гранаты
TID_STAT_MISSILE_DAMAGE,Урон от ракеты
TID_STAT_HEALTH,Здоровье
TID_STAT_SPEED,Скорость
TID_STAT_DAMAGE,Урон
TID_STAT_DAMAGE_PER_SHOT,Урон от пули
TID_STAT_DAMAGE_PER_SHELL,Урон от выстрела
TID_STAT_HAMMER_DAMAGE,"Урон каждые 0,2 с."
TID_BATTLE,ИГРАТЬ
TID_QUIT,Выйти
TID_MATCHMAKING_QUIT,Выйти
TID_MATCHMAKING_HEADING,Поиск игроков
TID_MATCHMAKING_TIME_LABEL,Игра начнется через
TID_MATCHMAKING_PLAYERS,Найдено игроков: <x> из <y>
TID_BUTTON_CANCEL,Отмена
TID_BUTTON_OK,ОК
TID_ENTER_NAME_TITLE,Добро пожаловать в Brawl Stars!
TID_ENTER_NAME_BODY,Как тебя зовут?
TID_TIME_DAYS, д.
TID_TIME_HOURS, ч.
TID_TIME_MINS, м.
TID_TIME_SECS, с.
TID_MATCHMAKING_TIME,Время до начала: <TIME>
TID_SUPERCELL_ID_TITLE,Supercell ID
TID_SUPERCELL_ID_BUTTON_CONNECTED,Подключено
TID_SUPERCELL_ID_BUTTON_DISCONNECTED,Подключение
TID_SUPERCELL_ID_LOGIN_BUTTON,Вход
TID_SUPERCELL_ID_NEW_GAME_BUTTON,Играть без подключения
TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID,Хочешь загрузить другую игру с <number>-м уровнем опыта ? Для этого нужно войти в игру с Supercell ID.
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,Ошибка!
TID_ERROR_POP_UP_OUT_OF_SYNC,Клиент и сервер не синхронизированы!
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,Перезагрузить игру
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,Ошибка подключения
TID_ERROR_POP_UP_CONNECTION_FAILED,Не удаётся подключиться к серверу. Проверь подключение к Интернету и попробуй снова.
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,Попробовать снова
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,Войти не удалось
TID_ERROR_POP_UP_LOGIN_FAILED,"Пожалуйста, попробуй позже."
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,Попробовать снова
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,Тут есть кто-нибудь?
TID_ERROR_POP_UP_AUTO_DISCONNECTED,"Нажми на кнопку внизу, чтобы перезагрузить игру."
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,Перезагрузить игру
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,Доступно обновление!
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,Отличные новости! Доступна новая версия Brawl Stars.
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,Обновление
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,Технический перерыв
TID_ERROR_POP_UP_SERVER_MAINTENANCE,"Прости, на сервере ведутся технические работы. Попробуй, пожалуйста, позже."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,Попробовать снова
TID_ERROR_POP_UP_BANNED_TITLE,Тебя заблокировали!
TID_ERROR_POP_UP_BANNED,Тебя временно заблокировали
TID_ERROR_POP_UP_BANNED_BUTTON,OK
TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS,Поддержка
TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON,Подробнее
TID_INFO_POP_UP_IAP_NOTE_TITLE,Важное сообщение
TID_INFO_POP_UP_IAP_NOTE,"Brawl Stars — бесплатная игра, но ты можешь ускорить её прохождение с помощью встроенных покупок (эту возможность можно отключить в настойках устройства). Если ты принимаешь условия пользования и политику конфиденциальности, нажми кнопку «OK»."
TID_INFO_POP_UP_IAP_NOTE_BUTTON,OK
TID_SERVER_ERROR_TITLE,Ошибка сервера <number>
TID_SERVER_ERROR,Во время боя пропала связь.
TID_SERVER_ERROR_BUTTON,OK
TID_COME_BACK_NOTIFICATION_SMALL,Ещё один бой?
TID_COME_BACK_NOTIFICATION_MEDIUM,Ещё один бой?
TID_COME_BACK_NOTIFICATION_LARGE,Ещё один бой?
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,Подключение прервано
TID_ERROR_POP_UP_CONNECTION_LOST,"Пожалуйста, попробуй войти снова!"
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,Повторный вход
TID_TROPHIES,Трофеи
TID_PRACTICE,ТРЕНИРОВКА
TID_READY,Готово
TID_BATTLE_END_TITLE_VICTORY,ПОБЕДА!
TID_BATTLE_END_TITLE_DEFEAT,ПОРАЖЕНИЕ
TID_BATTLE_END_TITLE_DRAW,Ничья
TID_BATTLE_END_TITLE_COOP_SURVIVAL,Время выживания: <TIME>
TID_BATTLE_END_DEATHMATCH_VICTORY,Ты лучше всех!
TID_BATTLE_END_DEATHMATCH_DEFEAT,Ранг: <RANK>
TID_BATTLE_END_TVST_DRAW_DESC,"Игра закончилась ничьей, потому что обе команды собрали одинаковое количество кристаллов."
TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM,Мегабоец побеждён за <TIME>
TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS,Время выживания: <TIME>
TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY,ИСПЫТАНИЕ УРОВНЯ «<LEVEL>» ПРОЙДЕНО!
TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT,ПОРАЖЕНИЕ
TID_BATTLE_END_RETURN_HOME,ВЫЙТИ
TID_BATTLE_END_NEXT,Далее
TID_BATTLE_END_TAP,нажми для продолжения
TID_BATTLE_END_NO_PRACTISE_TROPHIES,В ТРЕНИРОВКЕ НЕЛЬЗЯ ВЫИГРАТЬ ТРОФЕИ
TID_BATTLE_END_XP_CAPPED,Весь доступный сегодня опыт уже получен
TID_BATTLE_END_PLAY_AGAIN,ИГРАТЬ СНОВА
TID_BATTLE_END_PLAY_AGAIN_CANCEL,ОТМЕНА
TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS,<WAITING>/<TOTAL>
TID_BATTLE_END_PLAY_AGAIN_PLAYERS,<caaaaaa><TOTAL></c>
TID_BATTLE_END_PLAY_AGAIN_TIMER,<TIME>
TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM,<NAME> вступает в твою команду
TID_RESPAWNING,Возвращение через\n<n1>
TID_TEAMS_POPUP_TITLE,КОМАНДЫ
TID_TEAMS_POPUP_SUBTITLE_IN_CLAN,Команды клуба и друзей
TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN,"ВСТУПИ В КЛУБ, ЧТОБЫ УВИДИТЬ АКТИВНЫЕ ИГРЫ"
TID_TEAMS_POPUP_SEARCH,ВСТУПИТЬ ПО КОДУ
TID_TEAMS_POPUP_CREATE,СОЗДАТЬ КОМАНДУ
TID_TEAM_SEARCH_POPUP_TITLE,ВСТУПИТЬ В КОМАНДУ ПО КОДУ
TID_TEAM_SEARCH_POPUP_SEARCH,ВСТУПИТЬ
TID_TEAM_JOIN_ROOM_CODE,Введи здесь код команды...
TID_TEAM_CHANGE_MAP,СМЕНИТЬ
TID_TEAM_TYPE_INFO_0,Ранговый
TID_TEAM_TYPE_INFO_1,Дружеский
TID_TEAM_TYPE_INFO_2,По билетам
TID_TEAM_MEMBER_LEFT_0,Команда покинута.
TID_TEAM_MEMBER_LEFT_1,Тебя выгнали из команды.
TID_TEAM_MEMBER_LEFT_2,"Команда распущена, потому что срок действия события истёк."
TID_TEAM_MEMBER_LEFT_3,"Команда распущена, потому что создатель команды ее покинул."
TID_TEAM_GAME_STARTING,Игра начинается
TID_TEAM_CODE_COPIED,Код скопирован в буфер обмена
TID_TEAM_MEMBER_INVITE_STATUS_1,<c00ff00>ОЖИДАНИЕ ОТВЕТА НА ПРИГЛАШЕНИЕ</c>
TID_TEAM_MEMBER_INVITE_STATUS_2,<ccc0000>ОТКЛОНЕНО</c>
TID_TEAM_MEMBER_INVITE_STATUS_3,<c0000cc>ПОЛЬЗОВАТЕЛЬ НЕ В СЕТИ</c>
TID_TEAM_MEMBER_CANCEL_INVITE_INFO,нажми для отмены
TID_TEAM_ERROR_1,Ошибка сервера команды
TID_TEAM_ERROR_2,"Нельзя вступить, команда уже набрана."
TID_TEAM_ERROR_3,Нельзя вступить. Команда уже распущена.
TID_TEAM_ERROR_5,"Недействительный код команды. Убедись, что он правильный."
TID_TEAM_ERROR_6,Не удалость найти команду по такому коду.
TID_TEAM_ERROR_7,"Нельзя вступить в команду, если тебя раньше из неё выгнали."
TID_TEAM_ERROR_8,Проверь настройки. Каждая из сторон может иметь не более трёх игроков.
TID_TEAM_ERROR_10,Нельзя создать команду. Ты уже в команде.
TID_TEAM_ERROR_11,Нельзя создать команду. Срок действия события истёк.
TID_TEAM_ERROR_12,"Нельзя вступить в команду, которая уже прекратила существовать."
TID_TEAM_ERROR_14,Нельзя создать команду. Командная игра во время этого события невозможна.
TID_TEAM_ERROR_15,Нельзя вступить в команду. Эта команда не в твоём регионе.
TID_TEAM_ERROR_17,Невозможно начать игру. Использование повторяющихся бойцов не допускается.
TID_TEAM_ERROR_18,Невозможно начать игру. Игра закрыта на техобслуживание.
TID_TEAM_ERROR_19,"Нельзя выгнать создателя команды, пока он в сети."
TID_TEAM_ERROR_20,Нельзя сменить карту. Слишком много игроков для этой карты.
TID_TEAM_ERROR_21,Невозможно начать игру. Не хватает билетов.
TID_TEAM_ERROR_22,Нельзя сменить карту. Слишком много игроков.
TID_TEAM_ERROR_24,Пригласить не удалось. Друзья не найдены
TID_TEAM_ERROR_25,Пригласить не удалось. Команда уже набрана
TID_TEAM_ERROR_26,Приглашение отклонено
TID_TEAM_ERROR_27,Пригласить не удалось. В настоящее время игрок не принимает приглашения в команду
TID_TEAM_ERROR_28,Пригласить не удалось. Игрок вышел из сети
TID_TEAM_ERROR_29,Пригласить не удалось. Игрок уже в команде
TID_TEAM_ERROR_30,"Невозможно начать игру, ответ на приглашение ещё не был получен."
TID_TEAM_ERROR_31,Невозможно сменить событие во время ожидания ответа на приглашение.
TID_TEAM_ERROR_32,В команде слишком много участников для этого игрового режима.
TID_TEAM_ERROR_33,Этот игровой режим не поддерживает командную игру.
TID_TEAM_ERROR_34,Ты уже победил последнего босса.
TID_TEAM_ERROR_40,Запрос на вступление в команду уже ожидает рассмотрения.
TID_TEAM_ERROR_41,Запрос на вступление в команду был отклонён.
TID_TEAM_ERROR_42,Запрос на вступление в команду не удался. Команда не найдена.
TID_TEAM_ERROR_43,Получатель запроса на вступление в команду уже не в команде.
TID_TEAM_ERROR_44,Получатель запроса на вступление в команду вышел из сети.
TID_TEAM_ERROR_45,Запрос на вступление в команду не удался. Команда уже набрана
TID_TEAM_ERROR_46,Получатель запроса на вступление в команду заглушил тебя.
TID_TEAM_ERROR_47,Запрос на вступление в команду не удался. Запросы на вступление может принимать только создатель дружеской игры.
TID_TEAM_ERROR_48,Получатель запроса на вступление в команду заглушил все приглашения.
TID_SELECT_LOCATION_TITLE,ВЫБРАТЬ КАРТУ
TID_SELECT_LOCATION_LOCATIONS,ДРУЖЕСКИЙ
TID_SELECT_LOCATION_EVENTS,РАНГОВЫЙ
TID_TEAM_SEARCH_INVALID_CODE,"Недействительный код команды. Убедись, что он правильный."
TID_TEAM_LEAVE,ВЫЙТИ
TID_TEAM_JOIN,ВСТУПИТЬ В КОМАНДУ
TID_TEAM_READY_BUTTON_LABEL,ГОТОВО!
TID_TEAM_CANCEL_READY,Отмена
TID_TEAM_QUIT,ВЫЙТИ
TID_TEAM_TEAMCODE,Код команды
TID_TEAM_TEAMCODE_DESC,Твои друзья могут вступить в команду по этому коду
TID_TEAM_WAITING_FOR_PLAYER,Пригласить при помощи кода команды
TID_TEAM_NO_MEMBER,БОТ
TID_TEAM_NO_MEMBER_INVITE,ПРИГЛАСИТЬ
TID_TEAMCREATE_EVENT,Карта
TID_TEAM_KICK,ВЫГНАТЬ
TID_TEAM_PROFILE,Профиль
TID_TEAM_SWAP,Поменять стороны
TID_TEAM_SWAP_HERE,Перенести сюда
TID_TEAM_CREATOR_ONLY_FEATURE,Доступно только создателю команды
TID_TEAM_CREATOR_ONLY_FEATURE_MODES,Только создатель команды может поменять событие
TID_TEAM_PROFILE_BLOCKED,Просмотр недоступен в режиме готовности
TID_TEAM_FEATURE_BLOCKED_WHILE_READY,Недоступно в режиме готовности
TID_TEAM_PRACTISE_BUTTON_LABEL,ТРЕНИРОВКА
TID_TEAM_PRACTISE_BUTTON_SUBLABEL,с ботами
TID_TEAM_LOOT_UNLOCKS,НАГРАДА
TID_BONUS_REWARD,Дополнительная награда за 3 победы:
TID_BONUS_REWARD_COLLECTED,Дополнительная награда получена
TID_INFO_SERVER_ERROR_TITLE,Ошибка сервера
TID_INFO_SERVER_ERROR_BUTTON,Перезагрузить игру
TID_RARITY_NAME_0,Награда пути к славе
TID_RARITY_NAME_1,Редкий
TID_RARITY_NAME_2,Сверхредкий
TID_RARITY_NAME_3,Эпический
TID_RARITY_NAME_4,Мифический
TID_RARITY_NAME_5,Легендарный
TID_RARITY_COLOR_0,B9EAFF
TID_RARITY_COLOR_1,68FD58
TID_RARITY_COLOR_2,5AB3FF
TID_RARITY_COLOR_3,D850FF
TID_RARITY_COLOR_4,FE5E72
TID_RARITY_COLOR_5,FFF11E
TID_HERO_SCREEN_DIM_COLOR,164382
TID_RANK_UP_POPUP_TITLE,НОВЫЙ РАНГ!
TID_RANK_UP_POPUP_REWARD_BONUS,БОНУС ПОВЫШЕНИЯ РАНГА
TID_RANK_UP_POPUP_RANK,Ранг: <RANK>
TID_NAME_FAILED_TOO_SHORT,Это имя слишком короткое!
TID_NAME_FAILED_PROFANITIES,Такое имя недопустимо!
TID_NAME_FAILED,Такое имя недопустимо!
TID_EVENT_STARTED,<GAMEMODE>: открыта новая карта! Можно получить награду!
TID_SELECT_HERO_INFO_1,<cFF8000>Игроки против игроков</c>
TID_SELECT_HERO_INFO_2,<c2288ff>Игроки против ботов</c>
TID_SELECT_HERO_INFO_3,<c40E0D0>Одиночная игра с ботами</c>
TID_SELECT_HERO_INFO_1_6,<cFF8000>Игроки против игроков</c>
TID_SELECT_HERO_INFO_3_6,<c40E0D0>Одиночная игра с ботами</c>
TID_SELECT_HERO_INFO_FRIENDLY,<c40E0D0>В дружеских боях все бойцы полностью улучшены</c>
TID_SELECT_HERO_INFO_RANK_REWARD,Для получения очков силы
TID_SELECT_HERO_POW_INFO_TITLE,ОЧКИ СИЛЫ В НАГРАДУ
TID_SELECT_HERO_POW_INFO_PURCHASE_TITLE,ПОКУПКА ОЧКОВ СИЛЫ
TID_SELECT_HERO_POW_INFO_BODY,ВЫБЕРИ БОЙЦА\nДЛЯ ПОЛУЧЕНИЯ ОЧКОВ СИЛЫ
TID_SELECT_HERO_WILD_CARD_POWER_NOT_ASSIGNABLE,Этот боец уже собрал максимальное количество очков силы
TID_WILDCARD_POWER_PURCHASE_CONFIRM_TITLE,ПОДТВЕРДИТЬ ПОКУПКУ
TID_WILDCARD_POWER_PURCHASE_CONFIRM_INFO,Очки силы получит <HERO>
TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_TITLE,ПОДТВЕРДИТЬ НАГРАДУ
TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_INFO,Очки силы получит <HERO>
TID_NAVI_1,Магазин
TID_NAVI_2,Новости
TID_NAVI_3,Бой
TID_NAVI_4,Бойцы
TID_NAVI_5,Клуб
TID_NAVI_6,Профиль
TID_NAVI_7,Друзья
TID_LEADERBOARD_TITLE,СПИСКИ ЛИДЕРОВ
TID_LEADERBOARD_TAB_TOTAL,ВСЕГО\nТРОФЕЕВ
TID_LEADERBOARD_TAB_HEROES,БОЙЦЫ
TID_LEADERBOARD_TAB_CLANS,КЛУБЫ
TID_LEADERBOARD_TAB_FRIENDS,ДРУЗЬЯ
TID_LEADERBOARD_SUBTITLE_1,ЛУЧШИЕ ИГРОКИ
TID_LEADERBOARD_SUBTITLE_2,ЛУЧШИЕ КЛУБЫ
TID_LEADERBOARD_SUBTITLE_0,<HERO>: ЛУЧШИЕ ИГРОКИ
TID_BATTLE_MAIN_NEXT_REWARD,Следующая награда: <VALUE>/<MAX>
TID_BATTLE_MAIN_NEXT_PLANET,Новая карта через <TIME>
TID_BATTLE_MAIN_COLLECTED_COINS,Получено <VALUE>
TID_GATCHA_ERROR_NOT_ENOUGH_GOLD,"Собери 100 жетонов, чтобы открыть ящик!"
TID_GATCHA_INFO,"<c0000ff>Ящики</c>\n\nВ ящиках можно найти бойцов, очки силы, монеты или удвоители жетонов."
TID_HERO_INFO_ABILITY_COLOR_1,12b400
TID_HERO_INFO_ABILITY_COLOR_2,df1800
TID_HERO_INFO_ABILITY_COLOR_3,005bd6
TID_HERO_INFO_ARMOR,ЗДОРОВЬЕ
TID_HERO_INFO_ABILITY,АТАКА: <NAME>
TID_HERO_INFO_ULTI,СУПЕР: <NAME>
TID_HERO_INFO_BACK,ОБРАТНО
TID_HERO_INFO_UPGRADE,УЛУЧШИТЬ
TID_HERO_INFO_ABILITY_LEVEL,УРОВЕНЬ <LEVEL>/<MAXLEVEL>
TID_HERO_INFO_CRAFT_HERO,Купить бойца
TID_HERO_INFO_RARITY,<c<COLOR>><NAME></c>
TID_HERO_INFO_ITEM_RARITY,<c<COLOR>><NAME></c>
TID_HERO_INFO_POWER_BAR_TOOL_TIP,"Чтобы разблокировать следующее улучшение, собирай очки силы из ящиков или покупай их в магазине."
TID_HERO_INFO_STAR_POWER_CAN_DROP,Звёздную силу теперь можно найти в ящике.
TID_HERO_INFO_STAR_POWER_BLOCKED,"Можно найти в ящике, когда <HERONAME> достигнет <LEVEL>-го УРОВНЯ СИЛЫ"
TID_HERO_INFO_STAR_POWER_LABEL,ЗВЁЗДНАЯ СИЛА: <NAME>
TID_HERO_INFO_ABILITY_DESC,<c<COLOR>><CAPTION></c>\n<BODY>
TID_MATCHMAKE_FAILED_5,Подбор противников не удался: время действия события истекло
TID_MATCHMAKE_FAILED_7,Подбор противников не удался: член команды отключился
TID_MATCHMAKE_FAILED_9,Подбор противников не удался: начинается техобслуживание
TID_MATCHMAKE_FAILED_11,Подбор противников не удался: участник команды отключился
TID_MATCHMAKE_FAILED_12,Подбор противников не удался: ты победил последнего босса.
TID_SUDDEN_DEATH_TIMER,<n1>
TID_OWN_TEAM_WINNING,Синяя команда победит через
TID_ENEMY_TEAM_WINNING,Красная команда победит через
TID_OWN_TEAM,Синяя команда
TID_ENEMY_TEAM,Красная команда
TID_COUNTDOWN,ОБРАТНЫЙ ОТСЧЁТ
TID_HERO_LIST_UNLOCKED,<COUNT>/<TOTAL>
TID_HERO_LIST_LABEL,БОЙЦЫ
TID_HERO_LIST_DO_GATCHA,Открыть ящик
TID_HERO_TIME_UNTIL_RELEASE,Появится через <TIME>
TID_HERO_LIST_COMING_UP,Узнай подробности после появления нового бойца
TID_SKIN_INFO_TIME_UNTIL_RELEASE,Появится через <TIME>
TID_SKIN_INFO_,Supercell ID: скин в подарок
TID_SKIN_INFO_1,"Скин первопроходца Brawl Stars!\n\nДля учётных записей, созданных до 2019 года."
TID_SKIN_INFO_2,"Получи этот скин, подключившись к Supercell ID в настройках игры!"
TID_SKIN_INFO_3_TEASER,Скоро...
TID_SKIN_INFO_3_AVAILABLE,\nМожно купить в течение ограниченного времени
TID_SKIN_INFO_3_NOT_AVAILABLE,\nВ настоящее время купить невозможно
TID_SKIN_INFO_3_HERO_NEEDED,"\nЧтобы купить этот скин, сначала разблокируй бойца"
TID_SKIN_INFO_CAMPAIGN_1_AVAILABLE,Встречай праздники с праздничным скином!
TID_SKIN_INFO_CAMPAIGN_1_NOT_AVAILABLE,Скин Brawlidays 2018.
TID_SKIN_REWARD_TITLE_1,СКИН В НАГРАДУ
TID_SKIN_REWARD_INFO_1,Разблокирован новый скин! Спасибо за игру в Brawl Stars в 2018 году!
TID_SKIN_REWARD_TITLE_2,СКИН В НАГРАДУ
TID_SKIN_REWARD_INFO_2,В награду за подключение учётной записи к Supercell ID был разблокирован новый скин.
TID_SKIN_REWARD_OK,ЗАБРАТЬ
TID_HERO_REWARD_TITLE_1,СООБЩЕНИЕ СЛУЖБЫ ПОДДЕРЖКИ
TID_HERO_REWARD_INFO_1,Служба поддержки Brawl Stars дарит тебе нового бойца.
TID_SKIN_REWARD_TITLE_0,СООБЩЕНИЕ СЛУЖБЫ ПОДДЕРЖКИ
TID_SKIN_REWARD_INFO_0,Служба поддержки Brawl Stars дарит тебе новый скин.
TID_SKIN_REWARD_TITLE_3,СООБЩЕНИЕ СЛУЖБЫ ПОДДЕРЖКИ
TID_SKIN_REWARD_INFO_3,Служба поддержки Brawl Stars дарит тебе новый скин.
TID_REWARD_TITLE,СООБЩЕНИЕ СЛУЖБЫ ПОДДЕРЖКИ
TID_REWARD_INFO,Тебя ждёт подарок от службы поддержки Brawl Stars.
TID_REWARD_INFO_RESOURCE_FIRSTWINS,Получено звёздных жетонов: <AMOUNT>
TID_REWARD_INFO_RESOURCE_GOLD,Получено жетонов: <AMOUNT>
TID_REWARD_OK,ЗАБРАТЬ
TID_HERO_REWARD_OK,ЗАБРАТЬ
TID_RANK_POPUP_TITLE,ПУТЬ К СЛАВЕ
TID_RANK_POPUP_NEXT_GOAL,НОВЫЙ РУБЕЖ
TID_RANK_POPUP_COLLECT,ЗАБРАТЬ!
TID_RANK_POPUP_SEASON_END_REWARD,Награда сезона
TID_RANK_POPUP_SEASON_END_REWARD_OWN,<cffff00>ТВОЯ НАГРАДА СЕЗОНА</c>
TID_RANK_POPUP_TOTAL_INFO,"Собирай трофеи, чтобы получать награды и переходить в новые лиги!\nТвои трофеи являются суммой трофеев всех твоих бойцов."
TID_RANK_POPUP_SEASON_END_TITLE,ДО КОНЦА СЕЗОНА
TID_RANK_POPUP_SEASON_END_INFO,Бойцы с более чем <DECAYSTART> трофеями теряют <DECAYPERCENTAGE> % трофеев от количества свыше <DECAYSTART> после окончания сезона.
TID_RANK_POPUP_HILITE_CAPTION_3,БОЕЦ: <HERO>
TID_RANK_POPUP_HILITE_CAPTION_13,СОБЫТИЕ: <NAME>
TID_RANK_POPUP_HILITE_CAPTION_10,МЕГАЯЩИК
TID_RANK_POPUP_HILITE_CAPTION_SLOT_4,ОСОБЫЕ СОБЫТИЯ
TID_RANK_POPUP_HILITE_CAPTION_SLOT_3,СОБЫТИЯ ДНЯ
TID_RANK_POPUP_HILITE_CAPTION_SLOT_7,СОБЫТИЯ ПО БИЛЕТАМ
TID_DAILY_COINS_COLLECTED,Получено
TID_TEAM_BATTLE,СОЗДАТЬ
TID_TEAM_UNREADY,не готово
TID_TEAM_WAITING_WHILE_READY,Всё готово!\nНужно дождаться остальных.
TID_GATCHA_SCREEN_NEW_HERO,<c<COLOR>><NAME>: <OWNEDCOUNT>-й из <SETSIZE> бойцов</c>
