TID,DE
TID_MUTE_INVITES_LABEL,Do Not Disturb:
TID_GEM_BALANCE_TITLE,Gem Balance
TID_JP_BUTTON,Gem Balance
TID_GEM_BALANCE,Current Gem Balance: <total>\n\nFree Gems: <free>\n\nBought Gems: <paid>
TID_IAP_INFO_TEXT,"청약철회는 구매일로부터 7일 이내 가능(단, 사용시 철회불가) 법정대리인 동의 없는 미성년자명의 결제 시 취소가능 (자세히보기)"
TID_SETTINGS_LINE,LINE
TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE,"A refund was requested for this account and it has been approved on <refundDate>. The refund will be made to the form of payment used when the order was made.\n\nA total of <totalRevokedGems> gems have been deducted from your account, to match the value of your refund. This may result in a negative gem balance. A positive balance can be restored by making additional orders and collecting resources in-game."
TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE_PLURAL,"Refunds were requested for this account and they have been approved on <refundDate>. The refunds will be made to the form of payment used when the orders were made.\n\nA total of <totalRevokedGems> gems have been deducted from your account, to match the value of your refunds. This may result in a negative gem balance. A positive balance can be restored by making additional orders and collecting resources in-game."
TID_HERO_DISABLED_CURRENTLY,This Brawler is temporarily not available
TID_SKIN_FARMER_POCO,FARMER POCO
TID_SKIN_FARMER_POCO_SHOP,FARMER\nPOCO
TID_UNDERTAKER_NIGHTWITCH_SKIN,NIGHT WITCH MORTIS
TID_UNDERTAKER_NIGHTWITCH_SKIN_SHOP,NIGHT WITCH\nMORTIS
TID_FRIEND_ADDED,<FRIEND> is now your friend!
TID_IAP_REFRESHER_BUNDLE,Refresher Bundle
TID_IAP_REFRESHER_PACK,Refresher Pack
TID_IAP_WOMENS_DAY_1,Girl Power
TID_IAP_WOMENS_DAY_2,Happy International Women's Day
TID_IAP_LIMITED_TIME_DISCOUNT,Limited Time Discount
TID_LIMITED_AVAILABILITY,Get It Before It's Gone
TID_ROBO_WARS_2,Mecha Match
TID_ROBO_WARS_3,Factory Rush
TID_ROBO_WARS_4,Assembly Attack
TID_ROBO_WARS_5,Base Busters
TID_ROBO_WARS_6,Bot Drop
TID_ROBO_WARS_7,Nuts & Bolts
TID_ROBO_WARS_8,Some Assembly Required
TID_ROBO_WARS_9,Factory Siege
TID_GOLDRUSH_12,Diamond Dust
TID_GOLDRUSH_13,Four Squared
TID_GOLDRUSH_14,Vantage Point
TID_GOLDRUSH_15,Hop Skip
TID_GOLDRUSH_16,Countdown
TID_GOLDRUSH_17,Escape Velocity
TID_GOLDRUSH_18,Deep Link
TID_BATTLE_ROYALE_13,Hot Point
TID_BATTLE_ROYALE_14,Courtyard
TID_BATTLE_ROYALE_15,Sundial
TID_BATTLE_ROYALE_16,Superstar
TID_BATTLE_ROYALE_17,Passage
TID_BATTLE_ROYALE_18,Clockwork
TID_BALL_8,Bank Shot
TID_BALL_9,Playbox
TID_BALL_10,Penalty Kick
TID_BALL_11,Substitute
TID_BANKHEIST_14,Royal Tribute
TID_HERO_DISABLED_CURRENTLY_PRINT,This Brawler is temporarily not available. Try again later!
TID_NEXT_ROBO_IN,Next Siege in:
TID_ROBO_WARS_OWN_ROBO_SPAWNED,<c998888ff>Your team</c> assembled a Level <num> Siege Robot!
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED,<c99dd3333>Enemy team</c> assembled a Level <num> Siege Robot!
TID_HERO_DISABLED_CURRENTLY_START_GAME,This Brawler is temporarily not available. Try another Brawler!
TID_HERO_COMING_SOON,Brawler arriving soon!
TID_NO_ROBOS_SPAWNED,Tie! No Siege Robots spawned!
TID_LAST_ROBO_IN,Last Siege in:
TID_ROBO_LEVEL,Siege Robot LVL: <num>
TID_BATTLE_ROYALE_19,Erratic Blocks
TID_BATTLE_ROYALE_20,Fallen Star
TID_BATTLE_ROYALE_21,Eye of the Storm
TID_BATTLE_ROYALE_22,Flood Plains
TID_BATTLE_ROYALE_23,River Rush
TID_BATTLE_ROYALE_24,Double Cross
TID_BATTLE_ROYALE_25,Walled Garden
TID_BATTLE_ROYALE_26,Old Bailey
TID_BATTLE_ROYALE_27,Sooty Snow
TID_BALL_12,Happy Feet
TID_BALL_13,Square Off
TID_BALL_14,Slot Machine
TID_BALL_15,Pinball Dreams
TID_BALL_16,Barrel Vault
TID_GOLDRUSH_19,Spring Trap
TID_GOLDRUSH_20,Bishop to King 4
TID_GOLDRUSH_21,Cross Cut
TID_GOLDRUSH_22,Acute Angle
TID_GOLDRUSH_23,Bouncing Echo
TID_GOLDRUSH_24,Cell Division
TID_GOLDRUSH_25,Double Swoosh
TID_GOLDRUSH_26,Yin Yang
string,string
TID_REVOKE_TITLE,Support-Nachricht
TID_REVOKE_OK,Alles klar!
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Beitrittsanfrage fehlgeschlagen. Du bist bereits in einem Team.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Beitrittsanfrage fehlgeschlagen. Du hast eine ausstehende Teameinladung.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Senden der Beitrittsanfrage fehlgeschlagen. Du hast eine ausstehende Beitrittsanfrage.
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Beitrittsanfrage abgebrochen.
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,ICH MÖCHTE DEINEM TEAM BEITRETEN
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>SIEG</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>NIEDERLAGE</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>UNENTSCHIEDEN</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00><RANK>. PLATZ</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000><RANK>. PLATZ</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc><RANK>. PLATZ</c>
TID_BATTLE_LOG_AGE,Vor <TIME>
TID_BATTLE_LOG_HERO_LEVEL_LABEL,LVL
TID_BATTLE_LOG_TVST_VERSUS,VS.
TID_BATTLE_LOG_TITLE,KAMPFLOG
TID_BATTLE_LOG_REPLAY,WIEDERH.
TID_BATTLE_LOG_SURVIVED_FOR,<TIME> lang überlebt
TID_BATTLE_LOG_VICTORY_IN,Riesenbrawler in <TIME> besiegt
TID_BATTLE_LOG_MVP,STARSPIELER
TID_BATTLE_LOG_FRIENDLY,TESTSPIEL
TID_BATTLE_LOG_PVP,RANGLISTENSPIEL
TID_BATTLE_LOG_NO_ENTRIES,KEINE EINTRÄGE
TID_BATTLE_LOG_THIS_IS_A_BOT,Dies ist ein Bot.
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Wiederholungen sind vorübergehend deaktiviert.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Noch keine Wiederholung.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Keine Wiederholung: zu wenig Brawler-Trophäen
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,"Erreiche <NUM> Brawler-Trophäen, um Wiederholungen freizuschalten."
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Keine Wiederholung: Aufnahme fehlgeschlagen
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Wiederholung nicht mehr verfügbar
TID_PLAYER_XP_LEVEL,LEVEL
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Fehler beim Hinzufügen von Freund
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,Freundschaftslink abgelaufen!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,Freund kann nicht hinzugefügt werden. Seine Freundesliste ist voll!
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,Freund kann nicht hinzugefügt werden. Deine Freundesliste ist voll!
TID_ADD_FRIEND_FAILED_BANNED,Freund kann nicht hinzugefügt werden. Der Spieler ist gesperrt!
TID_KEYPOOL_KEYS_REMAINING,Noch <VALUE>
TID_KEYPOOL_NEXT_PATCH,+<KEYS> Marken in <TIME>
TID_TOP_HUD_NEXT_REWARD,Nächste Belohnung
TID_RANK_UP_REWARD_REPLACED_TITLE,Alternative Belohnung bestätigen
TID_RANK_UP_REWARD_REPLACED_POWER,Keiner deiner Brawler kann die <AMOUNT> Powerpunkte erhalten.\n\nStattdessen alternative Belohnung einfordern?
TID_RANK_UP_REWARD_REPLACED_HERO,Du hast <NAME> bereits freigeschaltet. Daher bekommst du die alternative Belohnung.
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,FREUNDES-\nANFRAGE
TID_PLAYER_INFO_REMOVE_FRIEND,Aus Freundesliste entfernen
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,ANFRAGE GESENDET
TID_PLAYER_INFO_IS_YOUR_FRIEND,INGAME-\nFREUND
TID_POWER_POINTS,POWERPUNKTE
TID_HERO_INFO_LEVEL,POWER
TID_HERO_INFO_RANK,RANG
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,AUF POWERLEVEL <LVL> UPGRADEN
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,ZUM BESTÄTIGEN ERNEUT TIPPEN
TID_HERO_INFO_MAX_LEVEL,MAX. POWER
TID_HERO_INFO_MORE_POWER_NEEDED,Für dieses Upgrade musst du mehr Power sammeln!
TID_HERO_INFO_LEVEL_UP_ERROR_4,Brawler hat nicht genug Powerpunkte!
TID_HERO_INFO_LEVEL_UP_ERROR_3,Du hast nicht genug Münzen!
TID_HERO_INFO_LEVEL_UP_ERROR_5,Brawler ist schon auf dem höchsten Powerlevel!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,ERSTER BRAWLER
TID_PLAYER_REPORTED_SUCCESSFULLY,Spieler gemeldet!
TID_TOO_MANY_REPORTS_SENT,Dein tägliches Meldelimit wurde überschritten!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,"Warte bitte, bevor du eine weitere Meldung schickst."
TID_CHOOSE_CHARACTER,WÄHLE EINEN BRAWLER
TID_ARMOR,TREFFERPUNKTE
TID_ARMOR_DESC,"Zeigt an, wie viel kontinuierlichen Schaden ein Brawler einstecken kann, bevor er besiegt ist."
TID_SHOTGUN_GIRL,SHELLY
TID_SHOTGUN_GIRL_DESC,Shellys Shotgun beschießt Gegner mit Streufeuer. Ihr Superskill zerstört Deckungen und hält Feinde auf Distanz!
TID_LONG_RANGE_SHOTGUN,STREUSCHUSS
TID_LONG_RANGE_SHOTGUN_DESC,"Shellys Schießeisen feuert eine weit gestreute Schrotsalve mit mittlerer Reichweite. Je mehr Kugeln treffen, desto größer ist der Schaden."
TID_MEGA_BLASH_ULTI,SUPERSCHROT
TID_MEGA_BLASH_ULTI_DESC,"Shellys Superschrot macht sowohl Deckungen als auch Gegner dem Erdboden gleich. Wer davon noch nicht erledigt wird, wird zurückgestoßen."
TID_GUNSLINGER,COLT
TID_GUNSLINGER_DESC,Mit seinen zwei Revolvern kann Colt präzise Salven verschießen. Sein Superskill hat eine hohe Reichweite und mäht Deckungen nieder!
TID_RAPID_FIRE,SECHSERSCHUSS
TID_RAPID_FIRE_DESC,Colt verschießt sechs Schüsse mit großer Reichweite aus seinen glänzenden Revolvern.
TID_RAPID_FIRE_ULTI,KUGELHAGEL
TID_RAPID_FIRE_ULTI_DESC,"Colt ballert eine massive Salve an Kugeln, die Deckungen zerstören und eine extrem hohe Reichweite haben."
TID_BULL_DUDE,BULL
TID_BULL_DUDE_DESC,"Bulls Schrotflinte teilt aus der Nähe großen Schaden aus. Mit seinem Superskill stürmt er vorwärts, wodurch er Hindernisse zerstört und Gegner zurückstößt."
TID_SHOTGUN_BLAST,DOPPELT KILLT BESSER
TID_SHOTGUN_BLAST_DESC,"Bulls doppelläufige Schrotflinte teilt großen Schaden aus. Sie hat eine sehr geringe Reichweite - doch Bull macht es nichts aus, es ganz aus der Nähe mit seinen Gegnern aufzunehmen."
TID_CHARGE,BULLDOZER
TID_CHARGE_DESC,Bull senkt seinen Kopf und rammt sich wild durch Gegner und Hindernisse. Er will mit dem Kopf durch die Wand - und ist damit echt erfolgreich!
TID_ROCKET_GIRL,BROCK
TID_ROCKET_GIRL_DESC,"Brock feuert eine explosive Rakete mit hoher Reichweite auf Gegner. Mit seinem Superskill verschießt er mehrere Raketen, die Feinde sowie Hindernisse hochjagen."
TID_FIREWORKS_WEAPON,ROCKENDE RAKETE
TID_FIREWORKS_WEAPON_DESC,"Brock verschießt eine rockende Rakete, die eine weite Entfernung zurücklegt."
TID_FIREWORKS_ULTI,RAKETENREGEN
TID_FIREWORKS_ULTI_DESC,"Brock feuert mehrere Raketen, die Feinde sowie Hindernisse hochjagen."
TID_TNT_DUDE,DYNAMIKE
TID_TNT_DUDE_DESC,"Dynamike wirft zwei explosive Dynamitstangen. Sein Superskill ist eine riesige, mit Sprengstoff vollgestopfte Tonne, die Deckungen zerstört."
TID_MORTAR,KURZE LUNTE
TID_MORTAR_DESC,"Mike wirft zwei Dynamitstangen, die über jedes Hindernis fliegen. Diese sind ebenso explosiv wie sein Temperament!"
TID_MORTAR_ULTI,DONNERTONNE
TID_MORTAR_ULTI_DESC,"Ein riesiges Fass, das bis zum Rand mit Sprengstoff vollgestopft ist und Deckungen hochjagt. Gegner werden bei der Explosion zurückgestoßen!"
TID_LUCHADOR,EL PRIMO
TID_LUCHADOR_DESC,"El Primo greift seine Gegner mit einem Hagel an Fäusten an. Sein Superskill ist ein Ellenbogen-Drop, der allen Getroffenen Schaden zufügt."
TID_LUCHADOR_WEAPON,FURORFÄUSTE
TID_LUCHADOR_WEAPON_DESC,El Primo pfeffert Feinden furios vier feurige Fäuste ins Face. Das ist Backenfutter mit Jalapeño-Geschmack!
TID_LUCHADOR_ULTI,FLYING ELBOW DROP
TID_LUCHADOR_ULTI_DESC,"El Primo springt hoch in die Luft und landet mit einem intergalaktischen Ellenbogen-Drop, der Feinde wegstößt und Deckungen zerschmettert."
TID_TRICKSHOT_DUDE_OLD,RICOCHET
TID_TRICKSHOT_DUDE_DESC,"Rico verschießt Kugeln, die von Wänden abprallen. Mit seinem Superskill feuert er eine lange Salve an Flummigeschossen, die Ziele durchdringen."
TID_TRICKSHOT_DUDE_WEAPON,FLUMMIGESCHOSSE
TID_TRICKSHOT_DUDE_WEAPON_DESC,"Ricos Kugeln prallen von Wänden ab, bekommen dadurch eine höhere Reichweite und können Gegner hinter Deckungen treffen."
TID_TRICKSHOT_DUDE_ULTI,TRICKSCHUSS
TID_TRICKSHOT_DUDE_ULTI_DESC,"Rico feuert eine lange Salve an Kugeln, die Feinde durchstoßen und von Wänden abprallen, wodurch sie eine höhere Reichweite bekommen."
TID_CACTUS,SPIKE
TID_CACTUS_DESC,"Spike wirft Kaktusgranaten, die Nadeln fliegen lassen. Sein Superskill erzeugt ein stacheliges Feld, das Feinden Schaden zufügt und sie verlangsamt."
TID_CACTUS_WEAPON,NADELGRANATE
TID_CACTUS_WEAPON_DESC,"Spike verschießt einen kleinen Kaktus, der explodiert und Nadeln in verschiedene Richtungen fliegen lässt."
TID_CACTUS_ULTI,NADELBEET
TID_CACTUS_ULTI_DESC,Spike wirft eine dornige Granate. Feinde in ihrem Wirkungsbereich erleiden Schaden und werden verlangsamt.
TID_BARKEEP,BARLEY
TID_BARKEEP_DESC,Barley schleudert Flaschen auf Feinde und verursacht so Flächenschaden. Sein Superskill ist ein Bombardement mit brennenden Flaschen!
TID_BARKEEP_WEAPON,UNVERDÜNNT
TID_BARKEEP_WEAPON_DESC,"Barley wirft eine Flasche, die auf dem Boden zerbricht und Feinden Schaden zufügt. Bleiben diese in der Pfütze stehen, erleiden sie Schaden über Zeit."
TID_BARKEEP_ULTI,BRENNT IM ABGANG
TID_BARKEEP_ULTI_DESC,"Barley schleudert brennende Flaschen, die einen großen Bereich in Brand setzen. Der geht aufs Haus!"
TID_MECHANIC,JESSIE
TID_MECHANIC_DESC,"Jessies Gewehr verschießt Energiekugeln, die von Feind zu Feind springen. Mit ihrem Superskill baut sie einen niedlichen, aber gefährlichen Geschützturm!"
TID_MECHANIC_WEAPON,ENERGIEGEWEHR
TID_MECHANIC_WEAPON_DESC,"Jessie verschießt eine Energiekugel. Nachdem diese ein Ziel trifft, springt sie auf das nächstgelegene Ziel über. So können bis zu drei Gegner getroffen werden."
TID_MECHANIC_ULTI,RAMSCHI!
TID_MECHANIC_ULTI_DESC,"Jessie baut einen Geschützturm auf, der automatisch auf Feinde schießt. Er besteht zu 100 % aus recyceltem Material!"
TID_SHAMAN,NITA
TID_SHAMAN_DESC,"Nita greift ihre Feinde mit einer donnernden Schockwelle an. Mit ihrem Superskill beschwört sie einen Bären, der sie im Kampf unterstützt!"
TID_SHAMAN_WEAPON,ZERBÄRSTEN
TID_SHAMAN_WEAPON_DESC,"Nita verursacht eine Schockwelle im Boden, die getroffenen Gegnern Schaden zufügt."
TID_SHAMAN_ULTI,GUT BÄRSCHÜTZT
TID_SHAMAN_ULTI_DESC,"Nita beschwört den Großen Babybären, der ihre Feinde angreift."
TID_UNDERTAKER,MORTIS
TID_UNDERTAKER_DESC,"Mortis schnellt mit jedem Schwung seiner Schaufel nach vorne. Mit seinem Superskill entsendet er eine Wolke an Fledermäusen, die Feinden Schaden zufügen und ihn heilen!"
TID_UNDERTAKER_WEAPON,SCHAUFELSCHWINGER
TID_UNDERTAKER_WEAPON_DESC,"Mortis schwingt seine Schaufel und schnellt vorwärts, wodurch sich für ihn Geschäftsgelegenheiten ergeben."
TID_UNDERTAKER_ULTI,LEBENSRAUB
TID_UNDERTAKER_ULTI_DESC,"Mortis ruft einen Schwarm blutsaugender Fledermäuse herbei, die Trefferpunkte seiner Gegner stehlen und ihn heilen. Gruselig!"
TID_CROW,CROW
TID_CROW_DESC,Crow wirft ein Trio an vergifteten Dolchen. Mit seinem Superskill springt er in die Luft und schleudert sowohl beim Hochspringen als auch bei der Landung Dolche.
TID_CROW_WEAPON,SPRINGMESSER
TID_CROW_WEAPON_DESC,Crow wirft drei Dolche. Durch die vergifteten Klingen erleiden Gegner auch nach dem Treffer noch Schaden über Zeit.
TID_CROW_ULTI,STURZFLUG
TID_CROW_ULTI_DESC,Crow fliegt empor und wirft sowohl beim Hochfliegen als auch bei der Landung einen Ring vergifteter Dolche um sich.
TID_DEAD_MARIACHI,POCO
TID_DEAD_MARIACHI_DESC,"Poco beschießt Gegner mit Schallwellen, die Schaden verursachen. Mit seinem Superskill kann er sowohl sich als auch Verbündete heilen."
TID_DEAD_MARIACHI_WEAPON,POWERAKKORD
TID_DEAD_MARIACHI_WEAPON_DESC,"Poco spielt sein Guitarrón und verschießt so Schallwellen, die durch Mark und Bein gehen. Getroffene Gegner erleiden dadurch Schaden."
TID_DEAD_MARIACHI_ULTI,ZUGABE
TID_DEAD_MARIACHI_ULTI_DESC,"Poco heilt sich selbst sowie alle Verbündeten, die er mit seiner belebenden Melodie erreichen kann."
TID_BOW_DUDE,BO
TID_BOW_DUDE_DESC,Bo verschießt drei explosive Pfeile. Mit seinem Superskill platziert er versteckte Minen auf dem Boden.
TID_BOW_DUDE_WEAPON,ADLERKLAUEN
TID_BOW_DUDE_WEAPON_DESC,"Bo verschießt drei Pfeile, die einschlagen wie explosive Adlerklauen."
TID_BOW_DUDE_ULTI,FUCHSFALLE
TID_BOW_DUDE_ULTI_DESC,"Bo versteckt explosive Fallen im Boden. Werden sie von einem Feind ausgelöst, explodieren sie nach kurzer Zeit, stoßen Gegner weg und fügen ihnen Schaden zu."
TID_SNIPER,PIPER
TID_SNIPER_DESC,"Je weiter Pipers Sniper-Schüsse fliegen, desto mehr Schaden richten sie an. Mit ihrem Superskill platziert sie Granaten und springt davon!"
TID_SNIPER_WEAPON,BELLE-ISTIK
TID_SNIPER_WEAPON_DESC,"Piper schießt einen Sniper-Schuss aus ihrem Sonnenschirm. Je weiter er fliegt, desto mehr Schaden richtet er an!"
TID_SNIPER_ULTI,KNALLSCHIRMSPRUNG
TID_SNIPER_ULTI_DESC,Piper entgleitet elegant ihren Verehrern und lässt ihnen sogar noch ein Geschenk da: drei scharfe Granaten aus ihrem Strumpfband!
TID_MINIGUN_DUDE,PAM
TID_MINIGUN_DUDE_DESC,"Pam beschießt ihre Gegner aus der Hüfte mit Altmetall. Ihr Superskill ist eine Maschine, die sie und ihre Verbündeten heilt."
TID_MINIGUN_DUDE_WEAPON,SCHROTTNADO
TID_MINIGUN_DUDE_WEAPON_DESC,Pam deckt eine große Fläche mit Salven aus Altmetall ab. Wir raten zu Schutzbrillen!
TID_MINIGUN_DUDE_ULTI,MAMAS SCHMATZER
TID_MINIGUN_DUDE_ULTI_DESC,"Pams Geschützturm verströmt eine lindernde Aura, die sie selbst sowie Verbündete in ihrem Wirkungsbereich heilt."
TID_BONE_THROWER,Knochenwerfer
TID_BONE_THROWER_DESC,Mit seinem massiven Maschinengewehr kann der Minigunner es mit einer ganzen Horde von Gegnern aufnehmen. Sein Bewegungstempo ist langsam und er ist gegen Zurückstoßen immun.
TID_BONE_THROWER_WEAPON,MINIGUN
TID_BONE_THROWER_WEAPON_DESC,"Der Minigunner schafft es, das Tragen dieses massiven Maschinengewehrs leicht aussehen zu lassen. Er kann sogar laufen, während er es vollautomatisch abfeuert!"
TID_BONE_THROWER_ULTI,VERBANDSKASTEN
TID_BONE_THROWER_ULTI_DESC,"Es kann vorkommen, dass man in einem hochintensiven Feuergefecht einige Kratzer davonträgt. Der Verbandskasten sorgt dafür, dass dein Team gesund weiterkämpfen kann."
TID_BLACK_HOLE,TARA
TID_BLACK_HOLE_DESC,"Tara wirft drei Karten, die ihre Feinde durchdringen. Mit ihrem Superskill erzeugt sie ein schwarzes Loch, das Gegner in dessen Mitte zieht und Schaden verursacht."
TID_BLACK_HOLE_WEAPON,Tripeltarot
TID_BLACK_HOLE_WEAPON_DESC,"Tara wirft geschickt drei Tarotkarten, die Gegner durchdringen. Was für ein Trick!"
TID_BLACK_HOLE_ULTI,ANZIEHUNGSKRAFT
TID_BLACK_HOLE_ULTI_DESC,Tara beschwört einen Gravitationsbrunnen! Feinde im Wirkungsbereich werden hineingezogen und stoßen unter großen Schmerzen aneinander.
TID_TURRET_DAMAGE,Geschützturmschaden
TID_TURRET_HEALTH,Geschützturm-Trefferpunkte
TID_STAT_DAMAGE_PER_SECOND,Schaden pro Sekunde
TID_STAT_DAMAGE_PER_SECOND_EACH,Schaden pro Sekunde
TID_STAT_DAMAGE_PER_STRIKE,Schaden pro Schlag
TID_ROBOT,DEPUTY IRONS
TID_ROBOT_DESC,Der eiserne Arm des Gesetzes.
TID_ROBOT_WEAPON,RAKETENSNIPE
TID_ROBOT_WEAPON_DESC,"Depute Irons verschießt mit mechanischer Präzision eine hochexplosive Rakete, die eine extrem hohe Entfernung zurücklegen kann."
TID_ROBOT_ULTI,SPERRZONE
TID_ROBOT_ULTI_DESC,"Wenn es hart auf hart kommt, kann Deputy Irons Raketen auf einen Bereich regnen lassen, um Gegner zu erledigen und Schaulustige zu vertreiben."
TID_ARMOR_STAT,Trefferpunkte
TID_HEALTH,Trefferpunkte
TID_STAT_GRENADE_DAMAGE,Schaden pro Granate
TID_STAT_MISSILE_DAMAGE,Schaden pro Rakete
TID_STAT_HEALTH,Trefferpunkte
TID_STAT_SPEED,Geschwindigkeit
TID_STAT_DAMAGE,Schaden
TID_STAT_DAMAGE_PER_SHOT,Schaden pro Kugel
TID_STAT_DAMAGE_PER_SHELL,Schaden pro Kugel
TID_STAT_HAMMER_DAMAGE,"Schaden alle 0,2 Sek."
TID_BATTLE,SPIELEN
TID_QUIT,Verl.
TID_MATCHMAKING_QUIT,Verlassen
TID_MATCHMAKING_HEADING,Spielersuche
TID_MATCHMAKING_TIME_LABEL,Brawl beginnt in:
TID_MATCHMAKING_PLAYERS,Gefundene Spieler: <x>/<y>
TID_BUTTON_CANCEL,Abbrechen
TID_BUTTON_OK,Okay
TID_ENTER_NAME_TITLE,Willkommen bei Brawl Stars!
TID_ENTER_NAME_BODY,Wie lautet dein Name?
TID_TIME_DAYS,d
TID_TIME_HOURS,h
TID_TIME_MINS,m
TID_TIME_SECS,s
TID_MATCHMAKING_TIME,Zeit bis Start: <TIME>
TID_SUPERCELL_ID_TITLE,Supercell ID
TID_SUPERCELL_ID_BUTTON_CONNECTED,Verbunden
TID_SUPERCELL_ID_BUTTON_DISCONNECTED,Verbinden
TID_SUPERCELL_ID_LOGIN_BUTTON,Anmelden
TID_SUPERCELL_ID_NEW_GAME_BUTTON,Ohne spielen
TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID,Möchtest du einen anderen Spielstand mit EP-Level <number> laden? Melde dich hierzu mit deiner Supercell ID an.
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,Fehler!
TID_ERROR_POP_UP_OUT_OF_SYNC,Client nicht mit Server synchronisiert!
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,Spiel neu laden
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,Verbindungsfehler
TID_ERROR_POP_UP_CONNECTION_FAILED,Verbindung mit dem Server nicht möglich. Überprüfe deine Internetverbindung und versuche es erneut.
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,Erneut versuchen
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,Anmeldung fehlgeschlagen
TID_ERROR_POP_UP_LOGIN_FAILED,Bitte versuche es später erneut.
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,Erneut versuchen
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,Noch da?
TID_ERROR_POP_UP_AUTO_DISCONNECTED,"Tippe auf die Schaltfläche unten, um das Spiel neu zu laden."
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,Spiel neu laden
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,Update verfügbar!
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,Gute Neuigkeiten! Eine neue Version des Spiels ist verfügbar.
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,Update
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,Wartungsarbeiten
TID_ERROR_POP_UP_SERVER_MAINTENANCE,Die Server werden derzeit gewartet. Bitte versuche es später erneut.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,Erneut versuchen
TID_ERROR_POP_UP_BANNED_TITLE,Du bist gesperrt!
TID_ERROR_POP_UP_BANNED,Du bist vorübergehend gesperrt!
TID_ERROR_POP_UP_BANNED_BUTTON,Okay
TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS,Support kontaktieren
TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON,Mehr Infos
TID_INFO_POP_UP_IAP_NOTE_TITLE,Wichtiger Hinweis
TID_INFO_POP_UP_IAP_NOTE,"Brawl Stars ist kostenlos spielbar, aber durch In-App-Käufe kann dein Fortschritt beschleunigt werden. (Diese kannst du in den Einstellungen deines Geräts deaktivieren.) Tippe auf \qOkay\q, um unsere Nutzungsbedingungen und unsere Datenschutzrichtlinien zu akzeptieren."
TID_INFO_POP_UP_IAP_NOTE_BUTTON,Okay
TID_SERVER_ERROR_TITLE,Serverfehler <number>
TID_SERVER_ERROR,Die Verbindung wurde während des Brawls getrennt.
TID_SERVER_ERROR_BUTTON,Okay
