TID,PT
TID_BATTLE_ROYALE_22,Flood Plains
TID_BATTLE_ROYALE_23,River Rush
TID_BATTLE_ROYALE_24,Double Cross
TID_BATTLE_ROYALE_25,Walled Garden
TID_BATTLE_ROYALE_26,Old Bailey
TID_BATTLE_ROYALE_27,Sooty Snow
TID_BALL_12,Happy Feet
TID_BALL_13,Square Off
TID_BALL_14,Slot Machine
TID_BALL_15,Pinball Dreams
TID_BALL_16,Barrel Vault
TID_GOLDRUSH_19,Spring Trap
TID_GOLDRUSH_20,Bishop to King 4
TID_GOLDRUSH_21,Cross Cut
TID_GOLDRUSH_22,Acute Angle
TID_GOLDRUSH_23,Bouncing Echo
TID_GOLDRUSH_24,Cell Division
TID_GOLDRUSH_25,Double Swoosh
TID_GOLDRUSH_26,Yin Yang
string,string
TID_REVOKE_TITLE,Mensagem da equipe de suporte
TID_REVOKE_OK,Entendi!
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Não é possível enviar o pedido. Você já está numa equipe.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Não é possível enviar o pedido. Você tem convite de equipe pendente.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Não é possível enviar o pedido. Você tem um pedido pendente.
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Pedido para equipe cancelado.
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,QUERO ENTRAR NA SUA EQUIPE
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>VITÓRIA</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>DERROTA</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>EMPATE</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>CLASSIFICAÇÃO <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>CLASSIFICAÇÃO <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>CLASSIFICAÇÃO <RANK></c>
TID_BATTLE_LOG_AGE,<TIME> atrás
TID_BATTLE_LOG_HERO_LEVEL_LABEL,NVL
TID_BATTLE_LOG_TVST_VERSUS,x
TID_BATTLE_LOG_TITLE,REGISTRO DE BATALHA
TID_BATTLE_LOG_REPLAY,REPLAY
TID_BATTLE_LOG_SURVIVED_FOR,Sobreviveu por <TIME>
TID_BATTLE_LOG_VICTORY_IN,Derrotou o Brawler Chefão em <TIME>
TID_BATTLE_LOG_MVP,CRAQUE
TID_BATTLE_LOG_FRIENDLY,AMISTOSO
TID_BATTLE_LOG_PVP,RANQUEADO
TID_BATTLE_LOG_NO_ENTRIES,NENHUMA ENTRADA AINDA
TID_BATTLE_LOG_THIS_IS_A_BOT,Este é um Bot
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Replays desativados
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Ainda não há nenhum replay
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Replay indisponível: poucos troféus.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,Consiga <NUM> troféus para desbloquear os replays.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Replay indisponível: falha ao gravar.
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,O replay não está mais disponível.
TID_PLAYER_XP_LEVEL,NÍVEL
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Falha ao iniciar amizade
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,O link de amizade expirou!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,Não é possível fazer amizade com quem está com a lista de amigos cheia.
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,Não é possível fazer amizade estando com a lista de amigos cheia.
TID_ADD_FRIEND_FAILED_BANNED,Não é possível fazer amizade com quem foi banido.
TID_KEYPOOL_KEYS_REMAINING,Chaves restantes: <VALUE>
TID_KEYPOOL_NEXT_PATCH,+<KEYS> fichas em <TIME>
TID_TOP_HUD_NEXT_REWARD,Próxima recompensa
TID_RANK_UP_REWARD_REPLACED_TITLE,Confirmar a recompensa alternativa
TID_RANK_UP_REWARD_REPLACED_POWER,Nenhum dos seus Brawlers pode receber <AMOUNT> pontos de poder.\n\nColetar a recompensa alternativa?
TID_RANK_UP_REWARD_REPLACED_HERO,"Como já tem <NAME>, você ganhará a recompensa alternativa."
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,SOLICITAR AMIZADE
TID_PLAYER_INFO_REMOVE_FRIEND,Remover da lista de amigos
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,Pedido de amizade enviado
TID_PLAYER_INFO_IS_YOUR_FRIEND,Vocês\nsão amigos
TID_POWER_POINTS,PONTOS DE PODER
TID_HERO_INFO_LEVEL,PODER
TID_HERO_INFO_RANK,CLASSE
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,MELHORE PARA O NÍVEL DE PODER <LVL>
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,TOQUE DE NOVO PARA CONFIRMAR
TID_HERO_INFO_MAX_LEVEL,PODER MÁXIMO
TID_HERO_INFO_MORE_POWER_NEEDED,Colete mais pontos de poder para melhorar!
TID_HERO_INFO_LEVEL_UP_ERROR_4,O Brawler não tem pontos de poder suficientes
TID_HERO_INFO_LEVEL_UP_ERROR_3,Você não tem moedas suficientes!
TID_HERO_INFO_LEVEL_UP_ERROR_5,O Brawler já atingiu o nível de poder máximo!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,BRAWLER INICIAL
TID_PLAYER_REPORTED_SUCCESSFULLY,Jogador denunciado!
TID_TOO_MANY_REPORTS_SENT,Você ultrapassou o limite de denúncias diárias!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,Aguarde antes de enviar outra denúncia.
TID_CHOOSE_CHARACTER,ESCOLHA SEU BRAWLER
TID_ARMOR,SAÚDE
TID_ARMOR_DESC,Indica a quantidade de dano que o Brawler tolera antes de cair.
TID_SHOTGUN_GIRL,SHELLY
TID_SHOTGUN_GIRL_DESC,A carabina de ampla propagação da Shelly detona a outra equipe com chumbo grosso. Seu Super destrói qualquer cobertura e mantém os adversários afastados!
TID_LONG_RANGE_SHOTGUN,CHUMBO GROSSO
TID_LONG_RANGE_SHOTGUN_DESC,"A arma da Shelly dispara chumbinhos em grande amplitude e alcance médio. Quanto mais chumbinhos acertarem o alvo, maior o dano."
TID_MEGA_BLASH_ULTI,SUPERBALA
TID_MEGA_BLASH_ULTI_DESC,A Superbala da Shelly oblitera coberturas e inimigos. Os sobreviventes são empurrados para longe.
TID_GUNSLINGER,COLT
TID_GUNSLINGER_DESC,Colt dispara uma rajada precisa de balas com suas pistolas duplas. O Super dele destrói cobertura e estende o bombardeio de balas!
TID_RAPID_FIRE,ESVAZIANDO O TAMBOR
TID_RAPID_FIRE_DESC,Colt dispara seis tiros rápidos de longo alcance com seus revólveres.
TID_RAPID_FIRE_ULTI,TREM-BALA
TID_RAPID_FIRE_ULTI_DESC,Colt dispara uma rajada de balas de longo alcance que destrói cobertura.
TID_BULL_DUDE,BULL
TID_BULL_DUDE_DESC,"Bull causa dano devastador de perto com sua escopeta. No Super, ele se lança através de barreiras e empurra os inimigos!"
TID_SHOTGUN_BLAST,ENGATILHADO
TID_SHOTGUN_BLAST_DESC,"A espingarda de cano duplo do Bull faz um grande estrago, mas tem curto alcance, então ele precisa se \qengatilhar\q nos outros rapidinho."
TID_CHARGE,BULDÔZER
TID_CHARGE_DESC,"De cabeça baixa, Bull ara o solo, os obstáculos e os adversários! Ele sempre foi cabeça-dura mesmo!"
TID_ROCKET_GIRL,BROCK
TID_ROCKET_GIRL_DESC,Brock dispara seu lança-foguetes de longo alcance contra seus inimigos. Seu Super é um bombardeio de foguetes balísticos que destroem qualquer cobertura!
TID_FIREWORKS_WEAPON,RUMO AO ESTRELATO
TID_FIREWORKS_WEAPON_DESC,Brock aposta tudo rumo ao estrelato lançando um único míssil de longo alcance.
TID_FIREWORKS_ULTI,CHUVA DE FOGUETÓRIO
TID_FIREWORKS_ULTI_DESC,Brock dispara uma chuva de mísseis que detona inimigos e obstáculos. Nem mesmo o mais resistente dos guarda-chuvas pode com esse tipo de temporal!
TID_TNT_DUDE,DYNAMIKE
TID_TNT_DUDE_DESC,"Dynamike lança duas bananas de dinamite. Em seu Super, ele lança um barril cheio de dinamite que destrói as coberturas!"
TID_MORTAR,PAVIO CURTO
TID_MORTAR_DESC,Mike arremessa duas dinamites que passam por qualquer obstáculo. O pavio é curto como o temperamento dele!
TID_MORTAR_ULTI,BARRIL BOMBÁSTICO
TID_MORTAR_ULTI_DESC,"Um barril de dinamites detona os obstáculos, e os sobreviventes são empurrados no impacto!"
TID_LUCHADOR,EL PRIMO
TID_LUCHADOR_DESC,"El Primo desfere uma onda de socos contra os inimigos. No Super, ele dá uma cotovelada aérea que causa dano em todos que estiverem embaixo!"
TID_LUCHADOR_WEAPON,PUNHOS FURIOSOS
TID_LUCHADOR_WEAPON_DESC,El Primo dispara um turbilhão de punhos furiosamente incendiados. Vai um sanduíche de jalapeño e punhos aí?
TID_LUCHADOR_ULTI,ATAQUE DE COTOVELO
TID_LUCHADOR_ULTI_DESC,"Das alturas, El Primo desfere uma cotovelada intergaláctica que repele os inimigos e destrói coberturas!"
TID_TRICKSHOT_DUDE_OLD,RICOCHET
TID_TRICKSHOT_DUDE_DESC,"Rico dispara uma rajada de balas que quicam nas paredes. No Super, ele dispara uma longa rajada de balas quicantes que perfuram os alvos!"
TID_TRICKSHOT_DUDE_WEAPON,BALAS QUICANTES
TID_TRICKSHOT_DUDE_WEAPON_DESC,"As balas disparadas ricocheteiam nas paredes, ampliando o alcance, e também acertam inimigos atrás de abrigos."
TID_TRICKSHOT_DUDE_ULTI,TIRO PERENE
TID_TRICKSHOT_DUDE_ULTI_DESC,"Rico dispara uma rajada de balas que perfuram os inimigos e ricocheteiam nas paredes, ampliando o alcance."
TID_CACTUS,SPIKE
TID_CACTUS_DESC,"Spike arremessa granadas de cactos que soltam espinhos por todo canto, além de ter um Super de tirar o fôlego: um campo de mamonas que desacelera e causa dano aos inimigos!"
TID_CACTUS_WEAPON,CACTO EXPLOSIVO
TID_CACTUS_WEAPON_DESC,Spike atira um pequeno cacto que explode e lança espinhos em todas as direções.
TID_CACTUS_ULTI,ESTÁTUA!
TID_CACTUS_ULTI_DESC,Spike lança uma granada de espinhos que causa dano e retarda os inimigos.
TID_BARKEEP,BARLEY
TID_BARKEEP_DESC,"Barley ataca arremessando garrafas contra os inimigos, causando dano em área. O Super é um enorme bombardeio de garrafas flamejantes!"
TID_BARKEEP_WEAPON,DOSE ÚNICA
TID_BARKEEP_WEAPON_DESC,"Uma garrafa é lançada ao solo causando dano aos inimigos próximos. Se eles permanecerem na poça, o dano é ainda maior."
TID_BARKEEP_ULTI,SAIDEIRA
TID_BARKEEP_ULTI_DESC,"Barley atira várias garrafas incendiárias, espalhando fogo por uma grande área. Essa é cortesia da casa!"
TID_MECHANIC,JESSIE
TID_MECHANIC_DESC,"A arma de choque da Jessie dispara esferas de energia que quicam entre os inimigos. No Super, ela invoca uma torreta fofa, mas com metralhadoras letais."
TID_MECHANIC_WEAPON,ARMA DE CHOQUE
TID_MECHANIC_WEAPON_DESC,"Jessie dispara um orbe de energia que pode acertar até três alvos consecutivos, contanto que estejam dentro do campo de alcance."
TID_MECHANIC_ULTI,LATA-VELHA
TID_MECHANIC_ULTI_DESC,Jessie mobiliza uma torreta totalmente reciclada que atira automaticamente nos inimigos!
TID_SHAMAN,NITA
TID_SHAMAN_DESC,Nita ataca os inimigos com ondas de choque estrondosas. O Super dela invoca um urso enorme que luta ao seu lado!
TID_SHAMAN_WEAPON,TREMOR
TID_SHAMAN_WEAPON_DESC,Nita cria um terremoto que causa dano aos inimigos atingidos por seu tremor.
TID_SHAMAN_ULTI,GARRA DE URSO
TID_SHAMAN_ULTI_DESC,Nita invoca o espírito do Grande Bebê Urso para lhe dar uma mãozinha na caça aos inimigos.
TID_UNDERTAKER,MORTIS
TID_UNDERTAKER_DESC,"Mortis dá uma arrancada para frente a cada golpe com sua pá. No Super, ele envia uma nuvem de morcegos que causam dano nos inimigos e recuperam seus pontos de vida!"
TID_UNDERTAKER_WEAPON,SETE PALMOS
TID_UNDERTAKER_WEAPON_DESC,"Com arrancadas para a frente e tacadas precisas da sua pá, os negócios de Mortis vão de vento em popa."
TID_UNDERTAKER_ULTI,TRANSFUSÃO
TID_UNDERTAKER_ULTI_DESC,"Com uma ajudinha de morcegos-vampiros, Mortis suga a saúde dos inimigos para restaurar a sua própria. Que nojo!"
TID_CROW,CORVO
TID_CROW_DESC,"Corvo dispara três adagas envenenadas. No Super, ele salta e dispara adagas ao saltar e ao voltar ao solo!"
TID_CROW_WEAPON,PUNHAL
TID_CROW_WEAPON_DESC,Corvo arremessa uma ameaça tripla de punhais. Os inimigos atingidos pelas lâminas envenenadas sofrem dano lentamente.
TID_CROW_ULTI,RASANTE
TID_CROW_ULTI_DESC,"Ao alçar voo e pousar, Corvo lança ao seu redor múltiplas adagas envenenadas. Um verdadeiro show aéreo!"
TID_DEAD_MARIACHI,POCO
TID_DEAD_MARIACHI_DESC,Poco dispara ondas de som nos inimigos. O Super dele cura tanto a si mesmo quanto a seus colegas!
TID_DEAD_MARIACHI_WEAPON,DISSONÂNCIA
TID_DEAD_MARIACHI_WEAPON_DESC,Poco dedilha seu violão e arranca notas desafinadas que criam ondas de som capazes de infligir dano aos inimigos.
TID_DEAD_MARIACHI_ULTI,BIS!
TID_DEAD_MARIACHI_ULTI_DESC,Poco pode curar a si e aos seus amigos com uma melodia digna de bis! Os inimigos morrem de inveja.
TID_BOW_DUDE,BO
TID_BOW_DUDE_DESC,Bo dispara três flechas explosivas em seus alvos. Seu Super é a habilidade de esconder três minas explosivas no chão!
TID_BOW_DUDE_WEAPON,GARRAS DE ÁGUIA
TID_BOW_DUDE_WEAPON_DESC,Bo atira três flechas explosivas que destroçam os inimigos como se fossem garras de águia.
TID_BOW_DUDE_ULTI,CAIA NA TOCAIA
TID_BOW_DUDE_ULTI_DESC,"Bo esconde armadilhas explosivas no solo. Ao serem ativadas, elas explodem após um certo atraso, causando dano e empurrando os inimigos para longe."
TID_SNIPER,PIPER
TID_SNIPER_DESC,"Os disparos da Piper causam mais dano quanto mais longe ela estiver do alvo. No Super, ela deixa granadas no chão enquanto salta para longe!"
TID_SNIPER_WEAPON,RESPINGARDA
TID_SNIPER_WEAPON_DESC,Piper atira pela ponta da sua sombrinha. A força dos tiros aumenta à medida que ganham distância!
TID_SNIPER_ULTI,AMEAÇA TRIPLA
TID_SNIPER_ULTI_DESC,"Piper flutua para longe, evitando pretendentes inoportunos. Delicada e atenciosa, faz questão de deixar um agradinho: três granadas tiradas da sua cinta-liga!"
TID_MINIGUN_DUDE,PAM
TID_MINIGUN_DUDE_DESC,"Pam dispara da cintura, salpicando os alvos com os estilhaços. Seu Super é uma torreta que cura tanto a si mesma quanto a seus colegas!"
TID_MINIGUN_DUDE_WEAPON,CHUVA DE SUCATA
TID_MINIGUN_DUDE_WEAPON_DESC,"Pam borrifa uma grande área com rajadas de sucata. Óculos de segurança, por favor!"
TID_MINIGUN_DUDE_ULTI,XODÓ DA MAMÃE
TID_MINIGUN_DUDE_ULTI_DESC,"A torreta de cura da Pam deixa a mamãe e o resto da equipe novinhos em folha, contanto que estejam dentro da sua área de alcance."
TID_BONE_THROWER,Lança-ossos
TID_BONE_THROWER_DESC,"Esse atirador não tem nada de míni! Com uma metralhadora de respeito, ele pode nocautear um grande número de inimigos (velocidade de movimento lenta e imune a recuo)."
TID_BONE_THROWER_WEAPON,MINIARMA
TID_BONE_THROWER_WEAPON_DESC,Miniarma faz com que o manuseio da sua metralhadora gigante pareça moleza. Ele consegue andar e atirar a pleno vapor ao mesmo tempo!
TID_BONE_THROWER_ULTI,FAIXA NA FAIXA
TID_BONE_THROWER_ULTI_DESC,Às vezes você se arranha e se fere nas batalhas mais acirradas. Faixa na faixa dá atadura de sobra para ajudar a manter toda a sua equipe sempre em forma!
TID_BLACK_HOLE,TARA
TID_BLACK_HOLE_DESC,"A trinca de tarô da Tara perfura os inimigos. Seu Super é um buraco negro que suga todos os inimigos próximos, causando dano!"
TID_BLACK_HOLE_WEAPON,TRINCA DE TARÔ
TID_BLACK_HOLE_WEAPON_DESC,"Num gesto ágil, Tara lança três cartas de tarô que atravessam os inimigos. Sem dúvida, um truque impressionante!"
TID_BLACK_HOLE_ULTI,GRAVIDADE
TID_BLACK_HOLE_ULTI_DESC,"Tara faz aparecer um poço gravitacional extraordinário que absorve os inimigos, triturando-os com requintes de sofisticação mágica."
TID_TURRET_DAMAGE,Dano da torreta
TID_TURRET_HEALTH,Saúde da torreta
TID_STAT_DAMAGE_PER_SECOND,Dano por segundo
TID_STAT_DAMAGE_PER_SECOND_EACH,Dano por segundo
TID_STAT_DAMAGE_PER_STRIKE,Dano por soco
TID_ROBOT,BALAS PERDIDAS
TID_ROBOT_DESC,Feito para defender. Usado para destruir.
TID_ROBOT_WEAPON,TOCAIA DE FOGUETE
TID_ROBOT_WEAPON_DESC,O Balas Perdidas atira um foguete explosivo de grande alcance e precisão mecânica.
TID_ROBOT_ULTI,PODER DE DISPERSÃO
TID_ROBOT_ULTI_DESC,O Balas Perdidas derrama uma chuva de foguetes na multidão rebelde que não sabe manter a ordem quando necessário.
TID_ARMOR_STAT,Condição
TID_HEALTH,Saúde
TID_STAT_GRENADE_DAMAGE,Dano por granada
TID_STAT_MISSILE_DAMAGE,Dano por foguete
TID_STAT_HEALTH,Pontos de vida
TID_STAT_SPEED,Velocidade
TID_STAT_DAMAGE,Dano
TID_STAT_DAMAGE_PER_SHOT,Dano por bala
TID_STAT_DAMAGE_PER_SHELL,Dano por projétil
TID_STAT_HAMMER_DAMAGE,"Dano a cada 0,2 s."
TID_BATTLE,JOGAR
TID_QUIT,Sair
TID_MATCHMAKING_QUIT,Sair
TID_MATCHMAKING_HEADING,Buscando jogadores
TID_MATCHMAKING_TIME_LABEL,Começa em:
TID_MATCHMAKING_PLAYERS,Jogadores encontrados: <x>/<y>
TID_BUTTON_CANCEL,Cancelar
TID_BUTTON_OK,OK
TID_ENTER_NAME_TITLE,Bem-vindo ao Brawl Stars!
TID_ENTER_NAME_BODY,Qual é o seu nome?
TID_TIME_DAYS,d
TID_TIME_HOURS,h
TID_TIME_MINS,m
TID_TIME_SECS,s
TID_MATCHMAKING_TIME,Início em: <TIME>
TID_SUPERCELL_ID_TITLE,Supercell ID
TID_SUPERCELL_ID_BUTTON_CONNECTED,Conectado
TID_SUPERCELL_ID_BUTTON_DISCONNECTED,Conectar
TID_SUPERCELL_ID_LOGIN_BUTTON,Fazer login
TID_SUPERCELL_ID_NEW_GAME_BUTTON,Jogar sem
TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID,Você quer carregar o jogo com progresso de <number> de XP? Acesse seu Supercell ID para carregá-lo.
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,Erro!
TID_ERROR_POP_UP_OUT_OF_SYNC,O cliente e o servidor não estão sincronizados!
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,Recarregar o jogo
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,Erro de conexão
TID_ERROR_POP_UP_CONNECTION_FAILED,Não foi possível conectar-se ao servidor. Verifique sua conexão à internet e tente novamente.
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,Tentar novamente
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,Falha no login
TID_ERROR_POP_UP_LOGIN_FAILED,Tente novamente mais tarde.
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,Tentar novamente
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,Alguém por aí?
TID_ERROR_POP_UP_AUTO_DISCONNECTED,Clique no botão abaixo para recarregar o jogo.
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,Recarregar o jogo
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,Atualização disponível!
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,Boas notícias! Uma nova versão do Brawl Stars está disponível.
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,Atualizar
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,Intervalo de manutenção
TID_ERROR_POP_UP_SERVER_MAINTENANCE,"Lamentamos, mas os servidores estão em manutenção. Tente novamente mais tarde."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,Tentar novamente
TID_ERROR_POP_UP_BANNED_TITLE,Você foi banido!
TID_ERROR_POP_UP_BANNED,Você foi banido temporariamente.
TID_ERROR_POP_UP_BANNED_BUTTON,OK
TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS,Contatar o suporte
TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON,Mais informações
TID_INFO_POP_UP_IAP_NOTE_TITLE,Aviso importante
TID_INFO_POP_UP_IAP_NOTE,"O Brawl Stars é grátis para jogar, mas você pode acelerar seu progresso com compras no aplicativo (é possível desativar isso nas configurações do seu dispositivo). Toque em OK para aceitar nossos Termos de Uso e Política de Privacidade."
TID_INFO_POP_UP_IAP_NOTE_BUTTON,OK
TID_SERVER_ERROR_TITLE,Erro <number> do servidor
TID_SERVER_ERROR,Você perdeu a conexão durante o combate.
TID_SERVER_ERROR_BUTTON,OK
TID_COME_BACK_NOTIFICATION_SMALL,Que tal outra batalha?
TID_COME_BACK_NOTIFICATION_MEDIUM,Que tal outra batalha?
TID_COME_BACK_NOTIFICATION_LARGE,Que tal outra batalha?
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,Conexão perdida
TID_ERROR_POP_UP_CONNECTION_LOST,Tente conectar-se de novo.
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,Tentar de novo
TID_TROPHIES,Troféus
TID_PRACTICE,TREINO
TID_READY,Pronto
TID_BATTLE_END_TITLE_VICTORY,VITÓRIA!
TID_BATTLE_END_TITLE_DEFEAT,DERROTA
TID_BATTLE_END_TITLE_DRAW,Empate
TID_BATTLE_END_TITLE_COOP_SURVIVAL,Sobreviveu por <TIME>
TID_BATTLE_END_DEATHMATCH_VICTORY,Primeiro lugar!
TID_BATTLE_END_DEATHMATCH_DEFEAT,Classificação: <RANK>
TID_BATTLE_END_TVST_DRAW_DESC,Empate porque ambas as equipes coletaram a mesma quantidade de gemas!
TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM,Brawler Chefão derrotado em <TIME>
TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS,Sobreviveu por <TIME>
TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY,DIFICULDADE: <LEVEL> SUPERADA!
TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT,DERROTA
TID_BATTLE_END_RETURN_HOME,SAIR
TID_BATTLE_END_NEXT,Próximo
TID_BATTLE_END_TAP,toque para continuar
TID_BATTLE_END_NO_PRACTISE_TROPHIES,SEM TROFÉUS DO TREINO
TID_BATTLE_END_XP_CAPPED,Toda a experiência ganha hoje
TID_BATTLE_END_PLAY_AGAIN,JOGAR DE NOVO
TID_BATTLE_END_PLAY_AGAIN_CANCEL,CANCELAR
TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS,<WAITING>/<TOTAL>
TID_BATTLE_END_PLAY_AGAIN_PLAYERS,<caaaaaa><TOTAL></c>
TID_BATTLE_END_PLAY_AGAIN_TIMER,<TIME>
TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM,<NAME> entrou na sua equipe
TID_RESPAWNING,Voltando em:\n<n1>
TID_TEAMS_POPUP_TITLE,EQUIPES
TID_TEAMS_POPUP_SUBTITLE_IN_CLAN,Clube e Equipes
TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN,ENTRE NUM CLUBE PARA VER OS JOGOS DISPONÍVEIS
TID_TEAMS_POPUP_SEARCH,USAR CÓDIGO
TID_TEAMS_POPUP_CREATE,CRIAR EQUIPE
TID_TEAM_SEARCH_POPUP_TITLE,ENTRAR COM UM CÓDIGO
TID_TEAM_SEARCH_POPUP_SEARCH,ENTRAR
TID_TEAM_JOIN_ROOM_CODE,Código da equipe...
TID_TEAM_CHANGE_MAP,ALTERAR
TID_TEAM_TYPE_INFO_0,Ranqueado
TID_TEAM_TYPE_INFO_1,Amistoso
TID_TEAM_TYPE_INFO_2,Restrito
TID_TEAM_MEMBER_LEFT_0,Você saiu da equipe.
TID_TEAM_MEMBER_LEFT_1,Expulsaram você da equipe.
TID_TEAM_MEMBER_LEFT_2,Equipe desfeita porque o evento expirou.
TID_TEAM_MEMBER_LEFT_3,Equipe desfeita porque o administrador saiu.
TID_TEAM_GAME_STARTING,Jogo começando
TID_TEAM_CODE_COPIED,Código copiado para a área de transferência.
TID_TEAM_MEMBER_INVITE_STATUS_1,<c00ff00>CONVITE PENDENTE</c>
TID_TEAM_MEMBER_INVITE_STATUS_2,<ccc0000>RECUSADO</c>
TID_TEAM_MEMBER_INVITE_STATUS_3,<c0000cc>INTEGRANTE DESCONECTADO</c>
TID_TEAM_MEMBER_CANCEL_INVITE_INFO,toque para cancelar
TID_TEAM_ERROR_1,Erro no servidor de equipe
TID_TEAM_ERROR_2,Não é possível entrar. Equipe lotada.
TID_TEAM_ERROR_3,Não é possível entrar. Equipe desfeita.
TID_TEAM_ERROR_5,"Código de equipe incorreto. Por favor, insira um código válido."
TID_TEAM_ERROR_6,Impossível localizar uma equipe com o código utilizado.
TID_TEAM_ERROR_7,Não é possível entrar na equipe depois de ter sido expulso.
TID_TEAM_ERROR_8,Os times não podem ter mais do que 3 jogadores. Veja as configurações de time.
TID_TEAM_ERROR_10,Não é possível criar uma equipe estando em outra.
TID_TEAM_ERROR_11,O evento expirou. Não é possível criar uma equipe.
TID_TEAM_ERROR_12,Não é possível entrar em equipe expirada.
TID_TEAM_ERROR_14,Não é possível criar uma equipe. Este evento não tem jogo em equipe.
TID_TEAM_ERROR_15,"Não é possível entrar na equipe, pois ela não é da sua região."
TID_TEAM_ERROR_17,Brawlers repetidos não são permitidos. Impossível iniciar a partida.
TID_TEAM_ERROR_18,O jogo está em manutenção. Não é possível iniciar a partida.
TID_TEAM_ERROR_19,Não é possível expulsar o administrador on-line da equipe.
TID_TEAM_ERROR_20,Impossível alterar o mapa. Muitos jogadores para este mapa.
TID_TEAM_ERROR_21,Ingressos insuficientes. Impossível iniciar a partida.
TID_TEAM_ERROR_22,Impossível alterar o mapa. Número de jogadores excedido.
TID_TEAM_ERROR_24,Falha ao convidar. Nenhum amigo encontrado.
TID_TEAM_ERROR_25,Falha ao convidar. Equipe cheia.
TID_TEAM_ERROR_26,Convite recusado
TID_TEAM_ERROR_27,Falha ao convidar. O jogador não está aceitando convites para equipes.
TID_TEAM_ERROR_28,Falha ao convidar. Jogador desconectado.
TID_TEAM_ERROR_29,Falha ao convidar. O jogador já está em uma equipe.
TID_TEAM_ERROR_30,Convite pendente. Não é possível iniciar a partida.
TID_TEAM_ERROR_31,Não é possível alterar o evento se houver um convite pendente.
